"GROUP"	"Gene Ontology"	"Term"	"-log10.p-value"
"TAF2_EXONS"	"Molecular Function"	"GTPase regulator activity"	7.245614783200379
"TAF2_EXONS"	"Cellular Component"	"apical part of cell"	4.128215764448956
"TAF2_EXONS"	"Biological Process"	"disaccharide metabolic process"	3.7490745367437315
"TAF2_EXONS"	"Cellular Component"	"cell periphery"	3.7325917889261433
"TAF2_EXONS"	"Biological Process"	"lipid phosphorylation"	3.3628555305405876
"TAF2_EXONS"	"Biological Process"	"detection of other organism"	3.3628555305405876
"TAF2_EXONS"	"Molecular Function"	"ATP-dependent diacylglycerol kinase activity"	3.355393430927975
"TAF2_EXONS"	"Biological Process"	"regulation of GTPase activity"	3.3230453159022666
"TAF2_EXONS"	"Molecular Function"	"monoatomic ion channel activity"	3.1865756244014887
"TAF2_EXONS"	"Biological Process"	"plasma membrane bounded cell projection assembly"	3.171418276803654
"TAF2_EXONS"	"Biological Process"	"tertiary alcohol biosynthetic process"	3.0735256622149913
"TAF2_EXONS"	"Cellular Component"	"cation channel complex"	3.0675767449528695
"TAF2_EXONS"	"Biological Process"	"cilium movement"	2.9459207379156878
"TAF2_EXONS"	"Cellular Component"	"plasma membrane bounded cell projection"	2.9057148421774324
"TAF2_EXONS"	"Molecular Function"	"DNA-binding transcription factor activity"	2.8988990448424983
"TAF2_EXONS"	"Biological Process"	"beta-alanine metabolic process"	2.8916778507306278
"TAF2_EXONS"	"Biological Process"	"positive regulation of heterotypic cell-cell adhesion"	2.8916778507306278
"TAF2_EXONS"	"Molecular Function"	"vasoactive intestinal polypeptide receptor activity"	2.886650714947865
"TAF2_EXONS"	"Molecular Function"	"maltose alpha-glucosidase activity"	2.886650714947865
"TAF2_EXONS"	"Biological Process"	"cilium-dependent cell motility"	2.827015311062254
"TAF2_EXONS"	"Biological Process"	"regulation of small GTPase mediated signal transduction"	2.786908521613722
"TAF2_EXONS"	"Biological Process"	"cerebellum development"	2.6703293328343447
"TAF2_EXONS"	"Molecular Function"	"RNA polymerase II transcription regulatory region sequence-specific DNA binding"	2.6674512803715933
"TAF2_EXONS"	"Cellular Component"	"neuronal cell body"	2.456325812359389
"TAF2_EXONS"	"Biological Process"	"response to cAMP"	2.444888362332612
"TAF2_EXONS"	"Cellular Component"	"cytoskeleton"	2.436729981204483
"TAF2_EXONS"	"Biological Process"	"thiamine transport"	2.4250084555121107
"TAF2_EXONS"	"Molecular Function"	"structural constituent of muscle"	2.3768359228086373
"TAF2_EXONS"	"Biological Process"	"multicellular organismal response to stress"	2.2814820908691535
"TAF2_EXONS"	"Biological Process"	"protein kinase C-activating G protein-coupled receptor signaling pathway"	2.21525437007753
"TAF2_EXONS"	"Biological Process"	"regulation of heart rate by chemical signal"	2.1343989479146517
"TAF2_EXONS"	"Cellular Component"	"dendrite membrane"	2.1109905774221343
"TAF2_EXONS"	"Biological Process"	"melanin biosynthetic process"	2.1018875971865336
"TAF2_EXONS"	"Molecular Function"	"cAMP binding"	2.0949196990401204
