TAF2_EX_UPDO_GENE	TAF2_IN_UPDO_GENE	dIDR_EX_UPDO_GENE	dIDR_IN_UPDO_GENE	SRRM2_EX_UPDO_GENE	SRRM2_IN_UPDO_GENE	BG_GENEs
SPTLC3	CLCNKB	SPTLC3	CLCNKB	ACIN1	HOXA11-AS	TSPAN6
C21orf2	SLC2A11	NOTUM	CTD-2619J13.16	TTC23	TMEM43	DPM1
FAM35A	CTD-2619J13.16	CLK4	GPT	SIK3	CACNB3	FIRRM
NOTUM	CCDC88B	MTMR11	PLXNB1	ZNF283	ZNF780B	CFH
PBX4	RP11-800A3.7	PRDM5	L3MBTL1	TEAD1	TMOD4	FUCA2
NAV1	GPT	ATXN7L1	GABBR1	FBXW8	TTC3	GCLC
MTMR11	LINC01569	RBBP4	RP1-315G1.3	FAM193B	PKDCC	LAS1L
PRDM5	PLXNB1	KREMEN1	PRSS53	ST5	BCAR1	ANKIB1
RBBP4	CTTNBP2	LINC01446	RP11-596C23.6	CFAP44	LRP5	LAP3
KREMEN1	L3MBTL1	LCORL	PRPF40B	SLC27A4	ARFRP1	CD99
LINC01446	TLE2	ZNF821	ATL2	ELMOD3	FAM200B	CYP26B1
LCORL	KIAA0895L	ABC13-47488600E17.1	FDXACB1	ANKRD33B	PDK4	DBNDD1
ZNF821	LINC00863	RP11-69E11.4	MYL5	AC034220.3	NAGLU	ALS2
ZNF783	PRSS53	CDKN2B-AS1	MOV10L1	OPN3	GNAI2	TFPI
RP11-69E11.4	ACACB	ZNF17	GCNA	FBF1	KRT10	NDUFAF7
CDKN2B-AS1	PLEKHN1	LRRC37B	MROH6	GMPPB	WHRN	RBM5
DOPEY1	SLC9A5	GPC2	ZGRF1	LAMA3	SYMPK	SLC7A2
NAV2	FOXL2NB	FKRP	TMEM86B	UBR4	MOV10	ARF5
ZNF17	FBF1	FIRRE	RP4-756H11.3	DCTD	MSH5	POLDIP2
LRRC37B	MAST1	KCNC4	SCNN1D	ADGRD1	TRAF6	PLXND1
GPC2	CELSR3	CTTNBP2	CPT1B	POMT2	DDX51	KDM1A
FKRP	C1RL-AS1	ARVCF	ZNF333	RBM26-AS1	FAM135A	CAMKK1
FIRRE	SGK494	RHOT1	ABCA2	CLASP1	FASTK	RECQL
ANKRD33B	CCDC122	STAMBP	LINC01270	RBL1	BSCL2	VPS50
ZNF573	CRACR2B	GTPBP1	PLA2G6	SARAF	PCSK9	NDUFAB1
KCNC4	PRPF40B	IFT88	MEIS1-AS3	NEBL	SLC38A7	SLC25A13
CTTNBP2	CTRL	WBSCR27	RP11-732A19.2	DDIAS	SNAPC4	ST7
RGS9	ATL2	LRRC14	RHPN1	DMXL2	RAD54L	HCCS
DYX1C1	MYO15B	C5AR1	SGIP1	MPP3	TRAPPC12	DVL2
ARVCF	GSDMD	ZNF708	DGKA	DCP2	TPRA1	UPF1
RHOT1	DGKQ	PRELID1	ATP1A3	TMEM120B	PILRB	MCUB
C4orf36	FGFR3	LRRC1	RP11-334C17.5	PAFAH2	TNPO2	DHX33
COA1	FDXACB1	ZNF133	RP5-890E16.2	KDM4B	MCRS1	LIG3
SSBP2	MYL5	GNAS-AS1	NEK8	SLC38A7	SHROOM1	RPAP3
ANKMY1	CYP2D6	ZNF283	ARHGAP33	JOSD2	KDM4A-AS1	REXO5
ZNF559	MOV10L1	NCF2	SLC9A5	PLEKHM2	KYAT1	SPPL2B
FSTL1	VASH1	PPP1R12B	LPIN3	BAZ2A	DENND4B	PRKAR2B
GTPBP1	SLC4A11	LINC01270	PAQR6	CHKA	LRRC41	MSL3
MROH6	H6PD	RAPGEF6	BRICD5	PDE4D	SLC29A2	CREBBP
REL	MAMDC4	POLN	DYX1C1	ZNF133	METTL17	GCFC2
LRRFIP1	LINC-PINT	TMEM14B	RPS6KL1	BRAT1	DAPK3	IBTK
FKTN	CUL9	ADGRA2	TNS2	IL1RAP	LINC00857	MYCBP2
ARMC4	ELL3	IL6R	HCN3	EDRF1	PLXNA1	PDK2
PODNL1	CC2D1B	ISL2	NPHP4	DLG5	HINT2	ITGA3
FAM221A	GCNA	SSBP2	PPM1K	ATP6V0A4	FAM227A	CRLF1
ZNF708	MROH1	ARHGAP27P1-BPTFP1-KPNA2P3	PARP3	AC005154.6	PHF6	MAP3K14
FBXO44	TNS4	KANTR	C19orf44	SLC25A26	GABRE	TMEM132A
FAM81A	ZNF738	ACBD6	MDM1	ARHGAP27P1-BPTFP1-KPNA2P3	PCNX3	AP2B1
PRELID1	SZT2-AS1	CORO6	RP11-146F11.1	TANGO2	PRDM15	MAP3K9
LRRC1	PAQR6	CD44	DOK3	CBFA2T2	GTF2H3	RALA
RSRP1	FRS3	DDX58	CELSR3	ZNF772	ABCB6	ETV1
RCBTB2	SERPINB8	CCDC9	KANSL1	CLTCL1	NDUFAF6	AGK
MYO9A	HSF4	C1RL	HES6	SLC25A51	TNFAIP1	ALDH3B1
ZNF133	CROT	PRDM15	PABPC4L	BFSP1	BBS7	FARP2
SORBS2	ZDHHC23	RBPMS	MAMDC4	EML6	TINAGL1	IFRD1
GNAS-AS1	LRIG2	PAPPA	SLC45A3	CH17-360D5.2	ADA	GTF2IRD1
SENP7	MOK	ZBTB49	RHBDL1	MFSD14C	RSBN1L	PAF1
C15orf52	LYSMD4	LRRC23	SNED1	ZSCAN25	AGPAT1	VPS41
WDR27	MROH6	SFI1	LMO1	ARL15	RAD9A	ARHGAP44
COL25A1	SLC26A11	FBF1	TMEM80	VWA8	BCL6B	ELAC2
ACAD10	TRPV1	EML5	PCDH7	COL13A1	HDDC3	BLTP2
HSD17B14	ZNF23	ZNF337-AS1	SNX16	FANK1	FANCL	TRAPPC6A
TEX9	CELSR2	ATXN1	SUCO	SLC35B4	HDAC7	MATK
SH3BP1	TMC6	ATP9B	CLCN2	AC091878.1	USP21	RPUSD1
ZNF283	BAG5	GANC	MPP3	ENOSF1	WDFY1	RHBDF1
NCF2	ETV4	TMEM182	GPR135	FAM208B	FLJ20021	DNAJC11
PPP1R12B	TMEM9B-AS1	PTEN	PLXNB3	SEC24B	ASIC3	MYLIP
STOX2	ZGRF1	TTBK2	ELL3	TPM3	PI4K2A	CDKL5
STK33	PIDD1	SDCCAG8	RRAGB	RREB1	TINF2	CDK11A
COX6B2	QRICH2	ZNF311	UBAC2-AS1	CCDC138	STK19	ADAM22
FAR2	TMEM86B	HIVEP3	FBXO43	RP11-849H4.2	SCRN2	SYPL1
N4BP2	CYP4V2	SMTN	RP11-395G23.3	DECR1	RETSAT	SPAG9
DENND1B	TRIM13	SUCLG2-AS1	MED22	LRIG1	ATXN7L2	MPND
MOV10L1	TMEM201	MAMLD1	SLC16A9	RHEBL1	DMWD	CRY1
FRYL	CCDC14	LRRC8B	CACNA1H	NSD3	ATXN2L	ST3GAL1
RAPGEF6	RP4-756H11.3	NCK2	PPP6R2	GPATCH2	TCF25	PKD1
PAICS	LINC01515	HOXC4	PRRT1	SLC25A12	RTKN	MED24
POLN	CORO6	TSPOAP1	GABRE	TXNDC11	ATF6B	HEATR5B
CAPRIN2	LOXL4	ADAP2	CARD9	VPS13D	ESPL1	CSDE1
ADGRA2	ISYNA1	FAM103A1	RP11-74E22.3	DOCK11	ACVR2A	VTA1
CARD8	RP5-1112D6.4	CCDC150	RGL3	ANO2	ATR	BAZ1B
NPAS2	RHPN1	TTC23	ARRB2	SERTAD4	BAG5	UQCRC1
IL6R	ZNF527	IGSF1	CRAMP1	RNF146	LAMA5	STARD3NL
ISL2	ALMS1	RP11-588H23.3	PCGF2	RP11-706O15.1	TROAP	CD9
TLR4	CLCN2	RALGPS1	KCNH3	BICC1	MUTYH	NCAPD2
PAX8-AS1	CPT1B	MPV17L	CATSPER1	CEP112	HPS4	NISCH
DMTN	SFI1	KIF27	ZNF559	C16orf70	MECR	FUZ
ARHGAP27P1-BPTFP1-KPNA2P3	MCOLN3	CLIP4	TM7SF2	STRIP2	ZNF619	ZNF200
C3orf18	C11orf80	RPL18A	NKX3-2	MEIS1	ENO3	FYN
CLHC1	PAX6	TNFRSF19	MMP23B	SIPA1L1	GUCD1	MRC2
KANTR	AC108142.1	MCOLN2	C1RL	RHOD	C8orf58	BTBD7
CORO6	CARD14	ITGA2	ZSCAN32	SFXN5	DIS3L	ANOS1
IDUA	CERS4	SNX21	ZKSCAN3	STK19	MCIDAS	AKAP8L
GABRE	ACSF3	ARHGAP29	NBPF3	HPS4	ACSF2	UTP18
ZNF518A	TMEM106A	SPTY2D1-AS1	GLI3	MORC4	CLCN7	LARS2
NUP50	ZNF446	E2F8	ZFPM1	DENND3	ZNF165	PIK3C2A
CD44	EGFL8	ZNF584	GNAO1	ZCCHC11	CNEP1R1	RABGAP1
PCBP1-AS1	ZNF213-AS1	UBA6-AS1	WDR34	PEX26	AGRN	CEP68
IFT88	ARAP3	WDR37	ARAP3	ARAP3	C11orf49	MAP4K3
DDX58	SLC25A42	ZNF236	DTNB	LTBP4	HGH1	LDAF1
ST6GAL1	POMT1	NRCAM	ELMO3	ZCWPW1	ZNF280D	EXTL3
PLA2G4C	EME2	AOC3	MCOLN3	SLC43A1	STARD4	CALCOCO1
FCHSD1	PEX6	DNAH17-AS1	AGBL5	PCNX1	SH2B2	MAP4K5
ZSCAN21	SCNN1D	LRRFIP1	GATA2-AS1	RASA4	SRRM2	NUB1
TRPC1	PARD3B	ZNF613	ACAD10	PCBP1-AS1	STAC3	PGM3
TULP4	PHOSPHO2	TDRD7	EXD3	NBPF4	LTN1	CLK1
