EXPERIMENT	TYPE	EVENT	DIRECTION
HeLa-SRRM2-KD	Exon	HsaEX0053494	UP
HeLa-SRRM2-KD	Exon	HsaEX0057234	UP
HeLa-SRRM2-KD	Exon	HsaEX0008812	UP
HeLa-SRRM2-KD	Exon	HsaEX0001548	UP
HeLa-SRRM2-KD	Exon	HsaEX0062679	UP
HeLa-SRRM2-KD	Exon	HsaEX0034823	UP
HeLa-SRRM2-KD	Exon	HsaEX0048873	UP
HeLa-SRRM2-KD	Exon	HsaEX0001930	UP
HeLa-SRRM2-KD	Exon	HsaEX0067855	UP
HeLa-SRRM2-KD	Exon	HsaEX0073355	UP
HeLa-SRRM2-KD	Exon	HsaEX0064361	UP
HeLa-SRRM2-KD	Exon	HsaEX0025387	UP
HeLa-SRRM2-KD	Exon	HsaEX0024339	UP
HeLa-SRRM2-KD	Exon	HsaEX0062007	UP
HeLa-SRRM2-KD	Exon	HsaEX0071181	UP
HeLa-SRRM2-KD	Exon	HsaEX0059222	UP
HeLa-SRRM2-KD	Exon	HsaEX0022179	UP
HeLa-SRRM2-KD	Exon	HsaEX0004471	UP
HeLa-SRRM2-KD	Exon	HsaEX0001239	UP
HeLa-SRRM2-KD	Exon	HsaEX0044778	UP
HeLa-SRRM2-KD	Exon	HsaEX0024991	UP
HeLa-SRRM2-KD	Exon	HsaEX0027801	UP
HeLa-SRRM2-KD	Exon	HsaEX0035238	UP
HeLa-SRRM2-KD	Exon	HsaEX0068992	UP
HeLa-SRRM2-KD	Exon	HsaEX0018759	UP
HeLa-SRRM2-KD	Exon	HsaEX0028297	UP
HeLa-SRRM2-KD	Exon	HsaEX0049171	UP
HeLa-SRRM2-KD	Exon	HsaEX0054615	UP
HeLa-SRRM2-KD	Exon	HsaEX0015477	UP
HeLa-SRRM2-KD	Exon	HsaEX0052594	UP
HeLa-SRRM2-KD	Exon	HsaEX0065944	UP
HeLa-SRRM2-KD	Exon	HsaEX0042365	UP
HeLa-SRRM2-KD	Exon	HsaEX0009086	UP
HeLa-SRRM2-KD	Exon	HsaEX0020055	UP
HeLa-SRRM2-KD	Exon	HsaEX0039967	UP
HeLa-SRRM2-KD	Exon	HsaEX0049172	UP
HeLa-SRRM2-KD	Exon	HsaEX1000538	UP
HeLa-SRRM2-KD	Exon	HsaEX0065421	UP
HeLa-SRRM2-KD	Exon	HsaEX0018731	UP
HeLa-SRRM2-KD	Exon	HsaEX0045237	UP
HeLa-SRRM2-KD	Exon	HsaEX0033286	UP
HeLa-SRRM2-KD	Exon	HsaEX0059588	UP
HeLa-SRRM2-KD	Exon	HsaEX0042367	UP
HeLa-SRRM2-KD	Exon	HsaEX6096383	UP
HeLa-SRRM2-KD	Exon	HsaEX0073353	UP
HeLa-SRRM2-KD	Exon	HsaEX1000573	UP
HeLa-SRRM2-KD	Exon	HsaEX0007723	UP
HeLa-SRRM2-KD	Exon	HsaEX1027451	UP
HeLa-SRRM2-KD	Exon	HsaEX0073028	UP
HeLa-SRRM2-KD	Exon	HsaEX0011421	UP
HeLa-SRRM2-KD	Exon	HsaEX0062006	UP
HeLa-SRRM2-KD	Exon	HsaEX0031421	UP
HeLa-SRRM2-KD	Exon	HsaEX0008795	UP
HeLa-SRRM2-KD	Exon	HsaEX0019912	UP
HeLa-SRRM2-KD	Exon	HsaEX6010767	UP
HeLa-SRRM2-KD	Exon	HsaEX1001620	UP
HeLa-SRRM2-KD	Exon	HsaEX0059049	UP
HeLa-SRRM2-KD	Exon	HsaEX1004491	UP
HeLa-SRRM2-KD	Exon	HsaEX6025851	UP
HeLa-SRRM2-KD	Exon	HsaEX0012711	UP
HeLa-SRRM2-KD	Exon	HsaEX0074327	UP
HeLa-SRRM2-KD	Exon	HsaEX0000824	UP
HeLa-SRRM2-KD	Exon	HsaEX0038180	UP
HeLa-SRRM2-KD	Exon	HsaEX0008056	UP
HeLa-SRRM2-KD	Exon	HsaEX1008596	UP
HeLa-SRRM2-KD	Exon	HsaEX0022392	UP
HeLa-SRRM2-KD	Exon	HsaEX1023496	UP
HeLa-SRRM2-KD	Exon	HsaEX0073797	UP
HeLa-SRRM2-KD	Exon	HsaEX0042366	UP
HeLa-SRRM2-KD	Exon	HsaEX0033738	UP
HeLa-SRRM2-KD	Exon	HsaEX0016310	UP
HeLa-SRRM2-KD	Exon	HsaEX0024855	UP
HeLa-SRRM2-KD	Exon	HsaEX0059406	UP
HeLa-SRRM2-KD	Exon	HsaEX0001381	UP
HeLa-SRRM2-KD	Exon	HsaEX0022479	UP
HeLa-SRRM2-KD	Exon	HsaEX0008813	UP
HeLa-SRRM2-KD	Exon	HsaEX0056909	UP
HeLa-SRRM2-KD	Exon	HsaEX0066692	UP
HeLa-SRRM2-KD	Exon	HsaEX1035698	UP
HeLa-SRRM2-KD	Exon	HsaEX0059221	UP
HeLa-SRRM2-KD	Exon	HsaEX0013034	UP
HeLa-SRRM2-KD	Exon	HsaEX0019047	UP
HeLa-SRRM2-KD	Exon	HsaEX0036374	UP
HeLa-SRRM2-KD	Exon	HsaEX0071501	UP
HeLa-SRRM2-KD	Exon	HsaEX0028107	UP
HeLa-SRRM2-KD	Exon	HsaEX0070524	UP
HeLa-SRRM2-KD	Exon	HsaEX0058973	UP
HeLa-SRRM2-KD	Exon	HsaEX0068438	UP
HeLa-SRRM2-KD	Exon	HsaEX0020547	UP
HeLa-SRRM2-KD	Exon	HsaEX0004644	UP
HeLa-SRRM2-KD	Exon	HsaEX1036614	UP
HeLa-SRRM2-KD	Exon	HsaEX0053917	UP
HeLa-SRRM2-KD	Exon	HsaEX1034556	UP
HeLa-SRRM2-KD	Exon	HsaEX0008075	UP
HeLa-SRRM2-KD	Exon	HsaEX0013287	UP
HeLa-SRRM2-KD	Exon	HsaEX6044302	UP
HeLa-SRRM2-KD	Exon	HsaEX0024457	UP
HeLa-SRRM2-KD	Exon	HsaEX0038792	UP
HeLa-SRRM2-KD	Exon	HsaEX0058387	UP
HeLa-SRRM2-KD	Exon	HsaEX0053518	UP
HeLa-SRRM2-KD	Exon	HsaEX0033285	UP
HeLa-SRRM2-KD	Exon	HsaEX0057755	UP
HeLa-SRRM2-KD	Exon	HsaEX1023495	UP
HeLa-SRRM2-KD	Exon	HsaEX6010768	UP
HeLa-SRRM2-KD	Exon	HsaEX0062457	UP
HeLa-SRRM2-KD	Exon	HsaEX0030427	UP
HeLa-SRRM2-KD	Exon	HsaEX0039807	UP
HeLa-SRRM2-KD	Exon	HsaEX0019164	UP
HeLa-SRRM2-KD	Exon	HsaEX6063225	UP
HeLa-SRRM2-KD	Exon	HsaEX0046657	UP
HeLa-SRRM2-KD	Exon	HsaEX0005293	UP
HeLa-SRRM2-KD	Exon	HsaEX0072402	UP
HeLa-SRRM2-KD	Exon	HsaEX0036951	UP
HeLa-SRRM2-KD	Exon	HsaEX0059688	UP
HeLa-SRRM2-KD	Exon	HsaEX0045976	UP
HeLa-SRRM2-KD	Exon	HsaEX1030691	UP
HeLa-SRRM2-KD	Exon	HsaEX0001613	UP
HeLa-SRRM2-KD	Exon	HsaEX1025208	UP
HeLa-SRRM2-KD	Exon	HsaEX0068311	UP
HeLa-SRRM2-KD	Exon	HsaEX0041468	UP
HeLa-SRRM2-KD	Exon	HsaEX0031371	UP
HeLa-SRRM2-KD	Exon	HsaEX0032099	UP
HeLa-SRRM2-KD	Exon	HsaEX0026944	UP
HeLa-SRRM2-KD	Exon	HsaEX0009085	UP
HeLa-SRRM2-KD	Exon	HsaEX0031370	UP
HeLa-SRRM2-KD	Exon	HsaEX0073377	UP
HeLa-SRRM2-KD	Exon	HsaEX0047483	UP
HeLa-SRRM2-KD	Exon	HsaEX0008680	UP
HeLa-SRRM2-KD	Exon	HsaEX0044365	UP
HeLa-SRRM2-KD	Exon	HsaEX0039305	UP
HeLa-SRRM2-KD	Exon	HsaEX0067303	UP
HeLa-SRRM2-KD	Exon	HsaEX0021877	UP
HeLa-SRRM2-KD	Exon	HsaEX0011591	UP
HeLa-SRRM2-KD	Exon	HsaEX0033287	UP
HeLa-SRRM2-KD	Exon	HsaEX0046784	UP
HeLa-SRRM2-KD	Exon	HsaEX0071621	UP
HeLa-SRRM2-KD	Exon	HsaEX0038394	UP
HeLa-SRRM2-KD	Exon	HsaEX0017650	UP
HeLa-SRRM2-KD	Exon	HsaEX6056343	UP
HeLa-SRRM2-KD	Exon	HsaEX0034813	UP
HeLa-SRRM2-KD	Exon	HsaEX0044577	UP
HeLa-SRRM2-KD	Exon	HsaEX0000820	UP
HeLa-SRRM2-KD	Exon	HsaEX0063455	UP
HeLa-SRRM2-KD	Exon	HsaEX0045597	UP
HeLa-SRRM2-KD	Exon	HsaEX0069687	UP
HeLa-SRRM2-KD	Exon	HsaEX0014040	UP
HeLa-SRRM2-KD	Exon	HsaEX0051305	UP
HeLa-SRRM2-KD	Exon	HsaEX0051225	UP
HeLa-SRRM2-KD	Exon	HsaEX0057334	UP
