GENE	EVENT	AS_TYPE	dPSI_SRRM2_HeLa	direction_SRRM2_HeLa
ATG2B	HsaALTA1004616-3/4	Alt. Acceptor	64.15	UP
ACIN1	HsaEX0001930	Exon	61.62	UP
BRCA1	HsaALTD0000736-1/3	Alt. Donor	60.93	UP
NAV1	HsaALTD1020417-2/2	Alt. Donor	60.38	UP
CSPP1	HsaALTA1012545-2/3	Alt. Acceptor	59.26	UP
TTC23	HsaEX0067855	Exon	53.34	UP
SIK3	HsaEX6004823	Exon	50.89	UP
IRF3	HsaALTA1022671-1/2	Alt. Acceptor	49.3	UP
NEURL4	HsaALTD0004280-2/2	Alt. Donor	48.61	UP
SPIN2B	HsaALTD1053240-6/6	Alt. Donor	45.769999999999996	UP
ZNF283	HsaEX0073355	Exon	43.97	UP
MEN1	HsaALTA1026174-3/4	Alt. Acceptor	43.75	UP
NMD3	HsaALTD0004325-2/2	Alt. Donor	43.31	UP
TLE3	HsaALTD0006549-1/2	Alt. Donor	43.22	UP
E2F2	HsaALTA1000837-2/3	Alt. Acceptor	43.010000000000005	UP
SLC38A6	HsaALTA0007958-2/3	Alt. Acceptor	42.99	UP
ATG2B	HsaALTA1004608-3/4	Alt. Acceptor	42.760000000000005	UP
TEAD1	HsaEX0064361	Exon	40.42	UP
C1RL-AS1	HsaALTD0000092-1/3	Alt. Donor	40.22	UP
KIAA1549	HsaALTA0004565-2/2	Alt. Acceptor	40.059999999999995	UP
FBXW8	HsaEX0025387	Exon	40	UP
EIF2D	HsaALTA1032275-2/4	Alt. Acceptor	39.77	UP
FAM193B	HsaEX0024339	Exon	38.05	UP
SNRNP48	HsaALTA1044342-2/2	Alt. Acceptor	36.63	UP
RP11-521B24.3	HsaALTD1052775-3/3	Alt. Donor	36.6	UP
KIF7	HsaALTA1043040-1/2	Alt. Acceptor	36.480000000000004	UP
POLR2J3	HsaALTA1063617-5/13	Alt. Acceptor	36.400000000000006	UP
ST5	HsaEX0062007	Exon	36.18	UP
ZNF780B	HsaALTA1064029-1/2	Alt. Acceptor	36.10000000000001	UP
CFAP44	HsaEX0071181	Exon	35.85000000000001	UP
SIK3	HsaALTA1039019-2/2	Alt. Acceptor	35.709999999999994	UP
PCBD2	HsaALTD0004599-2/2	Alt. Donor	35.67999999999999	UP
LRRC75A-AS1	HsaALTD1037109-1/2	Alt. Donor	35.67	UP
SLC27A4	HsaEX0059222	Exon	35.67	UP
DNHD1	HsaALTD1038356-2/2	Alt. Donor	35.62	UP
HAUS5	HsaALTD1047256-1/2	Alt. Donor	35.55	UP
ADAT2	HsaALTD1041189-1/3	Alt. Donor	35.42	UP
FAM120A	HsaALTD1002234-4/5	Alt. Donor	35.17999999999999	UP
ELMOD3	HsaEX0022179	Exon	34.99	UP
ANKRD18B	HsaALTA1058282-2/2	Alt. Acceptor	34.87	UP
ANKRD33B	HsaEX0004471	Exon	34.480000000000004	UP
PNPLA6	HsaALTA1002233-3/3	Alt. Acceptor	34.38	UP
PNPLA6	HsaALTD1001654-1/2	Alt. Donor	34.38	UP
AC034220.3	HsaEX0001239	Exon	34.32000000000001	UP
HR	HsaALTA1044248-2/2	Alt. Acceptor	34.129999999999995	UP
PYGL	HsaALTD1007865-2/3	Alt. Donor	34.089999999999996	UP
CCDC130	HsaALTD1009765-3/4	Alt. Donor	33.78	UP
CCDC122	HsaALTD1050585-4/4	Alt. Donor	33.71	UP
ZNF211	HsaALTA1020713-2/2	Alt. Acceptor	33.650000000000006	UP
METTL21A	HsaALTA0003098-2/2	Alt. Acceptor	33.61	UP
OPN3	HsaEX0044778	Exon	33.56	UP
FBF1	HsaEX0024991	Exon	33.33	UP
GMPPB	HsaEX0027801	Exon	33.33	UP
MYL6B	HsaALTD1041552-2/2	Alt. Donor	33.300000000000004	UP
RP11-43A14.1	HsaALTD1052750-2/2	Alt. Donor	33.22	UP
LAMA3	HsaEX0035238	Exon	33.1	UP
UBR4	HsaEX0068992	Exon	33	UP
KRT8	HsaALTD1035297-2/4	Alt. Donor	32.980000000000004	UP
YBX1	HsaALTA1004474-4/5	Alt. Acceptor	32.98	UP
RCBTB1	HsaALTD1052486-2/2	Alt. Donor	32.78	UP
DCTD	HsaEX0018759	Exon	32.64	UP
ZNF207	HsaALTA1001090-2/3	Alt. Acceptor	32.6	UP
ADGRD1	HsaEX0028297	Exon	32.05	UP
RPL21	HsaALTA1020897-2/4	Alt. Acceptor	31.810000000000002	UP
AMZ2	HsaALTA0000414-1/2	Alt. Acceptor	31.47	UP
LMO7-AS1	HsaALTD1051799-1/3	Alt. Donor	31.419999999999995	UP
MTCP1	HsaALTD1044471-2/2	Alt. Donor	31.270000000000003	UP
HOXA11-AS	HsaINT0077276	Intron	31.129999999999995	UP
VPS28	HsaALTA0009431-1/2	Alt. Acceptor	31.12	UP
OLA1	HsaALTA1029418-1/3	Alt. Acceptor	31.069999999999997	UP
SPATA20	HsaALTA0008154-1/2	Alt. Acceptor	30.869999999999997	UP
POMT2	HsaEX0049171	Exon	30.729999999999997	UP
ARSJ	HsaALTD1038593-1/2	Alt. Donor	30.659999999999997	UP
ST6GALNAC6	HsaALTD1030163-1/2	Alt. Donor	30.28	UP
SNHG11	HsaALTD1036870-4/5	Alt. Donor	30.120000000000005	UP
RBM26-AS1	HsaEX0054615	Exon	30.03	UP
CLASP1	HsaEX0015477	Exon	29.989999999999995	UP
