GENE	EVENT	AS_TYPE	dPSI_SRRM2_HepG2	direction_SRRM2_HepG2
IQCG	HsaINT0081734	Intron	64.41	UP
KBTBD3	HsaEX0032926	Exon	62.5	UP
PHYHD1	HsaALTD0004739-1/3	Alt. Donor	57.92	UP
GSDMB	HsaEX0028808	Exon	56.91	UP
DLG2	HsaALTD1027141-4/5	Alt. Donor	55.17	UP
RORA	HsaALTA1005061-1/2	Alt. Acceptor	54.08	UP
SLC2A13	HsaEX0059286	Exon	53.61	UP
CCDC183-AS1	HsaINT1006589	Intron	49.71	UP
DAAM1	HsaALTA1010592-3/3	Alt. Acceptor	49.3	UP
RPL4	HsaALTD1036897-4/4	Alt. Donor	48.059999999999995	UP
PGAP1	HsaEX0046781	Exon	47.7	UP
GARNL3	HsaEX0027046	Exon	47.56	UP
TIAM2	HsaALTA1033696-1/2	Alt. Acceptor	46.54	UP
ZGRF1	HsaALTD1053744-1/4	Alt. Donor	45.71	UP
CTD-3184A7.4	HsaALTA1058527-3/3	Alt. Acceptor	45.629999999999995	UP
MYO6	HsaEX0041240	Exon	43.37	UP
SELENOT	HsaALTD0005487-1/2	Alt. Donor	42.25	UP
RPL32	HsaALTA1032975-1/4	Alt. Acceptor	42.05	UP
DHDDS	HsaALTD0001912-3/6	Alt. Donor	41.85999999999999	UP
DIAPH2	HsaEX0019681	Exon	41.6	UP
MZF1-AS1	HsaEX1024973	Exon	41.25	UP
CCDC183-AS1	HsaINT1006590	Intron	41.11000000000001	UP
ZNF17	HsaEX7109033	Exon	40.39999999999999	UP
DDA1	HsaALTD1018547-1/2	Alt. Donor	39.99	UP
DAG1	HsaALTA0002329-1/2	Alt. Acceptor	39.36000000000001	UP
DAAM1	HsaALTD1007908-2/3	Alt. Donor	39.11	UP
HTRA2	HsaALTA0004136-4/7	Alt. Acceptor	38.230000000000004	UP
NOD1	HsaEX0043249	Exon	38.199999999999996	UP
ENTPD1-AS1	HsaALTD0005489-1/2	Alt. Donor	37.900000000000006	UP
KCP	HsaEX0033145	Exon	37.49000000000001	UP
PEBP1	HsaALTD1006292-1/2	Alt. Donor	37.30999999999999	UP
DFNB31	HsaEX0019328	Exon	37.3	UP
NA	HsaEX1000668	Exon	36.980000000000004	UP
RNF157-AS1	HsaALTA1062219-1/2	Alt. Acceptor	36.97	UP
ANK1	HsaALTA1002151-2/2	Alt. Acceptor	36.84	UP
SUPT16H	HsaEX0062925	Exon	36.730000000000004	UP
AC010883.5	HsaALTA1058869-1/2	Alt. Acceptor	36.51	UP
BDP1	HsaEX1005618	Exon	36.5	UP
ZNF783	HsaEX1045495	Exon	36.44	UP
SLC2A13	HsaALTA1035315-2/2	Alt. Acceptor	36.33	UP
RP11-34P13.13	HsaALTD1046708-1/2	Alt. Donor	36.17999999999999	UP
ELK1	HsaEX0022122	Exon	36.14	UP
ZNF611	HsaEX1045307	Exon	36.11	UP
MYSM1	HsaEX0041367	Exon	35.99000000000001	UP
ZFP30	HsaALTA0009687-2/2	Alt. Acceptor	35.99	UP
MDM4	HsaEX0038414	Exon	35.959999999999994	UP
TNRC6A	HsaEX0066371	Exon	35.77	UP
RP11-161M6.2	HsaALTD1048639-2/2	Alt. Donor	35.68000000000001	UP
PZP	HsaALTA1022800-1/2	Alt. Acceptor	35.68	UP
ZNF619	HsaEX0074066	Exon	35.650000000000006	UP
GK	HsaEX1015560	Exon	35.480000000000004	UP
ATXN7L1	HsaEX0007305	Exon	35.43000000000001	UP
ZNF724	HsaEX1045448	Exon	35.27000000000001	UP
CCNT2-AS1	HsaEX0001122	Exon	35.239999999999995	UP
ZKSCAN7	HsaALTA0009745-1/2	Alt. Acceptor	34.94	UP
RP11-175P13.3	HsaEX0000041	Exon	34.86	UP
FAM13B	HsaEX0024015	Exon	34.730000000000004	UP
ZNF565	HsaEX0073947	Exon	34.53000000000001	UP
AIG1	HsaALTD1025956-1/3	Alt. Donor	34.44	UP
RP1-167A14.2	HsaEX1031693	Exon	34.400000000000006	UP
THADA	HsaALTA1018560-3/3	Alt. Acceptor	34.290000000000006	UP
TCTN1	HsaALTA1056171-3/3	Alt. Acceptor	34.27	UP
LINC00106	HsaALTA1059128-3/4	Alt. Acceptor	34.17	UP
PGAP1	HsaEX0046780	Exon	34.06	UP
ARHGDIA	HsaALTD1024022-2/2	Alt. Donor	34.02000000000001	UP
DLST	HsaALTA1020092-1/3	Alt. Acceptor	34.01	UP
GARNL3	HsaEX0027033	Exon	33.980000000000004	UP
CCDC17	HsaINT0029351	Intron	33.66	UP
CRAMP1	HsaALTD1053862-1/2	Alt. Donor	33.62	UP
TRIM5	HsaEX0067152	Exon	33.58	UP
MTIF2	HsaALTA1007798-3/3	Alt. Acceptor	33.559999999999995	UP
ANP32B	HsaEX0004687	Exon	33.54	UP
LINC00355	HsaEX0054972	Exon	33.51	UP
ZNF484	HsaEX0073772	Exon	33.470000000000006	UP
POLR2J	HsaALTD1052337-1/2	Alt. Donor	33.330000000000005	UP
CBX7	HsaALTA0001522-1/2	Alt. Acceptor	33.33	UP
NA	HsaEX0057275	Exon	33.33	UP
ASMTL-AS1	HsaALTA1059012-3/4	Alt. Acceptor	32.97	UP
ITGB1	HsaALTA0004397-3/4	Alt. Acceptor	32.88999999999999	UP
SLC25A36	HsaINT0151837	Intron	32.83	UP
CIC	HsaALTD1005071-3/4	Alt. Donor	32.79	UP
KIAA1217	HsaEX0033960	Exon	32.519999999999996	UP
TERT	HsaEX0064494	Exon	32.379999999999995	UP
NUP50-AS1	HsaALTA1057731-2/2	Alt. Acceptor	32.35	UP
MYSM1	HsaEX0041369	Exon	32.22	UP
MYO6	HsaEX0041241	Exon	32.160000000000004	UP
SLC2A1-AS1	HsaALTD1045237-1/2	Alt. Donor	32.010000000000005	UP
ELF1	HsaALTD1015612-1/2	Alt. Donor	31.720000000000002	UP
DCLRE1C	HsaEX0018711	Exon	31.67	UP
ELF1	HsaALTA1020423-2/2	Alt. Acceptor	31.66	UP
SLC9A5	HsaEX0060045	Exon	31.419999999999998	UP
TERT	HsaEX0064495	Exon	31.29	UP
SLC8B1	HsaALTD0005967-1/2	Alt. Donor	31.28	UP
SEC31B	HsaALTD1004580-1/2	Alt. Donor	31.28	UP
ZFP14	HsaALTA1031459-2/2	Alt. Acceptor	31.25	UP
SNX5	HsaALTA1008423-2/2	Alt. Acceptor	31.200000000000003	UP
FAM111A	HsaALTD0002367-1/2	Alt. Donor	31.139999999999997	UP
PEAK1	HsaEX0001547	Exon	31.11	UP
IFT172	HsaEX0031034	Exon	31.099999999999994	UP
ANKMY1	HsaEX0004251	Exon	31.06	UP
THADA	HsaALTD1014113-1/2	Alt. Donor	31.019999999999996	UP
METTL21A	HsaINT0059639	Intron	30.960000000000008	UP
RP11-248G5.8	HsaALTA1057187-1/2	Alt. Acceptor	30.78	UP
LINC01876	HsaINT1021008	Intron	30.769999999999996	UP
ARHGEF10L	HsaEX0005584	Exon	30.760000000000005	UP
ZNF605	HsaEX0074024	Exon	30.74	UP
DBF4	HsaALTA1000641-1/2	Alt. Acceptor	30.700000000000003	UP
HK2	HsaEX1016866	Exon	30.689999999999998	UP
MACF1	HsaEX0037169	Exon	30.419999999999998	UP
MYO9A	HsaEX0041285	Exon	30.4	UP
CCNYL1	HsaEX1007633	Exon	30.370000000000005	UP
ARHGAP32	HsaEX0005500	Exon	30.269999999999996	UP
CEACAM19	HsaEX1008102	Exon	30.15	UP
H3F3A	HsaALTD1031138-3/4	Alt. Donor	30.089999999999996	UP
MAP4K5	HsaALTD1001094-1/2	Alt. Donor	29.94	UP
SLC44A3	HsaALTA1031927-1/2	Alt. Acceptor	29.93	UP
SNX6	HsaALTA1023722-1/2	Alt. Acceptor	29.860000000000007	UP
CNOT7	HsaALTD1043089-1/2	Alt. Donor	29.790000000000006	UP
IQCH-AS1	HsaEX1017862	Exon	29.79	UP
AC092614.2	HsaEX1002210	Exon	29.74000000000001	UP
ZNF783	HsaALTD0007514-2/2	Alt. Donor	29.740000000000002	UP
AC073046.25	HsaALTA1058941-2/3	Alt. Acceptor	29.680000000000007	UP
ELAC1	HsaALTA1064087-2/2	Alt. Acceptor	29.429999999999993	UP
DEPDC5	HsaALTA0002449-2/4	Alt. Acceptor	29.4	UP
TRMT61B	HsaALTA1045634-2/2	Alt. Acceptor	29.310000000000002	UP
LINC01572	HsaEX1021131	Exon	29.260000000000005	UP
ZNF584	HsaALTA0009860-3/3	Alt. Acceptor	29.23	UP
IST1	HsaALTD1038931-1/3	Alt. Donor	29.220000000000002	UP
LINC00998	HsaALTD1051724-3/3	Alt. Donor	29.199999999999996	UP
CCDC18	HsaEX0013160	Exon	29.15	UP
ODF3B	HsaINT0117864	Intron	29.119999999999997	UP
NFIB	HsaALTD0004290-1/2	Alt. Donor	29.1	UP
KAT6B	HsaALTD1028967-3/3	Alt. Donor	29.1	UP
USP45	HsaEX0069923	Exon	29.099999999999994	UP
GIGYF1	HsaALTA1033826-3/3	Alt. Acceptor	29.019999999999996	UP
CCT3	HsaEX1007657	Exon	28.979999999999997	UP
MROH2A	HsaEX6019305	Exon	28.97	UP
MSLN	HsaALTA1011840-2/3	Alt. Acceptor	28.96	UP
MEF2A	HsaEX0038685	Exon	28.950000000000003	UP
ZNF251	HsaALTD1053770-3/5	Alt. Donor	28.780000000000005	UP
CUL4A	HsaEX1010695	Exon	28.73	UP
CEACAM19	HsaEX0014473	Exon	28.619999999999997	UP
ZNF573	HsaALTA0009856-2/2	Alt. Acceptor	28.57	UP
NDUFAF6	HsaINT1024687	Intron	28.569999999999993	UP
ZKSCAN3	HsaALTD1041261-3/5	Alt. Donor	28.46	UP
ZNF319	HsaALTA1042627-3/3	Alt. Acceptor	28.39	UP
ANP32E	HsaALTA0000487-2/3	Alt. Acceptor	28.339999999999996	UP
LOXL3	HsaEX0036162	Exon	28.299999999999997	UP
ZNF79	HsaALTD0007516-1/3	Alt. Donor	28.240000000000002	UP
DGKE	HsaALTD1028132-1/2	Alt. Donor	28.17	UP
SPIN3	HsaALTD1043518-2/3	Alt. Donor	28.150000000000006	UP
RFC3	HsaEX0053173	Exon	28.08	UP
NPHP3	HsaEX0043535	Exon	28.019999999999996	UP
CRAMP1	HsaEX0017128	Exon	27.959999999999994	UP
HSPA12A	HsaALTD1032950-2/3	Alt. Donor	27.95	UP
RPL4	HsaALTD1036896-1/5	Alt. Donor	27.85	UP
CDHR3	HsaEX0014240	Exon	27.75	UP
GRM7	HsaALTD1041413-1/2	Alt. Donor	27.660000000000004	UP
HNF1A-AS1	HsaEX1017003	Exon	27.65	UP
PALM3	HsaEX0045310	Exon	27.6	UP
ZNF133	HsaEX0073025	Exon	27.5	UP
PPIP5K2	HsaEX0030034	Exon	27.42	UP
LINC02163	HsaEX0054431	Exon	27.340000000000003	UP
RP11-268G12.1	HsaEX1032729	Exon	27.31	UP
KRTCAP3	HsaINT0089748	Intron	27.29	UP
SPATA6L	HsaEX0011703	Exon	27.279999999999998	UP
WSB1	HsaEX0071632	Exon	27.279999999999998	UP
NCOA7	HsaEX0042095	Exon	27.270000000000003	UP
MICAL1	HsaALTD0003911-1/5	Alt. Donor	27.26	UP
ZKSCAN7	HsaALTD0007379-1/2	Alt. Donor	27.199999999999996	UP
GOLGA2P5	HsaEX0001028	Exon	27.189999999999998	UP
TMEM260	HsaEX0009344	Exon	27.189999999999998	UP
TEAD1	HsaEX0064365	Exon	27.14	UP
FAM222A-AS1	HsaEX0000014	Exon	27.03	UP
KIAA0895	HsaALTD0003443-1/2	Alt. Donor	27	UP
C17orf75	HsaALTA1014985-2/2	Alt. Acceptor	26.949999999999996	UP
C17orf75	HsaALTD1011399-1/2	Alt. Donor	26.949999999999996	UP
GSTT2B	HsaALTA1025970-2/4	Alt. Acceptor	26.9	UP
ABCA2	HsaEX0000256	Exon	26.799999999999997	UP
RP11-712L6.5	HsaALTA1060838-1/2	Alt. Acceptor	26.789999999999992	UP
LINC01012	HsaALTD1049913-2/2	Alt. Donor	26.770000000000003	UP
OBSL1	HsaEX0044550	Exon	26.689999999999998	UP
CDC42BPG	HsaALTA1045678-3/3	Alt. Acceptor	26.67	UP
LIMS2	HsaEX0035854	Exon	26.67	UP
DNAL1	HsaEX0020377	Exon	26.650000000000002	UP
RP11-875O11.3	HsaEX1034929	Exon	26.610000000000003	UP
MAP3K7	HsaEX0037602	Exon	26.599999999999998	UP
SMUG1	HsaALTA1021446-2/3	Alt. Acceptor	26.59	UP
FSTL4	HsaEX0026517	Exon	26.56	UP
USP53	HsaEX0069974	Exon	26.56	UP
GPER1	HsaEX0028178	Exon	26.52	UP
ZNF761	HsaEX7010668	Exon	26.490000000000002	UP
N4BP2	HsaEX0041421	Exon	26.47	UP
ZFAND4	HsaALTD0000348-1/5	Alt. Donor	26.43	UP
PSTPIP1	HsaEX0050706	Exon	26.43	UP
MXD3	HsaALTA1056686-1/3	Alt. Acceptor	26.400000000000006	UP
DBF4B	HsaEX0018562	Exon	26.4	UP
RPL11	HsaALTA1031764-2/4	Alt. Acceptor	26.340000000000003	UP
ACSL6	HsaALTD1054111-1/2	Alt. Donor	26.32	UP
CPED1	HsaEX1009655	Exon	26.26	UP
PRRC2C	HsaEX0007661	Exon	26.249999999999996	UP
FCF1	HsaALTA1020017-2/3	Alt. Acceptor	26.22	UP
ZFP62	HsaALTD1053739-1/4	Alt. Donor	26.190000000000005	UP
EDA2R	HsaALTD0002111-1/2	Alt. Donor	26.18	UP
C8orf58	HsaALTA0001371-2/2	Alt. Acceptor	26.14	UP
LINC00265	HsaALTD1040972-2/3	Alt. Donor	26.12	UP
ATP2C1	HsaALTA0000799-2/3	Alt. Acceptor	26.019999999999996	UP
