FEATURE	UP_EXONS_HeLa_SRRM2-KD_N_DATAPOINTS	UP_EXONS_HeLa_SRRM2-KD_N_NA	UP_EXONS_HeLa_SRRM2-KD_MEAN	UP_EXONS_HeLa_SRRM2-KD_MEDIAN	DOWN_EXONS_HeLa_SRRM2-KD_N_DATAPOINTS	DOWN_EXONS_HeLa_SRRM2-KD_N_NA	DOWN_EXONS_HeLa_SRRM2-KD_MEAN	DOWN_EXONS_HeLa_SRRM2-KD_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_DOWN_EXONS_HeLa_SRRM2-KD	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_DOWN_EXONS_HeLa_SRRM2-KD	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_HeLa_SRRM2-KD_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_HeLa_SRRM2-KD_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC
EXON_LENGTH	367	0	143.231607629428	113	434	0	145.527649769585	112.5	990	0	118.643434343434	98.5	971	0	134.394438722966	119	966	0	126.874741200828	103	0.94501867540933	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	3.3774931353799e-05	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.187789437721369	UP_EXONS_HeLa_SRRM2-KD = CS	0.00267159466656259	**  : UP_EXONS_HeLa_SRRM2-KD > AS_NC	1.66328904340139e-05	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	0.226372569742729	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.00204301086744192	**  : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	4.801505057355e-13	*** : CR < CS	0.0580727447325963	CR = AS_NC	4.59400546328897e-09	*** : CS > AS_NC
UPEXON_MEDIANLENGTH	365	2	152.149315068493	126	432	2	151.039351851852	126	990	0	153.74595959596	124	971	0	152.184346035015	126	965	1	145.918652849741	123	0.296710180536277	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.950647005023795	UP_EXONS_HeLa_SRRM2-KD = CR	0.990540607690612	UP_EXONS_HeLa_SRRM2-KD = CS	0.455254668862349	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.23415294884427	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.201700803723032	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.0433104084346888	*   : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.917536633895585	CR = CS	0.268272371749846	CR = AS_NC	0.320811908556823	CS = AS_NC
DOEXON_MEDIANLENGTH	366	1	271.866120218579	132.75	434	0	241.771889400922	131.25	990	0	191.229292929293	122	971	0	249.990216271885	126	966	0	267.575051759834	131.5	0.655982673129188	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.00154108249111159	**  : UP_EXONS_HeLa_SRRM2-KD > CR	0.0991501020766993	UP_EXONS_HeLa_SRRM2-KD = CS	0.596102565094063	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.00300835368961113	**  : DOWN_EXONS_HeLa_SRRM2-KD > CR	0.194560771621354	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.981126961415305	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	0.0348148141816925	*   : CR < CS	0.000279763315013187	*** : CR < AS_NC	0.125741519951292	CS = AS_NC
RATIO_UPEXON_EXON_LENGTH	365	2	1.62805973995697	1.1	432	2	1.67107759033478	1.10727638769054	990	0	3.48830345140042	1.2937509061911	971	0	1.37217542219867	1.06666666666667	965	1	1.72870239385792	1.16525423728814	0.598947142587047	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.00065187433001941	*** : UP_EXONS_HeLa_SRRM2-KD < CR	0.282675134089699	UP_EXONS_HeLa_SRRM2-KD = CS	0.160918446201868	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.00241235425545195	**  : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.067489636704576	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.420076155979305	DOWN_EXONS_HeLa_SRRM2-KD = AS_NC	1.1595837224355e-09	*** : CR > CS	0.00406776065729223	**  : CR > AS_NC	0.000650869131102164	*** : CS < AS_NC
RATIO_DOEXON_EXON_LENGTH	366	1	2.72397754018002	1.1371473354232	434	0	2.72342662166865	1.18517436197155	990	0	4.20371562422322	1.27016653655998	971	0	2.26263229511964	1.10606060606061	966	0	3.03662064052441	1.27698412698413	0.59723777989556	UP_EXONS_HeLa_SRRM2-KD = DOWN_EXONS_HeLa_SRRM2-KD	0.538162821464681	UP_EXONS_HeLa_SRRM2-KD = CR	0.0209072815489669	*   : UP_EXONS_HeLa_SRRM2-KD > CS	0.143641618891042	UP_EXONS_HeLa_SRRM2-KD = AS_NC	0.158626324804336	DOWN_EXONS_HeLa_SRRM2-KD = CR	0.0804594321878468	DOWN_EXONS_HeLa_SRRM2-KD = CS	0.0239091805174848	*   : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	0.000160717925155212	*** : CR > CS	0.367467120050582	CR = AS_NC	2.72097297709809e-07	*** : CS < AS_NC
UPINTRON_MEDIANLENGTH	365	2	10242.6630136986	2813	432	2	5310.70486111111	1316.5	990	0	6711.30505050505	1865	971	0	4547.58805355304	1524	965	1	7522.41761658031	2406	5.96641275576756e-10	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.000206622951316612	*** : UP_EXONS_HeLa_SRRM2-KD > CR	1.36010259216598e-11	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.0769866489577983	UP_EXONS_HeLa_SRRM2-KD = AS_NC	7.63556490890969e-05	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.396257874631855	DOWN_EXONS_HeLa_SRRM2-KD = CS	4.3952019844157e-09	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	4.05010503623015e-05	*** : CR > CS	0.00874375736571095	**  : CR < AS_NC	1.80512870578819e-11	*** : CS < AS_NC
DOINTRON_MEDIANLENGTH	366	1	8074.78825136612	2545.5	434	0	4937.04723502304	1246	990	0	7524.88232323232	2150.5	971	0	3328.81616889804	1326	966	0	6844.37163561077	2479.5	3.09666436227823e-09	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.187775910382857	UP_EXONS_HeLa_SRRM2-KD = CR	1.98237177786028e-12	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.992488404878695	UP_EXONS_HeLa_SRRM2-KD = AS_NC	2.51619231010432e-09	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.74046862086247	DOWN_EXONS_HeLa_SRRM2-KD = CS	4.24292958074662e-14	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	2.96135588346223e-14	*** : CR > CS	0.0590455352745864	CR = AS_NC	1.55441594650553e-23	*** : CS < AS_NC
RATIO_UPINTRON_EXON_LENGTH	365	2	108.108755086604	22.8823529411765	432	2	46.4837560719467	11.8713395050066	990	0	121.300527952698	22.2180406212665	971	0	43.874038305791	12.6521739130435	965	1	93.74034061626	23.1736111111111	9.48620590675309e-09	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.341876409254193	UP_EXONS_HeLa_SRRM2-KD = CR	2.3181752499244e-11	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.436646246369989	UP_EXONS_HeLa_SRRM2-KD = AS_NC	2.12900351903466e-09	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.752789759540148	DOWN_EXONS_HeLa_SRRM2-KD = CS	2.8207586654403e-10	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	5.92260147396292e-14	*** : CR > CS	0.78468258201386	CR = AS_NC	1.73003281780558e-15	*** : CS < AS_NC
RATIO_DOINTRON_EXON_LENGTH	366	1	83.6977616250844	23.3550544409441	434	0	69.9978540873698	11.0633501918382	990	0	230.424335664065	22.851875	971	0	32.5528688484452	11.855421686747	966	0	89.0670840350189	23.4997768853191	8.47607340862025e-09	*** : UP_EXONS_HeLa_SRRM2-KD > DOWN_EXONS_HeLa_SRRM2-KD	0.46165846834522	UP_EXONS_HeLa_SRRM2-KD = CR	8.92115469450108e-13	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.380537023455736	UP_EXONS_HeLa_SRRM2-KD = AS_NC	1.14838707618963e-13	*** : DOWN_EXONS_HeLa_SRRM2-KD < CR	0.967420477913195	DOWN_EXONS_HeLa_SRRM2-KD = CS	7.32622832040208e-16	*** : DOWN_EXONS_HeLa_SRRM2-KD < AS_NC	1.92727711970402e-23	*** : CR > CS	0.838582396313711	CR = AS_NC	2.03152557395095e-28	*** : CS < AS_NC
EXON_GCC	367	0	0.497577841463508	0.489583333333333	434	0	0.542794807041617	0.561951754385965	990	0	0.46666229453709	0.464841604101813	971	0	0.478616608570902	0.4625	966	0	0.480318819617637	0.472582144223936	8.70609629941016e-10	*** : UP_EXONS_HeLa_SRRM2-KD < DOWN_EXONS_HeLa_SRRM2-KD	4.29388110574302e-06	*** : UP_EXONS_HeLa_SRRM2-KD > CR	0.000791827272932337	*** : UP_EXONS_HeLa_SRRM2-KD > CS	0.00398791841801096	**  : UP_EXONS_HeLa_SRRM2-KD > AS_NC	1.04403760127002e-31	*** : DOWN_EXONS_HeLa_SRRM2-KD > CR	3.17238706765668e-25	*** : DOWN_EXONS_HeLa_SRRM2-KD > CS	7.86390590127217e-24	*** : DOWN_EXONS_HeLa_SRRM2-KD > AS_NC	0.0463022982502952	*   : CR < CS	0.0159110518604981	*   : CR < AS_NC	0.580026768739782	CS = AS_NC
