EXPERIMENT	TYPE	EVENT	DIRECTION
TAF2	Exon	HsaEX0043424	UP
TAF2	Exon	HsaEX0040571	UP
TAF2	Exon	HsaEX0049952	UP
TAF2	Exon	HsaEX1030778	UP
TAF2	Exon	HsaEX0035017	UP
TAF2	Exon	HsaEX1020927	UP
TAF2	Exon	HsaEX0035530	UP
TAF2	Exon	HsaEX0074411	UP
TAF2	Exon	HsaEX0055118	UP
TAF2	Exon	HsaEX0014404	UP
TAF2	Exon	HsaEX0073100	UP
TAF2	Exon	HsaEX0036592	UP
TAF2	Exon	HsaEX0028144	UP
TAF2	Exon	HsaEX0025866	UP
TAF2	Exon	HsaEX0054866	UP
TAF2	Exon	HsaEX0032957	UP
TAF2	Exon	HsaEX0017953	UP
TAF2	Exon	HsaEX0006128	UP
TAF2	Exon	HsaEX1031255	UP
TAF2	Exon	HsaEX0029023	UP
TAF2	Exon	HsaEX0074239	UP
TAF2	Exon	HsaEX1029362	UP
TAF2	Exon	HsaEX0036495	UP
TAF2	Exon	HsaEX0073026	UP
TAF2	Exon	HsaEX0027842	UP
TAF2	Exon	HsaEX0073353	UP
TAF2	Exon	HsaEX0041994	UP
TAF2	Exon	HsaEX0049579	UP
TAF2	Exon	HsaEX0052293	UP
TAF2	Exon	HsaEX0048999	UP
TAF2	Exon	HsaEX0028262	UP
TAF2	Exon	HsaEX0031511	UP
TAF2	Exon	HsaEX0032262	UP
TAF2	Exon	HsaEX0061835	UP
TAF2	Exon	HsaEX1004490	UP
TAF2	Exon	HsaEX1018259	UP
TAF2	Exon	HsaEX0016877	UP
TAF2	Exon	HsaEX0013859	UP
TAF2	Exon	HsaEX0031113	UP
TAF2	Exon	HsaEX0019006	UP
TAF2	Exon	HsaEX0041993	UP
TAF2	Exon	HsaEX6060950	UP
TAF2	Exon	HsaEX0010064	UP
TAF2	Exon	HsaEX6006284	UP
TAF2	Exon	HsaEX0045458	UP
TAF2	Exon	HsaEX7109033	UP
TAF2	Exon	HsaEX0072191	UP
TAF2	Exon	HsaEX0036546	UP
TAF2	Exon	HsaEX0057591	UP
TAF2	Exon	HsaEX0024980	UP
TAF2	Exon	HsaEX0049580	UP
TAF2	Exon	HsaEX0022375	UP
TAF2	Exon	HsaEX0055282	UP
TAF2	Exon	HsaEX6086001	UP
TAF2	Exon	HsaEX0048992	UP
TAF2	Exon	HsaEX0016880	UP
TAF2	Exon	HsaEX0007144	UP
TAF2	Exon	HsaEX0027005	UP
TAF2	Exon	HsaEX0065630	UP
TAF2	Exon	HsaEX7006688	UP
TAF2	Exon	HsaEX0067729	UP
TAF2	Exon	HsaEX0056740	UP
TAF2	Exon	HsaEX0073392	UP
TAF2	Exon	HsaEX0055157	UP
TAF2	Exon	HsaEX6060949	UP
TAF2	Exon	HsaEX0037346	UP
TAF2	Exon	HsaEX0042005	UP
TAF2	Exon	HsaEX0030376	UP
TAF2	Exon	HsaEX6060948	UP
TAF2	Exon	HsaEX0023732	UP
TAF2	Exon	HsaEX0013089	UP
TAF2	Exon	HsaEX0067855	UP
TAF2	Exon	HsaEX0031175	UP
TAF2	Exon	HsaEX1034246	UP
TAF2	Exon	HsaEX0052085	UP
TAF2	Exon	HsaEX0040037	UP
TAF2	Exon	HsaEX6061688	UP
TAF2	Exon	HsaEX1008990	UP
TAF2	Exon	HsaEX0055494	UP
TAF2	Exon	HsaEX0043767	UP
TAF2	Exon	HsaEX0061606	UP
TAF2	Exon	HsaEX0061607	UP
TAF2	Exon	HsaEX6077217	UP
TAF2	Exon	HsaEX6077218	UP
TAF2	Exon	HsaEX6077214	UP
TAF2	Exon	HsaEX6077219	UP
TAF2	Exon	HsaEX1014045	UP
TAF2	Exon	HsaEX0045761	UP
TAF2	Exon	HsaEX0041743	UP
TAF2	Exon	HsaEX0074358	UP
TAF2	Exon	HsaEX0020727	UP
TAF2	Exon	HsaEX0041755	UP
TAF2	Exon	HsaEX1000645	UP
TAF2	Exon	HsaEX0004471	UP
TAF2	Exon	HsaEX0073977	UP
TAF2	Exon	HsaEX1031199	UP
TAF2	Exon	HsaEX6033327	UP
TAF2	Exon	HsaEX0011042	UP
TAF2	Exon	HsaEX0011453	UP
TAF2	Exon	HsaEX0061834	UP
TAF2	Exon	HsaEX0004243	UP
TAF2	Exon	HsaEX0073931	UP
TAF2	Exon	HsaEX6057871	UP
TAF2	Exon	HsaEX0011560	UP
TAF2	Exon	HsaEX0053013	UP
TAF2	Exon	HsaEX0036739	UP
TAF2	Exon	HsaEX0005922	UP
TAF2	Exon	HsaEX0040570	UP
TAF2	Exon	HsaEX0011460	UP
TAF2	Exon	HsaEX0025339	UP
TAF2	Exon	HsaEX0024644	UP
TAF2	Exon	HsaEX1035776	UP
TAF2	Exon	HsaEX0052871	UP
TAF2	Exon	HsaEX1045920	UP
TAF2	Exon	HsaEX0060986	UP
