GENE	EVENT	AS_TYPE	dPSI_TAF2	dPSI_TAF2dIDR	direction_TAF2	direction_TAF2dIDR
ARTN	HsaALTA0000701-2/4	Alt. Acceptor	17.910000000000004	6.950000000000003	UP	NONE
ATRX	HsaALTA0000829-1/2	Alt. Acceptor	18.21	28.47	UP	UP
ADGRB2	HsaALTA0000878-1/2	Alt. Acceptor	19.87	-2.8199999999999994	UP	NONE
BRSK2	HsaALTA0000997-1/4	Alt. Acceptor	28.299999999999997	15.950000000000003	UP	UP
C14orf93	HsaALTA0001079-2/3	Alt. Acceptor	17.799999999999997	3.8700000000000006	UP	NONE
C21orf58	HsaALTA0001229-4/4	Alt. Acceptor	23.42	6.979999999999997	UP	NONE
C2CD2L	HsaALTA0001246-2/2	Alt. Acceptor	15.71	1.129999999999999	UP	NONE
TRMT44	HsaALTA0001291-2/2	Alt. Acceptor	16.070000000000007	14.63000000000001	UP	NONE
CAPNS1	HsaALTA0001463-1/2	Alt. Acceptor	18.689999999999998	8.599999999999998	UP	NONE
CDC25C	HsaALTA0001692-2/3	Alt. Acceptor	19.030000000000005	17.290000000000003	UP	UP
CLCNKB	HsaALTA0001903-2/2	Alt. Acceptor	35.68	34.79	UP	UP
DGKQ	HsaALTA0002463-2/2	Alt. Acceptor	28.18	-3.710000000000001	UP	NONE
DMXL2	HsaALTA0002547-1/2	Alt. Acceptor	33.4	16.21	UP	UP
DOCK10	HsaALTA0002585-3/3	Alt. Acceptor	21.36999999999999	18.25999999999999	UP	UP
DTX3	HsaALTA0002675-2/2	Alt. Acceptor	17	11.350000000000001	UP	NONE
EEF1A1	HsaALTA0002748-3/6	Alt. Acceptor	44.08	-7.190000000000001	UP	NONE
EXOC3	HsaALTA0003036-1/2	Alt. Acceptor	17.17	0.07000000000000028	UP	NONE
FAM24B	HsaALTA0003161-1/3	Alt. Acceptor	17.71	13.490000000000002	UP	NONE
FGFR3	HsaALTA0003348-1/3	Alt. Acceptor	15.5	-16.439999999999998	UP	DOWN
HTRA2	HsaALTA0004136-3/7	Alt. Acceptor	18.22	21	UP	UP
TLDC1	HsaALTA0004566-1/2	Alt. Acceptor	15.189999999999998	19.58	UP	UP
LIN54	HsaALTA0004766-2/2	Alt. Acceptor	16	16	UP	UP
LPIN3	HsaALTA0004816-2/2	Alt. Acceptor	37.15	19.439999999999998	UP	UP
LYPLA1	HsaALTA0004895-2/2	Alt. Acceptor	25.89	8.540000000000006	UP	NONE
MAGIX	HsaALTA0004924-2/3	Alt. Acceptor	16.05	20.93	UP	UP
NDUFB3	HsaALTA0005651-2/3	Alt. Acceptor	15.340000000000003	23.14999999999999	UP	UP
NPHP4	HsaALTA0005796-2/2	Alt. Acceptor	19.15	6.130000000000003	UP	NONE
NRGN	HsaALTA0005833-2/3	Alt. Acceptor	16.46	7.899999999999999	UP	NONE
PAPD4	HsaALTA0006061-1/2	Alt. Acceptor	19.419999999999995	10.019999999999996	UP	NONE
PAXIP1	HsaALTA0006097-2/2	Alt. Acceptor	26.61	12.420000000000002	UP	NONE
PER3	HsaALTA0006185-2/2	Alt. Acceptor	24.78	13.25	UP	NONE
POLR2H	HsaALTA0006527-3/3	Alt. Acceptor	15.120000000000001	41.099999999999994	UP	UP
PXK	HsaALTA0006885-1/2	Alt. Acceptor	16.119999999999997	18.630000000000003	UP	UP
RABGAP1	HsaALTA0006933-2/2	Alt. Acceptor	16.689999999999998	9.370000000000005	UP	NONE
MOK	HsaALTA0006966-2/2	Alt. Acceptor	37.61999999999999	24.61	UP	UP
RALGDS	HsaALTA0006977-3/8	Alt. Acceptor	17.28000000000001	4.530000000000001	UP	NONE
RASAL2	HsaALTA0007008-1/2	Alt. Acceptor	15.769999999999996	21.22	UP	UP
RASGEF1B	HsaALTA0007010-1/2	Alt. Acceptor	33.089999999999996	-12.810000000000002	UP	NONE
RC3H1	HsaALTA0007083-1/4	Alt. Acceptor	15.14	5.849999999999998	UP	NONE
SLC25A23	HsaALTA0007877-2/2	Alt. Acceptor	30.32	13.330000000000002	UP	NONE
ST6GALNAC6	HsaALTA0008259-2/2	Alt. Acceptor	22.349999999999994	16.22999999999999	UP	UP
SUB1	HsaALTA0008342-2/4	Alt. Acceptor	41.17	35.63	UP	UP
SYNE2	HsaALTA0008401-2/4	Alt. Acceptor	31.520000000000003	16.18	UP	UP
TMX2	HsaALTA0008835-1/2	Alt. Acceptor	24.99	26.999999999999996	UP	UP
TREX1	HsaALTA0008956-3/3	Alt. Acceptor	17.65	0.2799999999999976	UP	NONE
TSC1	HsaALTA0009047-1/2	Alt. Acceptor	17.35	1.3200000000000003	UP	NONE
UBA1	HsaALTA0009196-1/5	Alt. Acceptor	19.36	22.22	UP	UP
URGCP	HsaALTA0009317-2/2	Alt. Acceptor	17.42	13.980000000000004	UP	NONE
VASH1	HsaALTA0009384-4/4	Alt. Acceptor	51.97	40.83	UP	UP
WFS1	HsaALTA0009537-2/3	Alt. Acceptor	16.05	11.09	UP	NONE
ZNF133	HsaALTA0009734-2/4	Alt. Acceptor	23.309999999999995	13.889999999999993	UP	NONE
ZNF133	HsaALTA0009735-1/2	Alt. Acceptor	23.470000000000002	2.289999999999999	UP	NONE
ZNF18	HsaALTA0009748-1/2	Alt. Acceptor	17.140000000000004	2.7900000000000027	UP	NONE
ZNF30	HsaALTA0009786-2/3	Alt. Acceptor	24.560000000000002	22.67	UP	UP
ZNF354B	HsaALTA0009804-1/2	Alt. Acceptor	18.839999999999996	6.6299999999999955	UP	NONE
ZNF561	HsaALTA0009853-1/2	Alt. Acceptor	15.680000000000007	9.230000000000004	UP	NONE
