FEATURE	UP_EXONS_TAF2_N_DATAPOINTS	UP_EXONS_TAF2_N_NA	UP_EXONS_TAF2_MEAN	UP_EXONS_TAF2_MEDIAN	DOWN_EXONS_TAF2_N_DATAPOINTS	DOWN_EXONS_TAF2_N_NA	DOWN_EXONS_TAF2_MEAN	DOWN_EXONS_TAF2_MEDIAN	UP_EXONS_TAF2dIDR_N_DATAPOINTS	UP_EXONS_TAF2dIDR_N_NA	UP_EXONS_TAF2dIDR_MEAN	UP_EXONS_TAF2dIDR_MEDIAN	DOWN_EXONS_TAF2dIDR_N_DATAPOINTS	DOWN_EXONS_TAF2dIDR_N_NA	DOWN_EXONS_TAF2dIDR_MEAN	DOWN_EXONS_TAF2dIDR_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_DOWN_EXONS_TAF2	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_DOWN_EXONS_TAF2	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_UP_EXONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_UP_EXONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_DOWN_EXONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_DOWN_EXONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_UP_EXONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_UP_EXONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_DOWN_EXONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_DOWN_EXONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_DOWN_EXONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_DOWN_EXONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_EXONS_TAF2dIDR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_EXONS_TAF2dIDR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC
EXON_LENGTH	239	0	132.117154811715	108	256	0	119.87890625	96	220	0	156.727272727273	120	244	0	135.897540983607	103	989	0	122.448938321537	100	975	0	136.438974358974	121	975	0	130.740512820513	105	0.0439547253501321	*   : UP_EXONS_TAF2 > DOWN_EXONS_TAF2	0.0753040567666906	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.407051539899037	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.0391828794472571	*   : UP_EXONS_TAF2 > CR	0.00282581590232448	**  : UP_EXONS_TAF2 < CS	0.497728520226718	UP_EXONS_TAF2 = AS_NC	0.000128802048604435	*** : DOWN_EXONS_TAF2 < UP_EXONS_TAF2dIDR	0.317710082552645	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.819265995161469	DOWN_EXONS_TAF2 = CR	7.01957194788611e-09	*** : DOWN_EXONS_TAF2 < CS	0.0520270842015406	DOWN_EXONS_TAF2 = AS_NC	0.0107539312291392	*   : UP_EXONS_TAF2dIDR > DOWN_EXONS_TAF2dIDR	3.38240251905512e-05	*** : UP_EXONS_TAF2dIDR > CR	0.599338326983256	UP_EXONS_TAF2dIDR = CS	0.00250179635345046	**  : UP_EXONS_TAF2dIDR > AS_NC	0.312611132354319	DOWN_EXONS_TAF2dIDR = CR	8.47414751394159e-05	*** : DOWN_EXONS_TAF2dIDR < CS	0.585083296318784	DOWN_EXONS_TAF2dIDR = AS_NC	7.78955950867129e-15	*** : CR < CS	0.0144617882818082	*   : CR < AS_NC	1.50392681163318e-09	*** : CS > AS_NC
UPEXON_MEDIANLENGTH	238	1	156.556722689076	122	255	1	165.956862745098	126	219	1	157.132420091324	122	244	0	173.743852459016	127.5	989	0	164.55055611729	125	975	0	151.255384615385	125	975	0	145.494358974359	123	0.438884784689623	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.812799352876649	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.260013111313194	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.371657733049773	UP_EXONS_TAF2 = CR	0.574107137662428	UP_EXONS_TAF2 = CS	0.908475497075063	UP_EXONS_TAF2 = AS_NC	0.597966108133951	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.754732400728068	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.920035635469157	DOWN_EXONS_TAF2 = CR	0.627018537773664	DOWN_EXONS_TAF2 = CS	0.355160050790874	DOWN_EXONS_TAF2 = AS_NC	0.396983164525171	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.513251289806764	UP_EXONS_TAF2dIDR = CR	0.759441560779994	UP_EXONS_TAF2dIDR = CS	0.91064284847938	UP_EXONS_TAF2dIDR = AS_NC	0.559578061506011	DOWN_EXONS_TAF2dIDR = CR	0.331018897754391	DOWN_EXONS_TAF2dIDR = CS	0.164336580079248	DOWN_EXONS_TAF2dIDR = AS_NC	0.582569887341661	CR = CS	0.194703404252881	CR = AS_NC	0.475492830446364	CS = AS_NC
DOEXON_MEDIANLENGTH	238	1	343.012605042017	136.5	256	0	231.865234375	127.5	218	2	305.378440366972	135	243	1	278.740740740741	131	989	0	214.44944388271	123	975	0	236.814358974359	128	975	0	253.661538461538	134	0.403265692702131	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.7426686855572	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.888595362751343	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.0253165698879164	*   : UP_EXONS_TAF2 > CR	0.132582168855226	UP_EXONS_TAF2 = CS	0.751775933675903	UP_EXONS_TAF2 = AS_NC	0.25047752610473	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.33862908418885	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.241084840576188	DOWN_EXONS_TAF2 = CR	0.715503498746128	DOWN_EXONS_TAF2 = CS	0.438762834057679	DOWN_EXONS_TAF2 = AS_NC	0.84044900933598	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.00844088357598291	**  : UP_EXONS_TAF2dIDR > CR	0.06186389178072	UP_EXONS_TAF2dIDR = CS	0.458119029576368	UP_EXONS_TAF2dIDR = AS_NC	0.0201403562080339	*   : DOWN_EXONS_TAF2dIDR > CR	0.116466907950838	DOWN_EXONS_TAF2dIDR = CS	0.641449285194095	DOWN_EXONS_TAF2dIDR = AS_NC	0.160725256277138	CR = CS	0.0019563641220113	**  : CR < AS_NC	0.0653339964841857	CS = AS_NC
RATIO_UPEXON_EXON_LENGTH	238	1	1.80910619019006	1.13148148148148	255	1	1.9603525726792	1.2827380952381	219	1	1.55297849824172	1.06	244	0	2.00565264587438	1.19615384615385	989	0	2.88069825556594	1.26506024096386	975	0	1.34399310680712	1.07766990291262	975	0	1.6433196134441	1.14159292035398	0.0133600198412868	*   : UP_EXONS_TAF2 < DOWN_EXONS_TAF2	0.363941507921492	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.12571651949202	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.0121907098114988	*   : UP_EXONS_TAF2 < CR	0.182946170583136	UP_EXONS_TAF2 = CS	0.694647469033581	UP_EXONS_TAF2 = AS_NC	0.000627421974371322	*** : DOWN_EXONS_TAF2 > UP_EXONS_TAF2dIDR	0.406852613685757	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.71679686757578	DOWN_EXONS_TAF2 = CR	1.13124287100678e-06	*** : DOWN_EXONS_TAF2 > CS	0.00390397576266148	**  : DOWN_EXONS_TAF2 > AS_NC	0.0145412504889989	*   : UP_EXONS_TAF2dIDR < DOWN_EXONS_TAF2dIDR	0.000486911243088826	*** : UP_EXONS_TAF2dIDR < CR	0.968862417780949	UP_EXONS_TAF2dIDR = CS	0.120513743322043	UP_EXONS_TAF2dIDR = AS_NC	0.536517785307841	DOWN_EXONS_TAF2dIDR = CR	0.000574038501286629	*** : DOWN_EXONS_TAF2dIDR > CS	0.0914321669080131	DOWN_EXONS_TAF2dIDR = AS_NC	2.99821236804449e-10	*** : CR > CS	0.000357304955650764	*** : CR > AS_NC	0.0031129956710628	**  : CS < AS_NC
RATIO_DOEXON_EXON_LENGTH	238	1	3.48301447828206	1.27923746965586	256	0	3.23475101523457	1.30433695788027	218	2	2.72379626810616	1.27923746965586	243	1	3.25733042057595	1.31578947368421	989	0	3.46593914492284	1.26	975	0	2.15323691416514	1.10322580645161	975	0	2.69033046991291	1.27586206896552	0.856587838798051	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.520383480362305	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.61272491213811	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.585375472034201	UP_EXONS_TAF2 = CR	0.00122404304041114	**  : UP_EXONS_TAF2 > CS	0.890833180489441	UP_EXONS_TAF2 = AS_NC	0.401091069080119	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.769151583047556	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.422956141263215	DOWN_EXONS_TAF2 = CR	0.000262627470190725	*** : DOWN_EXONS_TAF2 > CS	0.674068486866074	DOWN_EXONS_TAF2 = AS_NC	0.249517495939711	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.820012445550978	UP_EXONS_TAF2dIDR = CR	0.0116085467928977	*   : UP_EXONS_TAF2dIDR > CS	0.502951608763848	UP_EXONS_TAF2dIDR = AS_NC	0.260497191550936	DOWN_EXONS_TAF2dIDR = CR	0.000103871057609556	*** : DOWN_EXONS_TAF2dIDR > CS	0.422259501520806	DOWN_EXONS_TAF2dIDR = AS_NC	4.88432608411858e-05	*** : CR > CS	0.55654323261044	CR = AS_NC	4.46540877594413e-07	*** : CS < AS_NC
UPINTRON_MEDIANLENGTH	238	1	10540.974789916	2698.5	255	1	8743.98431372549	2810	219	1	11000.1438356164	2056	244	0	7938.94672131148	1944	989	0	7454.4812942366	2105	975	0	4192.21230769231	1424	975	0	7070.26307692308	2352	0.327248843013522	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.343341473892058	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.0281324503511221	*   : UP_EXONS_TAF2 > DOWN_EXONS_TAF2dIDR	0.0153526117042662	*   : UP_EXONS_TAF2 > CR	1.56033820837314e-11	*** : UP_EXONS_TAF2 > CS	0.0347485987088309	*   : UP_EXONS_TAF2 > AS_NC	0.934334558517859	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.230777996137141	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.240218026231449	DOWN_EXONS_TAF2 = CR	1.30512768759167e-08	*** : DOWN_EXONS_TAF2 > CS	0.326667953903436	DOWN_EXONS_TAF2 = AS_NC	0.231197435531061	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.327606843795157	UP_EXONS_TAF2dIDR = CR	5.90098326150723e-07	*** : UP_EXONS_TAF2dIDR > CS	0.427930974295473	UP_EXONS_TAF2dIDR = AS_NC	0.626043431309841	DOWN_EXONS_TAF2dIDR = CR	6.18303831768981e-05	*** : DOWN_EXONS_TAF2dIDR > CS	0.511260698785722	DOWN_EXONS_TAF2dIDR = AS_NC	1.13332093108949e-12	*** : CR > CS	0.658523477932584	CR = AS_NC	5.47075374920789e-14	*** : CS < AS_NC
DOINTRON_MEDIANLENGTH	238	1	9540.53361344538	3597	256	0	9162	2150.5	218	2	8876.02981651376	2709	243	1	8830.19547325103	1959.5	989	0	6964.53589484328	1883	975	0	3469.86820512821	1266	975	0	6827.92615384615	2242	0.00563141648271675	**  : UP_EXONS_TAF2 > DOWN_EXONS_TAF2	0.323083196667749	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.00312554627266932	**  : UP_EXONS_TAF2 > DOWN_EXONS_TAF2dIDR	9.09904181676335e-06	*** : UP_EXONS_TAF2 > CR	8.25320054419584e-19	*** : UP_EXONS_TAF2 > CS	0.000406405111944883	*** : UP_EXONS_TAF2 > AS_NC	0.0912642236002461	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.813409456117482	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.388012706596877	DOWN_EXONS_TAF2 = CR	1.01841164432166e-07	*** : DOWN_EXONS_TAF2 > CS	0.8944697410538	DOWN_EXONS_TAF2 = AS_NC	0.0599028117831428	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.00275498849463076	**  : UP_EXONS_TAF2dIDR > CR	4.48404563356241e-13	*** : UP_EXONS_TAF2dIDR > CS	0.034391147640755	*   : UP_EXONS_TAF2dIDR > AS_NC	0.557333217059205	DOWN_EXONS_TAF2dIDR = CR	6.79238794486093e-07	*** : DOWN_EXONS_TAF2dIDR > CS	0.652437708240854	DOWN_EXONS_TAF2dIDR = AS_NC	7.98292566785806e-13	*** : CR > CS	0.0898427972207162	CR = AS_NC	3.34316147920216e-19	*** : CS < AS_NC
RATIO_UPINTRON_EXON_LENGTH	238	1	103.944081853272	27.0098465890545	255	1	98.960062422303	27.2677165354331	219	1	111.604023695002	17.7967479674797	244	0	96.8487454998412	20.3489032258065	989	0	115.263933257964	23.6666666666667	975	0	38.5547175193748	12.1388888888889	975	0	79.0827027443187	21.4893617021277	0.808051536657557	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.0985390309065165	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.0530975006924151	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.17137580606104	UP_EXONS_TAF2 = CR	2.07564215159819e-14	*** : UP_EXONS_TAF2 > CS	0.0247405702568353	*   : UP_EXONS_TAF2 > AS_NC	0.180090715540517	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.0956469645467255	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.319415004216838	DOWN_EXONS_TAF2 = CR	1.1067801214579e-13	*** : DOWN_EXONS_TAF2 > CS	0.0517080291691934	DOWN_EXONS_TAF2 = AS_NC	0.895116443053084	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.416194780500741	UP_EXONS_TAF2dIDR = CR	3.03269773398698e-06	*** : UP_EXONS_TAF2dIDR > CS	0.975952418529634	UP_EXONS_TAF2dIDR = AS_NC	0.262865927490989	DOWN_EXONS_TAF2dIDR = CR	4.31710798899331e-07	*** : DOWN_EXONS_TAF2dIDR > CS	0.811877713638924	DOWN_EXONS_TAF2dIDR = AS_NC	6.7810003955344e-23	*** : CR > CS	0.157258663613462	CR = AS_NC	8.63794146230881e-18	*** : CS < AS_NC
RATIO_DOINTRON_EXON_LENGTH	238	1	102.777648329434	32.7924242424242	256	0	108.983433064644	22.7676082397928	218	2	86.9808319242325	22.0729915730337	243	1	88.9592792491828	21.7752808988764	989	0	126.317414669845	20.1944444444444	975	0	30.7186250346625	10.9298245614035	975	0	75.3213725290371	21.3240223463687	0.048665528130058	*   : UP_EXONS_TAF2 < DOWN_EXONS_TAF2	0.0694463245020557	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.0132441187483127	*   : UP_EXONS_TAF2 > DOWN_EXONS_TAF2dIDR	0.00193383780023995	**  : UP_EXONS_TAF2 < CR	3.1804705219702e-21	*** : UP_EXONS_TAF2 > CS	0.000874552631947304	*** : UP_EXONS_TAF2 > AS_NC	0.919879249811552	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.608347965939558	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.536081162331525	DOWN_EXONS_TAF2 = CR	2.86576960978346e-12	*** : DOWN_EXONS_TAF2 > CS	0.466887195003361	DOWN_EXONS_TAF2 = AS_NC	0.567501821029426	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	0.500652028358874	UP_EXONS_TAF2dIDR = CR	1.30870157356576e-11	*** : UP_EXONS_TAF2dIDR > CS	0.400782866632329	UP_EXONS_TAF2dIDR = AS_NC	0.981857844523134	DOWN_EXONS_TAF2dIDR = CR	2.33985826039195e-10	*** : DOWN_EXONS_TAF2dIDR > CS	0.958708266715464	DOWN_EXONS_TAF2dIDR = AS_NC	1.79273821266469e-23	*** : CR > CS	0.907755727931678	CR = AS_NC	2.33453475439915e-24	*** : CS < AS_NC
EXON_GCC	239	0	0.495189190718266	0.485294117647059	256	0	0.490049893248158	0.483870967741935	220	0	0.501028146481552	0.495925263367124	244	0	0.498433633375442	0.493390422347855	989	0	0.467210699306132	0.460732984293194	975	0	0.496928615301384	0.490196078431373	975	0	0.50801407546456	0.505882352941176	0.559306258947572	UP_EXONS_TAF2 = DOWN_EXONS_TAF2	0.51787934903568	UP_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.67549825182269	UP_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.000765650743351962	*** : UP_EXONS_TAF2 > CR	0.743565724918635	UP_EXONS_TAF2 = CS	0.0938139783336289	UP_EXONS_TAF2 = AS_NC	0.250049220127734	DOWN_EXONS_TAF2 = UP_EXONS_TAF2dIDR	0.340265118437202	DOWN_EXONS_TAF2 = DOWN_EXONS_TAF2dIDR	0.0105511883778626	*   : DOWN_EXONS_TAF2 > CR	0.29812237083033	DOWN_EXONS_TAF2 = CS	0.0213582413183724	*   : DOWN_EXONS_TAF2 < AS_NC	0.850138595414623	UP_EXONS_TAF2dIDR = DOWN_EXONS_TAF2dIDR	5.90942678236372e-05	*** : UP_EXONS_TAF2dIDR > CR	0.645887090306066	UP_EXONS_TAF2dIDR = CS	0.364541026014567	UP_EXONS_TAF2dIDR = AS_NC	0.000115689427774458	*** : DOWN_EXONS_TAF2dIDR > CR	0.787996745531776	DOWN_EXONS_TAF2dIDR = CS	0.283496492417585	DOWN_EXONS_TAF2dIDR = AS_NC	1.96564313961115e-09	*** : CR < CS	1.08000546529178e-15	*** : CR < AS_NC	0.027036801271639	*   : CS < AS_NC
