FEATURE	UP_INTRONS_TAF2_N_DATAPOINTS	UP_INTRONS_TAF2_N_NA	UP_INTRONS_TAF2_MEAN	UP_INTRONS_TAF2_MEDIAN	DOWN_INTRONS_TAF2_N_DATAPOINTS	DOWN_INTRONS_TAF2_N_NA	DOWN_INTRONS_TAF2_MEAN	DOWN_INTRONS_TAF2_MEDIAN	UP_INTRONS_TAF2dIDR_N_DATAPOINTS	UP_INTRONS_TAF2dIDR_N_NA	UP_INTRONS_TAF2dIDR_MEAN	UP_INTRONS_TAF2dIDR_MEDIAN	DOWN_INTRONS_TAF2dIDR_N_DATAPOINTS	DOWN_INTRONS_TAF2dIDR_N_NA	DOWN_INTRONS_TAF2dIDR_MEAN	DOWN_INTRONS_TAF2dIDR_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_UP_INTRONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_UP_INTRONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_UP_INTRONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_UP_INTRONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_DOWN_INTRONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_DOWN_INTRONS_TAF2dIDR	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_DOWN_INTRONS_TAF2dIDR	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_CR	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_CR	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_UP_INTRONS_TAF2dIDR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_CR	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_CR	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_DOWN_INTRONS_TAF2dIDR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CS_VS_AS_NC
INTRON_LENGTH	107	0	1939.48598130841	430	94	0	1672.8085106383	917	89	0	1898.16853932584	599	100	0	1728.36	807.5	49	0	1180.36734693878	592	966	0	5064.73084886128	1641	949	0	888.024236037935	325	0.0184637749216433	*   : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2	0.305088368514978	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.00896329877555159	**  : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2dIDR	0.433790450167009	UP_INTRONS_TAF2 = CR	8.3984950191171e-11	*** : UP_INTRONS_TAF2 < CS	0.0183573938746985	*   : UP_INTRONS_TAF2 > AS_NC	0.217687796404135	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.920511860755956	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.138812572886084	DOWN_INTRONS_TAF2 = CR	0.000101596328633782	*** : DOWN_INTRONS_TAF2 < CS	9.36523747310682e-08	*** : DOWN_INTRONS_TAF2 > AS_NC	0.134359899939962	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.860490077038575	UP_INTRONS_TAF2dIDR = CR	9.0883729163899e-07	*** : UP_INTRONS_TAF2dIDR < CS	0.000488219988205681	*** : UP_INTRONS_TAF2dIDR > AS_NC	0.119312989780727	DOWN_INTRONS_TAF2dIDR = CR	0.000147587660229977	*** : DOWN_INTRONS_TAF2dIDR < CS	6.49997875113831e-09	*** : DOWN_INTRONS_TAF2dIDR > AS_NC	1.42888083391631e-05	*** : CR < CS	0.0129422806640017	*   : CR > AS_NC	1.20012935526944e-82	*** : CS > AS_NC
UPEXON_MEDIANLENGTH	107	0	190.285046728972	136	94	0	181.281914893617	131.75	89	0	205.584269662921	137	100	0	193.87	129.5	49	0	382.969387755102	207.5	966	0	143.004658385093	124	949	0	163.484193888303	126	0.717256398082728	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2	0.63713676416197	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.390882741798538	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.00206091998393312	**  : UP_INTRONS_TAF2 < CR	0.0291571126470117	*   : UP_INTRONS_TAF2 > CS	0.085730732651243	UP_INTRONS_TAF2 = AS_NC	0.439271713629827	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.605244129574143	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.00104751721560862	**  : DOWN_INTRONS_TAF2 < CR	0.0982317561081521	DOWN_INTRONS_TAF2 = CS	0.212184878446979	DOWN_INTRONS_TAF2 = AS_NC	0.221412834672339	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.0101178759621656	*   : UP_INTRONS_TAF2dIDR < CR	0.00805679237909224	**  : UP_INTRONS_TAF2dIDR > CS	0.0281291563986541	*   : UP_INTRONS_TAF2dIDR > AS_NC	0.000354221810942078	*** : DOWN_INTRONS_TAF2dIDR < CR	0.390521243826366	DOWN_INTRONS_TAF2dIDR = CS	0.634353125136505	DOWN_INTRONS_TAF2dIDR = AS_NC	1.08980911569376e-07	*** : CR > CS	1.13843473906818e-06	*** : CR > AS_NC	0.360401967399393	CS = AS_NC
DOEXON_MEDIANLENGTH	107	0	347.196261682243	152	94	0	238.484042553192	132.75	89	0	308.275280898876	152	100	0	309.425	159	49	0	521.530612244898	316	966	0	257.124223602484	128	949	0	263.846680716544	135	0.2630636558516	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2	0.749006735172902	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.636540292498269	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.00108883152141085	**  : UP_INTRONS_TAF2 < CR	0.00505643731355699	**  : UP_INTRONS_TAF2 > CS	0.110271448879281	UP_INTRONS_TAF2 = AS_NC	0.450920113608362	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.143302805320295	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	6.79037121840145e-05	*** : DOWN_INTRONS_TAF2 < CR	0.365044037465398	DOWN_INTRONS_TAF2 = CS	0.920224855924319	DOWN_INTRONS_TAF2 = AS_NC	0.419558932543585	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.000541281672736346	*** : UP_INTRONS_TAF2dIDR < CR	0.0364582496423616	*   : UP_INTRONS_TAF2dIDR > CS	0.323017706948523	UP_INTRONS_TAF2dIDR = AS_NC	0.00328644800180672	**  : DOWN_INTRONS_TAF2dIDR < CR	0.00156851846105343	**  : DOWN_INTRONS_TAF2dIDR > CS	0.0424844958627781	*   : DOWN_INTRONS_TAF2dIDR > AS_NC	6.08765730085964e-08	*** : CR > CS	2.11858448346243e-06	*** : CR > AS_NC	0.0136924558649037	*   : CS < AS_NC
RATIO_UPEXON_INTRON_LENGTH	107	0	0.581333220995677	0.323275862068966	94	0	0.435665722998906	0.163356620093147	89	0	0.674576916805826	0.291784702549575	100	0	0.342569679574775	0.172691014153078	49	0	1.23749956169981	0.353369763205829	966	0	0.263245618125674	0.0762247308230978	949	0	0.688340984788126	0.388888888888889	0.0166178072752795	*   : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2	0.37197137280215	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.00433619569528304	**  : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2dIDR	0.429321528393098	UP_INTRONS_TAF2 = CR	1.67322430691429e-13	*** : UP_INTRONS_TAF2 > CS	0.294984788369138	UP_INTRONS_TAF2 = AS_NC	0.257560781676786	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.668230330984279	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.00573334306767949	**  : DOWN_INTRONS_TAF2 < CR	6.89924457001647e-06	*** : DOWN_INTRONS_TAF2 > CS	3.28714689024266e-05	*** : DOWN_INTRONS_TAF2 < AS_NC	0.116328520670008	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.0961059519450213	UP_INTRONS_TAF2dIDR = CR	3.36708917366157e-08	*** : UP_INTRONS_TAF2dIDR > CS	0.0231319600323195	*   : UP_INTRONS_TAF2dIDR < AS_NC	0.00170375626954785	**  : DOWN_INTRONS_TAF2dIDR < CR	1.34935753763768e-05	*** : DOWN_INTRONS_TAF2dIDR > CS	9.01569135461927e-07	*** : DOWN_INTRONS_TAF2dIDR < AS_NC	5.66054139061847e-10	*** : CR > CS	0.815341691788571	CR = AS_NC	1.89982591158011e-80	*** : CS < AS_NC
RATIO_DOEXON_INTRON_LENGTH	107	0	0.788857477775123	0.407114624505929	94	0	0.525865957472493	0.221110572824838	89	0	0.853285298073839	0.308219178082192	100	0	0.628273003997221	0.213347044060234	49	0	1.4741799927194	0.597402597402597	966	0	0.393068783968926	0.0895518270139826	949	0	1.00078416531865	0.497856121962839	0.00641892697173592	**  : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2	0.172817283698246	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.0121889261274937	*   : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2dIDR	0.140535795228978	UP_INTRONS_TAF2 = CR	5.86373652246659e-13	*** : UP_INTRONS_TAF2 > CS	0.289393317822345	UP_INTRONS_TAF2 = AS_NC	0.172594276013678	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.715401678109148	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.000682716756029265	*** : DOWN_INTRONS_TAF2 < CR	7.08574822506945e-05	*** : DOWN_INTRONS_TAF2 > CS	4.27894826022233e-06	*** : DOWN_INTRONS_TAF2 < AS_NC	0.295753638372053	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.0227245710670538	*   : UP_INTRONS_TAF2dIDR < CR	1.53930580942274e-07	*** : UP_INTRONS_TAF2dIDR > CS	0.00578145972806259	**  : UP_INTRONS_TAF2dIDR < AS_NC	0.000983804993450197	*** : DOWN_INTRONS_TAF2dIDR < CR	1.65042204959687e-06	*** : DOWN_INTRONS_TAF2dIDR > CS	9.22944511165598e-06	*** : DOWN_INTRONS_TAF2dIDR < AS_NC	7.84385811077127e-11	*** : CR > CS	0.281829841285207	CR = AS_NC	1.75445455033398e-76	*** : CS < AS_NC
INTRON_GCC	107	0	0.568617642861896	0.588607594936709	94	0	0.529552863339962	0.528956826074982	89	0	0.558974687136777	0.567441860465116	100	0	0.553398680561712	0.562385710553814	49	0	0.567094393763721	0.595348837209302	966	0	0.436334938898671	0.412939829206602	949	0	0.573130925893395	0.58628841607565	0.00851848854241478	**  : UP_INTRONS_TAF2 > DOWN_INTRONS_TAF2	0.490702957351539	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.180307312501805	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.803996269958209	UP_INTRONS_TAF2 = CR	3.06111177504328e-23	*** : UP_INTRONS_TAF2 > CS	0.993597126002363	UP_INTRONS_TAF2 = AS_NC	0.0655695180215008	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.134772147033198	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.0479417987856532	*   : DOWN_INTRONS_TAF2 < CR	5.9512012211374e-14	*** : DOWN_INTRONS_TAF2 > CS	0.000139585064740448	*** : DOWN_INTRONS_TAF2 < AS_NC	0.56772328639558	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.743650650980515	UP_INTRONS_TAF2dIDR = CR	7.60208246944376e-18	*** : UP_INTRONS_TAF2dIDR > CS	0.344848836011097	UP_INTRONS_TAF2dIDR = AS_NC	0.363277225751882	DOWN_INTRONS_TAF2dIDR = CR	2.50239126317616e-21	*** : DOWN_INTRONS_TAF2dIDR > CS	0.0499543887018905	*   : DOWN_INTRONS_TAF2dIDR < AS_NC	8.34462060679889e-12	*** : CR > CS	0.780027603972553	CR = AS_NC	2.80499749374302e-125	*** : CS < AS_NC
UPEXON_GCC	107	0	0.595299631736381	0.611498257839721	94	0	0.588377559073116	0.588738490595735	89	0	0.589414177183047	0.601769911504425	100	0	0.600641613215496	0.610776439089692	49	0	0.580402846408779	0.620419650875003	966	0	0.492494610649603	0.477627627627628	949	0	0.592161867449349	0.601969905007426	0.39905188685674	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2	0.527199020261136	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.793020853018878	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.622337570349509	UP_INTRONS_TAF2 = CR	1.26297208363525e-20	*** : UP_INTRONS_TAF2 > CS	0.479340923355399	UP_INTRONS_TAF2 = AS_NC	0.890076859781174	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.301868751729873	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.957597228969626	DOWN_INTRONS_TAF2 = CR	3.26931013163448e-16	*** : DOWN_INTRONS_TAF2 > CS	0.60748267027737	DOWN_INTRONS_TAF2 = AS_NC	0.394700338025588	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.950331735183657	UP_INTRONS_TAF2dIDR = CR	3.0579427542877e-15	*** : UP_INTRONS_TAF2dIDR > CS	0.813346191604446	UP_INTRONS_TAF2dIDR = AS_NC	0.416695774819392	DOWN_INTRONS_TAF2dIDR = CR	2.99160434881933e-19	*** : DOWN_INTRONS_TAF2dIDR > CS	0.332507565212706	DOWN_INTRONS_TAF2dIDR = AS_NC	2.06024598164356e-07	*** : CR > CS	0.841681954026755	CR = AS_NC	1.61281922809123e-89	*** : CS < AS_NC
DOEXON_GCC	107	0	0.564654196427748	0.5859375	94	0	0.541528138656551	0.555715551617191	89	0	0.566603622645136	0.597826086956522	100	0	0.553455962262657	0.569047619047619	49	0	0.540458301664757	0.558823529411765	966	0	0.47867254524357	0.460893003632954	949	0	0.5780145611063	0.59	0.0502728541391422	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2	0.95965687701415	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.268531696978826	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.188389367523324	UP_INTRONS_TAF2 = CR	1.4149375613955e-14	*** : UP_INTRONS_TAF2 > CS	0.493685812069417	UP_INTRONS_TAF2 = AS_NC	0.0263441307440503	*   : DOWN_INTRONS_TAF2 < UP_INTRONS_TAF2dIDR	0.379451910088585	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.796917972420473	DOWN_INTRONS_TAF2 = CR	2.07795234474278e-09	*** : DOWN_INTRONS_TAF2 > CS	0.000214565404830795	*** : DOWN_INTRONS_TAF2 < AS_NC	0.189526921222573	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.160387797081795	UP_INTRONS_TAF2dIDR = CR	1.74037807244267e-13	*** : UP_INTRONS_TAF2dIDR > CS	0.767923027874955	UP_INTRONS_TAF2dIDR = AS_NC	0.633509934294407	DOWN_INTRONS_TAF2dIDR = CR	1.11292545089517e-11	*** : DOWN_INTRONS_TAF2dIDR > CS	0.0169532145226015	*   : DOWN_INTRONS_TAF2dIDR < AS_NC	0.000121241110054681	*** : CR > CS	0.037687762647638	*   : CR < AS_NC	2.08968436935176e-95	*** : CS < AS_NC
RATIO_UPEXON_INTRON_GCC	107	0	1.07657442559154	1.02300242130751	94	0	1.14289770469702	1.10083786530498	89	0	1.08171235150187	1.03648533129627	100	0	1.10334229469172	1.09271086819094	49	0	1.03972689438203	1.01492562452922	966	0	1.15585997082768	1.12345748666572	949	0	1.05410186365233	1.03703703703704	0.0237351068990096	*   : UP_INTRONS_TAF2 < DOWN_INTRONS_TAF2	0.538831293055983	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.198707955760197	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.463508890772391	UP_INTRONS_TAF2 = CR	0.000232131861044339	*** : UP_INTRONS_TAF2 < CS	0.591268134491193	UP_INTRONS_TAF2 = AS_NC	0.0750873854180937	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.280818955311216	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.00830767741837896	**  : DOWN_INTRONS_TAF2 > CR	0.614899386333413	DOWN_INTRONS_TAF2 = CS	0.000365118484969287	*** : DOWN_INTRONS_TAF2 > AS_NC	0.443751968182674	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.217780355697976	UP_INTRONS_TAF2dIDR = CR	0.00498580892885839	**  : UP_INTRONS_TAF2dIDR < CS	0.18286600696157	UP_INTRONS_TAF2dIDR = AS_NC	0.0770998717435418	DOWN_INTRONS_TAF2dIDR = CR	0.041768377569073	*   : DOWN_INTRONS_TAF2dIDR < CS	0.014361189811836	*   : DOWN_INTRONS_TAF2dIDR > AS_NC	0.000345774423686333	*** : CR < CS	0.580628493284558	CR = AS_NC	2.69574222903326e-23	*** : CS > AS_NC
RATIO_DOEXON_INTRON_GCC	107	0	1.01063626687181	1.00380952380952	94	0	1.04315810729147	1.02658247465759	89	0	1.03791497825575	1.03228228228228	100	0	1.01156178256592	1.01642581347848	49	0	0.969457067590312	0.992481203007519	966	0	1.12194896436941	1.09456360039778	949	0	1.02829598168839	1.00775764930224	0.193946309451771	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2	0.228150741631133	UP_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.641526040931149	UP_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.359482548460363	UP_INTRONS_TAF2 = CR	3.82569882054311e-08	*** : UP_INTRONS_TAF2 < CS	0.393948867933992	UP_INTRONS_TAF2 = AS_NC	0.987747958369404	DOWN_INTRONS_TAF2 = UP_INTRONS_TAF2dIDR	0.413644682516366	DOWN_INTRONS_TAF2 = DOWN_INTRONS_TAF2dIDR	0.0586664078408976	DOWN_INTRONS_TAF2 = CR	6.15168048988357e-05	*** : DOWN_INTRONS_TAF2 < CS	0.416504274992928	DOWN_INTRONS_TAF2 = AS_NC	0.420340057211463	UP_INTRONS_TAF2dIDR = DOWN_INTRONS_TAF2dIDR	0.115245660091995	UP_INTRONS_TAF2dIDR = CR	0.000130287304690439	*** : UP_INTRONS_TAF2dIDR < CS	0.484959745245591	UP_INTRONS_TAF2dIDR = AS_NC	0.188436441415442	DOWN_INTRONS_TAF2dIDR = CR	1.24437048358334e-07	*** : DOWN_INTRONS_TAF2dIDR < CS	0.794254026749567	DOWN_INTRONS_TAF2dIDR = AS_NC	7.0481282941079e-07	*** : CR < CS	0.0678292470578178	CR = AS_NC	8.35131190337857e-28	*** : CS > AS_NC
