FEATURE	TAF2_UP_EXONS_N_DATAPOINTS	TAF2_UP_EXONS_N_NA	TAF2_UP_EXONS_MEAN	TAF2_UP_EXONS_MEDIAN	TAF2_EXONS_DOWN_N_DATAPOINTS	TAF2_EXONS_DOWN_N_NA	TAF2_EXONS_DOWN_MEAN	TAF2_EXONS_DOWN_MEDIAN	CR_N_DATAPOINTS	CR_N_NA	CR_MEAN	CR_MEDIAN	AS_NC_N_DATAPOINTS	AS_NC_N_NA	AS_NC_MEAN	AS_NC_MEDIAN	CS_N_DATAPOINTS	CS_N_NA	CS_MEAN	CS_MEDIAN	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_TAF2_EXONS_DOWN	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_TAF2_EXONS_DOWN	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_UP_EXONS_VS_CS	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CR	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CR	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CS	QUAL_MANN_WHITNEY_U_TEST_TAF2_EXONS_DOWN_VS_CS	PVAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	QUAL_MANN_WHITNEY_U_TEST_CR_VS_AS_NC	PVAL_MANN_WHITNEY_U_TEST_CR_VS_CS	QUAL_MANN_WHITNEY_U_TEST_CR_VS_CS	PVAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS	QUAL_MANN_WHITNEY_U_TEST_AS_NC_VS_CS
EXON_LENGTH	258	0	130.251937984496	107	276	0	118.177536231884	95	989	0	120.494438827098	98	981	0	129.034658511723	103	974	0	145.022587268994	121	0.0296384610387722	*   : TAF2_UP_EXONS > TAF2_EXONS_DOWN	0.0344784957358503	*   : TAF2_UP_EXONS > CR	0.246019032453917	TAF2_UP_EXONS = AS_NC	0.000214107502830483	*** : TAF2_UP_EXONS < CS	0.759329505509783	TAF2_EXONS_DOWN = CR	0.133871609897076	TAF2_EXONS_DOWN = AS_NC	2.02550184960354e-11	*** : TAF2_EXONS_DOWN < CS	0.103513864654459	CR = AS_NC	5.44103209738955e-18	*** : CR < CS	2.35649854496965e-14	*** : AS_NC < CS
UPEXON_MEDIANLENGTH	257	1	155.533073929961	122	275	1	162.630909090909	124	989	0	155.279575328615	125	980	1	153.884183673469	122.5	974	0	158.055954825462	129	0.444561842000452	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.343228512709166	TAF2_UP_EXONS = CR	0.521252121742167	TAF2_UP_EXONS = AS_NC	0.0479994669567321	*   : TAF2_UP_EXONS < CS	0.971395327004206	TAF2_EXONS_DOWN = CR	0.76055993807537	TAF2_EXONS_DOWN = AS_NC	0.33846415554348	TAF2_EXONS_DOWN = CS	0.671118115496588	CR = AS_NC	0.100390919470401	CR = CS	0.0357365515314038	*   : AS_NC < CS
DOEXON_MEDIANLENGTH	257	1	328.846303501945	134	276	0	232.958333333333	127	989	0	246.422143579373	129	980	1	226.426020408163	131.75	974	0	245.632443531828	130.5	0.466225718190729	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.625819312840414	TAF2_UP_EXONS = CR	0.678629089605725	TAF2_UP_EXONS = AS_NC	0.534155079603019	TAF2_UP_EXONS = CS	0.65759771488274	TAF2_EXONS_DOWN = CR	0.650375108791881	TAF2_EXONS_DOWN = AS_NC	0.731919655060612	TAF2_EXONS_DOWN = CS	0.927231761085064	CR = AS_NC	0.797233564219654	CR = CS	0.718291143368341	AS_NC = CS
RATIO_UPEXON_EXON_LENGTH	257	1	1.78549602311253	1.12631578947368	275	1	1.91829404943968	1.29850746268657	989	0	4.1695526043073	1.29741379310345	980	1	1.90393110189748	1.18554131054132	974	0	1.38621451751303	1.0741991991992	0.0133358899389044	*   : TAF2_UP_EXONS < TAF2_EXONS_DOWN	0.00987164543345472	**  : TAF2_UP_EXONS < CR	0.221746645009938	TAF2_UP_EXONS = AS_NC	0.211790331944825	TAF2_UP_EXONS = CS	0.79294407314497	TAF2_EXONS_DOWN = CR	0.0611373507965325	TAF2_EXONS_DOWN = AS_NC	2.36981495941324e-06	*** : TAF2_EXONS_DOWN > CS	0.0310702382835474	*   : CR > AS_NC	8.838190647324e-10	*** : CR > CS	7.68128628171825e-05	*** : AS_NC > CS
RATIO_DOEXON_EXON_LENGTH	257	1	3.35397619955858	1.25409836065574	276	0	3.18297856303187	1.30433695788027	989	0	4.44650297593582	1.43269230769231	980	1	2.74774037129138	1.28024390243902	974	0	2.12750239910173	1.09818466353678	0.696075241050746	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.205367032974776	TAF2_UP_EXONS = CR	0.921705678108231	TAF2_UP_EXONS = AS_NC	0.0021493787012972	**  : TAF2_UP_EXONS > CS	0.373120697661239	TAF2_EXONS_DOWN = CR	0.506975035441033	TAF2_EXONS_DOWN = AS_NC	0.000161750006689005	*** : TAF2_EXONS_DOWN > CS	0.0221346218431084	*   : CR > AS_NC	3.43935635956571e-11	*** : CR > CS	2.07872676900607e-06	*** : AS_NC > CS
UPINTRON_MEDIANLENGTH	257	1	10108.7003891051	2719	275	1	8369.41818181818	2644	989	0	6933.56268958544	1790	980	1	6875.85510204082	2065.5	974	0	4017.28542094456	1392.5	0.149363264030105	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.000214618278567841	*** : TAF2_UP_EXONS > CR	0.00716632392867293	**  : TAF2_UP_EXONS > AS_NC	1.09039729884929e-11	*** : TAF2_UP_EXONS > CS	0.0718636542500516	TAF2_EXONS_DOWN = CR	0.381338502205447	TAF2_EXONS_DOWN = AS_NC	5.37925943567675e-07	*** : TAF2_EXONS_DOWN > CS	0.127990061382571	CR = AS_NC	1.42860712643491e-06	*** : CR > CS	1.79815276934044e-10	*** : AS_NC > CS
DOINTRON_MEDIANLENGTH	257	1	9189.17509727626	3191	276	0	8770.32971014493	2139	989	0	7045.97876643074	1929	980	1	6229.78112244898	2085.5	974	0	3922.77207392197	1337.5	0.00673644157578455	**  : TAF2_UP_EXONS > TAF2_EXONS_DOWN	0.000112653094406024	*** : TAF2_UP_EXONS > CR	0.000275153239957906	*** : TAF2_UP_EXONS > AS_NC	6.94033301494538e-15	*** : TAF2_UP_EXONS > CS	0.82472432092098	TAF2_EXONS_DOWN = CR	0.998351124194893	TAF2_EXONS_DOWN = AS_NC	2.98935524801624e-05	*** : TAF2_EXONS_DOWN > CS	0.561627732778721	CR = AS_NC	2.10601809900377e-10	*** : CR > CS	3.99633984932791e-12	*** : AS_NC > CS
RATIO_UPINTRON_EXON_LENGTH	257	1	99.6150269926207	26.9207920792079	275	1	94.4532607194254	24.9642857142857	989	0	122.444225207323	20.7407407407407	980	1	77.6026850106293	21.8899778516057	974	0	35.5449701578446	11.4503508771929	0.482425173542825	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.0235318387451389	*   : TAF2_UP_EXONS < CR	0.0167523386420544	*   : TAF2_UP_EXONS > AS_NC	2.97684686211649e-16	*** : TAF2_UP_EXONS > CS	0.206739340058281	TAF2_EXONS_DOWN = CR	0.145989293061858	TAF2_EXONS_DOWN = AS_NC	7.34547171432175e-13	*** : TAF2_EXONS_DOWN > CS	0.873801907743165	CR = AS_NC	2.0735845001723e-18	*** : CR > CS	3.24968014701945e-18	*** : AS_NC > CS
RATIO_DOINTRON_EXON_LENGTH	257	1	97.9477307734184	29.9142857142857	276	0	103.805662909569	21.7099637681159	989	0	140.229786902277	21.7339449541284	980	1	69.7214655637535	21.4730769230769	974	0	33.3658267835842	10.6315916787615	0.0531847795964214	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.0174882753813452	*   : TAF2_UP_EXONS < CR	0.00257675161849119	**  : TAF2_UP_EXONS > AS_NC	2.42230712712184e-18	*** : TAF2_UP_EXONS > CS	0.866810019558997	TAF2_EXONS_DOWN = CR	0.632426172772158	TAF2_EXONS_DOWN = AS_NC	6.85422116155608e-10	*** : TAF2_EXONS_DOWN > CS	0.389966537673333	CR = AS_NC	5.05556142583706e-23	*** : CR > CS	4.66109786700209e-20	*** : AS_NC > CS
EXON_GCC	258	0	0.495525173680519	0.485890302066773	276	0	0.494108481391371	0.490015360983103	989	0	0.473214698777901	0.467980295566502	981	0	0.506760705943401	0.492753623188406	974	0	0.495128933295181	0.49170778508772	0.841633897321134	TAF2_UP_EXONS = TAF2_EXONS_DOWN	0.00795058773392052	**  : TAF2_UP_EXONS > CR	0.111078894870526	TAF2_UP_EXONS = AS_NC	0.962642365282548	TAF2_UP_EXONS = CS	0.016894846444562	*   : TAF2_EXONS_DOWN > CR	0.0821110360341704	TAF2_EXONS_DOWN = AS_NC	0.813923042953083	TAF2_EXONS_DOWN = CS	9.57981105746599e-11	*** : CR < AS_NC	2.64363778730731e-05	*** : CR < CS	0.0165987895661878	*   : AS_NC > CS
