GENE	EVENT	dPSI	MVdPSIat95
RPL7A	HsaALTD1026507-1/5	0.669989	0.33
CLCNKB	HsaINT0036037	0.644288	0.68
MEIS1-AS3	HsaINT1022780	0.636646	0.38
EEF1A1	HsaALTA1037461-3/3	0.584364	0.25
ZDHHC4	HsaALTD1021397-3/5	0.483879	0.47
ATG2B	HsaALTA1004608-3/4	0.436307	0.17
TMEM116	HsaEX0065399	0.344607	0.35
LINC01270	HsaEX0054588	0.308456	0.2
LMO1	HsaINT0092503	0.289173	0.29
ANP32B	HsaEX0004687	0.287023	0.29
CCDC9	HsaEX1007525	0.276008	0.27
ZNF821	HsaALTD1008971-1/2	0.264403	0.17
LMBR1L	HsaALTA1030104-4/4	0.261710	0.23
ZNF618	HsaALTA0009865-1/2	0.255180	0.15
UBFD1	HsaALTD0006993-3/3	0.248261	0.25
DAG1	HsaALTD1036514-1/2	0.244064	0.19
DNA2	HsaALTA0002548-2/3	0.218816	0.15
DMTN	HsaEX7004945	0.218801	0.2
RP11-596C23.6	HsaINT1036692	0.217439	0.21
ZFP30	HsaALTA0009687-1/2	0.203642	0.21
C1RL	HsaINT0021976	0.195165	0.27
WBSCR27	HsaEX0070880	0.186981	0.2
UBL7-AS1	HsaINT1045884	0.177233	0.18
PAQR6	HsaINT1026130	0.172636	0.24
SUCO	HsaINT0022616	0.171817	0.21
MRPS18C	HsaALTA1040283-3/4	0.170726	0.18
BCAT2	HsaALTD1010117-2/2	0.165086	0.16
RPS12	HsaALTA0007361-3/5	0.157550	0.17
PTPRU	HsaALTD0005176-1/2	0.155920	0.25
PAQR6	HsaEX0045492	0.155146	0.24
SSBP2	HsaEX0061835	0.153101	0.21
CPS1	HsaEX1009710	0.152810	0.21
PRPSAP2	HsaALTD0005082-3/4	0.150382	0.16
THAP7	HsaALTD1039659-4/5	0.136252	0.23
NRCAM	HsaEX0043767	0.117903	0.18
LPIN1	HsaEX0036265	0.110191	0.15
RAP1A	HsaALTD1014290-1/4	0.107959	0.15
LRRC8B	HsaEX0036702	0.106741	0.17
ASAP3	HsaALTD0000502-1/2	0.102540	0.16
RP5-890E16.2	HsaINT1040105	0.100314	0.15
CAPRIN2	HsaALTA0001466-2/3	0.098727	0.19
ZSCAN22	HsaALTD0007541-2/4	0.081300	0.19
DYX1C1	HsaINT0053434	0.067184	0.15
VSIG10L	HsaEX0070719	0.050844	0.17
SOBP	HsaEX6048804	-0.054616	0.16
RFX3	HsaEX6060520	-0.072357	0.16
SLC25A19	HsaALTD1017026-1/2	-0.073745	0.15
ACIN1	HsaALTA1010767-2/3	-0.078084	0.16
ZNF559	HsaINT0187647	-0.085126	0.18
ZNF611	HsaEX1045307	-0.092134	0.2
LMNB2	HsaALTA1048109-1/2	-0.093885	0.21
C8orf76	HsaALTA1052794-2/3	-0.094012	0.18
LINC01806	HsaINT1020854	-0.094145	0.22
C19orf53	HsaALTD0000875-1/4	-0.095161	0.16
DDX50	HsaALTD1010952-4/4	-0.095790	0.16
LINC01184	HsaALTA1059861-2/3	-0.096994	0.21
NCOA1	HsaINT0111200	-0.102256	0.16
CEP350	HsaALTA0001804-2/2	-0.103474	0.15
NOD1	HsaINT0114361	-0.103506	0.16
RWDD2A	HsaALTA0007444-2/3	-0.104654	0.17
SAMD8	HsaALTD0005654-2/2	-0.105133	0.18
TPK1	HsaEX0066679	-0.105326	0.15
RABGAP1L	HsaEX0051812	-0.114067	0.17
DTNB	HsaINT0052676	-0.115751	0.16
NRIP3	HsaINT0115916	-0.120819	0.17
ABCC3	HsaINT0001237	-0.129951	0.21
KCNN4	HsaALTA1012817-3/5	-0.130586	0.19
RP11-146F11.1	HsaINT1030937	-0.131035	0.18
CCDC159	HsaEX0013128	-0.132089	0.18
POLR2H	HsaINT1027523	-0.132685	0.19
RP11-108M9.4	HsaALTD1046533-2/3	-0.133239	0.17
CEP250	HsaALTD0001377-1/2	-0.134603	0.21
PLEKHN1	HsaINT0127539	-0.136295	0.2
SPEF2	HsaEX6097695	-0.137206	0.25
ARAP3	HsaINT0011021	-0.138198	0.2
PRDM10	HsaALTD0005032-2/2	-0.138214	0.2
FAM149A	HsaALTA0003124-1/2	-0.141067	0.22
STXBP6	HsaEX0062788	-0.146554	0.21
RP11-44N21.1	HsaINT1034985	-0.148109	0.2
FGGY	HsaEX0025698	-0.148738	0.19
PTAR1	HsaALTA1052530-1/2	-0.148792	0.15
ARVCF	HsaINT0012974	-0.150307	0.15
ZNF189	HsaALTD1021716-1/4	-0.153624	0.2
NEK8	HsaINT0112629	-0.155230	0.16
RPS6KB2	HsaALTA0007398-2/2	-0.156968	0.25
COMMD4	HsaALTD1023410-1/3	-0.157276	0.34
PDLIM7	HsaALTD0004650-4/4	-0.159516	0.16
SNRPN	HsaALTD1018044-1/2	-0.162744	0.26
TMEM161B-AS1	HsaEX0017703	-0.164730	0.24
SLC2A11	HsaEX0059276	-0.169223	0.26
MCOLN3	HsaINT0100942	-0.170310	0.17
GPR135	HsaINT1014737	-0.170848	0.16
LRRCC1	HsaALTA1026084-1/2	-0.173176	0.22
BNC2	HsaALTA0000958-1/2	-0.173649	0.22
POLG	HsaALTA0006506-1/2	-0.174127	0.24
KCNMB2-AS1	HsaINT1017197	-0.174745	0.2
RARRES2	HsaEX0052326	-0.177716	0.16
RP11-242D8.1	HsaEX7009386	-0.180404	0.26
RP11-69E11.4	HsaINT1037477	-0.182713	0.19
GBX2	HsaEX0027174	-0.184670	0.18
CCDC183-AS1	HsaEX1007387	-0.184692	0.25
SEC31B	HsaALTA1063884-1/2	-0.184911	0.27
SLC25A5	HsaEX1037317	-0.187282	0.15
RPE	HsaALTD0005507-2/2	-0.189260	0.18
RP11-3D4.2	HsaINT1034307	-0.191551	0.33
CRAMP1	HsaINT1008370	-0.196376	0.27
FBXO25	HsaEX0025272	-0.197864	0.17
LSM12	HsaEX0036839	-0.198398	0.25
TM7SF2	HsaINT0167825	-0.199798	0.2
ELOC	HsaEX7105289	-0.201250	0.2
CCDC7	HsaEX0013420	-0.204915	0.26
UBE2H	HsaALTA0009229-1/2	-0.205538	0.15
HERC1	HsaALTD1051407-2/2	-0.206192	0.21
EME2	HsaEX7008746	-0.207866	0.18
