GENE	EVENT	dPSI	MVdPSIat95
CLCNKB	HsaINT0036037	0.550726	0.24
SLC2A11	HsaINT0152271	0.495797	0.21
SPTLC3	HsaEX6077219	0.457744	0.45
C21orf2	HsaEX0010540	0.442268	0.36
LINC00969	HsaALTD1046751-3/4	0.436965	0.42
LPIN3	HsaALTA0004816-2/2	0.435521	0.31
SPTLC3	HsaEX6077214	0.427851	0.53
SPTLC3	HsaEX6077218	0.399980	0.22
ZNF155	HsaALTD0007378-1/5	0.382318	0.36
PITPNM2	HsaALTA1008883-3/3	0.380890	0.37
SPEF2	HsaALTD1027746-1/3	0.380784	0.45
KCNN4	HsaEX0033081	0.333310	0.32
PRDM5	HsaEX0049952	0.331081	0.26
RCOR3	HsaALTA1019387-1/4	0.330188	0.24
LMBR1L	HsaALTA1030104-4/4	0.318151	0.23
MYO9A	HsaEX1046138	0.317723	0.3
CNTROB	HsaALTA1045152-2/4	0.298171	0.37
DDT	HsaALTA1009900-2/2	0.274018	0.23
PODNL1	HsaEX0048803	0.265475	0.33
RPL18A	HsaEX0055494	0.258439	0.24
PICSAR	HsaALTD1049709-2/2	0.254446	0.26
SGCE	HsaALTD0005854-3/3	0.252967	0.27
NOD1	HsaALTD0004342-2/3	0.252570	0.27
ACACB	HsaINT0002075	0.247339	0.31
RPL3	HsaALTD1007651-2/2	0.245799	0.2
ZNF559	HsaEX0073931	0.245455	0.16
COL27A1	HsaALTD1041808-1/2	0.225890	0.28
PHOSPHO2	HsaINT0124384	0.222724	0.22
EPHA7	HsaALTD0002259-1/2	0.221666	0.15
EEF1B2	HsaALTD0002120-4/4	0.219053	0.19
ZNF133	HsaALTA0009735-1/2	0.216485	0.16
LINC01572	HsaEX1021140	0.215699	0.21
TIAL1	HsaALTA1035717-1/3	0.214300	0.29
PRR13	HsaALTA1056309-3/3	0.210282	0.15
UBA1	HsaALTA0009196-1/5	0.206989	0.21
PARD3B	HsaINT0120302	0.195976	0.16
RABGAP1	HsaALTA0006933-2/2	0.194730	0.26
TNS4	HsaINT0170726	0.192647	0.21
DYX1C1	HsaEX6074908	0.190105	0.27
LRRFIP1	HsaEX0036739	0.186129	0.19
LINC00863	HsaALTA1057537-2/2	0.175530	0.18
SNRPG	HsaEX1038313	0.174397	0.17
CDKL5	HsaALTD1000647-2/2	0.169675	0.21
SCNN1D	HsaINT0146035	0.167863	0.23
ACSF3	HsaINT1002655	0.167465	0.16
ZSCAN21	HsaINT0188820	0.166066	0.22
ENTPD5	HsaINT0056525	0.165326	0.16
IFT88	HsaEX0031113	0.162671	0.23
ANKRD33B	HsaALTA1041349-2/2	0.156465	0.2
GEMIN8	HsaINT1014313	0.150873	0.22
ISYNA1	HsaINT0082205	0.146505	0.19
AC008440.10	HsaALTD1045817-2/2	0.139292	0.22
PTPRU	HsaALTD0005176-2/2	0.139242	0.21
ACAD10	HsaEX0001739	0.133975	0.21
ASAP3	HsaALTD0000502-1/2	0.127231	0.18
C11orf80	HsaINT0019920	0.127202	0.16
NRCAM	HsaEX0043767	0.115430	0.18
