GENE	EVENT	dPSI	MVdPSIat95
SIK3	HsaEX6004823	0.631655	0.33
NAV1	HsaALTD1020417-2/2	0.578295	0.57
ST5	HsaEX0062007	0.556443	0.23
TEAD1	HsaEX0064361	0.484841	0.17
CACNB3	HsaINT0026583	0.426965	0.17
JMJD1C	HsaEX0032770	0.349601	0.34
SARAF	HsaEX0065944	0.346419	0.22
ST5	HsaEX0062006	0.344011	0.35
GABRE	HsaINT0067150	0.324753	0.24
POLR2J3	HsaALTA1063617-5/13	0.314149	0.32
RP11-21L23.3	HsaALTD1052643-1/3	0.304598	0.2
FAM200B	HsaINT1013129	0.302800	0.16
LAMA5	HsaINT0090349	0.296123	0.3
GMPPB	HsaEX0027801	0.295814	0.37
FBF1	HsaEX0024991	0.293104	0.21
DOCK11	HsaEX0020547	0.278128	0.27
TIMM23B	HsaALTD1043472-1/4	0.270031	0.18
KYAT1	HsaINT0028665	0.265547	0.35
ZCCHC11	HsaEX0072328	0.263800	0.15
PCNX3	HsaINT0121501	0.253981	0.25
HHLA3	HsaEX0029930	0.252225	0.31
FANCL	HsaINT0061910	0.250924	0.32
PLEKHM2	HsaEX6028633	0.250872	0.3
PRELID1	HsaALTA1044728-1/6	0.248767	0.18
FAM135A	HsaINT0059876	0.247750	0.18
CHKA	HsaEX0015190	0.247477	0.18
RHOD	HsaEX0053518	0.245837	0.23
ZNF780B	HsaINT0188380	0.243927	0.15
SLC38A7	HsaEX0059588	0.241196	0.15
RAD54L	HsaINT0136707	0.240427	0.23
RC3H1	HsaALTD1052484-3/4	0.240397	0.33
NAGLU	HsaINT0109798	0.239536	0.16
FAM167B	HsaINT0060212	0.237317	0.22
TAF1	HsaALTA1063764-2/2	0.233181	0.17
YBX1	HsaALTA1004474-4/5	0.225900	0.31
PI4K2A	HsaINT0124494	0.221393	0.22
VWA8	HsaEX0033738	0.219209	0.15
MBD4	HsaINT0100386	0.217951	0.28
MATN2	HsaALTA0005032-3/4	0.209702	0.29
C9orf3	HsaALTD1026428-2/2	0.209307	0.2
PABPC1	HsaALTD0004534-1/5	0.208269	0.15
SERF2	HsaALTD0005789-1/4	0.206727	0.29
SPG11	HsaINT1042804	0.204805	0.2
TCF25	HsaEX0064161	0.203316	0.16
POLB	HsaEX0048873	0.202235	0.17
MATN2	HsaINT0100260	0.201295	0.28
KCNC4	HsaINT0084262	0.200274	0.28
RAE1	HsaINT0136782	0.190465	0.17
PUS10	HsaEX0051305	0.190238	0.24
ZNF678	HsaEX0074170	0.190202	0.2
GUSBP11	HsaEX7010792	0.190164	0.19
IMPA2	HsaALTD1023927-2/2	0.188749	0.31
HDHD3	HsaALTA0003933-2/5	0.188098	0.17
DENND3	HsaEX0019163	0.181146	0.27
TAF6L	HsaINT0163528	0.171077	0.25
RP11-849H4.2	HsaEX1034888	0.170642	0.25
CCDC136	HsaALTD0001194-1/3	0.164471	0.17
MAP3K6	HsaINT0099225	0.164303	0.16
ASIC3	HsaINT0002375	0.163115	0.24
KLHL22	HsaEX0034811	0.162390	0.24
TMEM173	HsaEX0065584	0.161842	0.15
ABHD16A	HsaEX7104351	0.160141	0.15
JAKMIP3	HsaEX6091159	0.158986	0.21
ARL15	HsaEX0005859	0.157988	0.29
BTN2A1	HsaINT0019108	0.155059	0.22
EOGT	HsaINT0023946	0.154490	0.21
CGGBP1	HsaALTD1050678-1/5	0.152005	0.23
FRMD8	HsaINT0066067	0.151774	0.15
MSH5	HsaEX1024357	0.151613	0.23
GBA2	HsaINT0067999	0.148827	0.15
MSH5	HsaINT1048166	0.146668	0.15
