GENE	EVENT	dPSI	MVdPSIat95
IQCG	HsaINT0081734	0.608754	0.22
MYO18A	HsaALTA1053252-1/2	0.569408	0.23
POLR2J	HsaALTD1052337-1/2	0.559081	0.49
SLC12A4	HsaALTD0005943-3/3	0.480013	0.47
HSP90AB1	HsaALTA1009572-2/6	0.457226	0.51
CCDC183-AS1	HsaINT0092971	0.451862	0.39
SLC9A5	HsaEX0060047	0.448017	0.17
MYO6	HsaEX0041240	0.444211	0.21
GARNL3	HsaEX0027033	0.431949	0.18
CCDC183-AS1	HsaINT1006590	0.413105	0.38
IQCH-AS1	HsaEX1017862	0.391329	0.44
ACTN1	HsaALTD1004022-4/4	0.388306	0.37
GRB10	HsaEX0028562	0.383598	0.26
DDX3X	HsaALTA1057081-3/4	0.373158	0.18
DDX3X	HsaALTD1044543-1/2	0.372970	0.18
MYSM1	HsaEX0041367	0.370372	0.31
APOH	HsaALTD1006652-1/2	0.365687	0.29
BTN2A2	HsaINT1005496	0.361364	0.16
CCDC150	HsaEX0013090	0.356809	0.3
PCBP1-AS1	HsaEX0001614	0.347562	0.28
SRGAP1	HsaEX0061698	0.344215	0.4
TNRC6A	HsaEX0066371	0.344077	0.18
TPT1-AS1	HsaALTD1035506-2/2	0.339343	0.25
MYL12B	HsaALTD0004113-3/3	0.336114	0.2
USP16	HsaALTA1037358-1/3	0.333334	0.43
FIRRE	HsaINT1013666	0.320088	0.27
ANKRD42	HsaALTD0000334-1/3	0.313691	0.31
CLIP1	HsaEX0015663	0.313256	0.38
CEACAM19	HsaEX1008102	0.309966	0.3
FCF1	HsaALTA1020017-2/3	0.308823	0.26
DNHD1	HsaEX0020433	0.308442	0.43
NPM1	HsaALTA1049612-1/3	0.307656	0.35
DTWD1	HsaALTA0002671-3/3	0.303412	0.17
SPIN2B	HsaALTD1053240-5/6	0.300517	0.29
MXD3	HsaALTA1056686-1/3	0.297209	0.37
PGAP1	HsaEX0046780	0.296363	0.33
INPP5E	HsaALTA0004310-2/2	0.296306	0.4
TMEM164	HsaALTD0006610-2/2	0.292925	0.17
NAB1	HsaALTA0005536-1/2	0.289837	0.33
TTC6	HsaEX0067982	0.282200	0.33
GPT2	HsaALTD1033062-1/2	0.280185	0.19
GPER1	HsaEX0028178	0.277981	0.15
FAT1	HsaALTD1005499-2/3	0.276130	0.32
MACF1	HsaEX0037169	0.275486	0.16
ZNF26	HsaEX0073272	0.274028	0.35
ZNF816	HsaALTD1053834-2/2	0.268280	0.33
SYNE1	HsaINT0162690	0.267517	0.26
METTL21A	HsaINT0059639	0.267444	0.17
CYB561D1	HsaALTA0002279-2/2	0.265146	0.31
SENP1	HsaALTD1005059-2/2	0.259573	0.31
ZNF605	HsaEX0074024	0.256651	0.2
KCNG3	HsaALTD1051586-2/2	0.255738	0.33
ADGRG6	HsaEX0028282	0.255159	0.17
FIGNL1	HsaEX0025802	0.252924	0.18
SETD5	HsaINT0148334	0.252402	0.31
RPL21	HsaALTA1020897-4/4	0.250518	0.32
TMEM74B	HsaALTA0001217-1/4	0.248649	0.19
AC005154.6	HsaEX1001624	0.240882	0.34
EPOR	HsaALTA1052024-1/3	0.238051	0.17
DAG1	HsaALTA0002329-1/2	0.234915	0.23
NEK3	HsaALTD1021293-3/6	0.233286	0.23
ZNF180	HsaALTD1053761-1/5	0.232175	0.31
MYO9A	HsaEX0041285	0.230962	0.29
KIF24	HsaEX0034545	0.230734	0.28
FSTL4	HsaINT0066412	0.228700	0.22
MAP3K14	HsaINT0099092	0.228228	0.3
ZNF853	HsaINT0188561	0.228103	0.16
PHC3	HsaALTD1052263-1/6	0.228009	0.29
SLC35G1	HsaEX0065688	0.227602	0.21
PYCR1	HsaALTD1039223-2/2	0.224952	0.28
TOGARAM1	HsaINT0060382	0.223472	0.29
FKBP1B	HsaALTD0002572-1/2	0.222007	0.2
S100A16	HsaALTA1052526-3/3	0.220123	0.29
PUS7L	HsaALTD1052428-1/3	0.216407	0.16
DAZAP1	HsaALTD1003976-1/2	0.215457	0.21
SP4	HsaALTA1013664-2/4	0.213153	0.27
BAZ2A	HsaALTA0000911-2/4	0.211428	0.16
LRP5	HsaALTD0003653-2/2	0.210842	0.3
A2M	HsaALTA0000003-2/2	0.210636	0.15
NFKBIZ	HsaINT0113206	0.210117	0.18
AGO4	HsaINT0055009	0.210089	0.26
ALPK2	HsaINT0007332	0.209827	0.18
SP4	HsaINT0157108	0.209371	0.26
RPRD2	HsaINT0142863	0.209337	0.26
ANP32B	HsaEX0004687	0.207837	0.2
RAPGEF6	HsaINT0137446	0.206149	0.25
NFATC2	HsaINT0113005	0.205363	0.26
CLDN15	HsaINT0036070	0.199077	0.25
SLC25A36	HsaEX0059109	0.197331	0.25
DDR2	HsaALTD1030974-2/2	0.197236	0.24
SETX	HsaINT0148398	0.195106	0.26
YPEL2	HsaINT0184289	0.193754	0.25
IFNGR2	HsaEX0030973	0.192284	0.26
TOGARAM1	HsaINT0060394	0.190023	0.25
AZIN2	HsaEX0002666	0.187279	0.23
TMEM117	HsaEX0065407	0.186892	0.19
DMXL1	HsaINT0049035	0.186483	0.25
ZNF83	HsaINT0188512	0.185064	0.22
MDM1	HsaALTA1016161-2/2	0.184867	0.25
ZNF211	HsaEX0073180	0.181971	0.23
ZNF444	HsaALTD1033999-2/2	0.180572	0.22
PROM1	HsaINT0132441	0.177823	0.23
ZNF827	HsaALTD0007522-1/3	0.176398	0.23
EEF1D	HsaALTD1009570-1/3	0.176214	0.15
TBC1D31	HsaINT0182492	0.174171	0.22
PTPRG	HsaINT0134813	0.173393	0.22
BORA	HsaALTA1027695-1/2	0.171523	0.21
INO80D	HsaINT0080864	0.168043	0.21
C1GALT1	HsaEX1006192	0.167048	0.17
TM6SF2	HsaEX0065189	0.163430	0.25
AKAP13	HsaINT1003318	0.161656	0.21
CEACAM19	HsaALTA0001753-2/2	0.161043	0.18
DOPEY2	HsaINT0051581	0.160899	0.2
KIF7	HsaALTD1051616-3/4	0.159273	0.2
ZNF529	HsaALTD1040267-2/6	0.159045	0.2
CXorf23	HsaEX0018132	0.158853	0.21
NOD1	HsaEX0043255	0.158373	0.26
HSP90AB1	HsaALTA1009572-4/6	0.158250	0.21
SUOX	HsaALTD1023137-1/2	0.157623	0.24
DNAJC27	HsaEX0020342	0.154682	0.19
LINC01091	HsaEX1020524	0.152128	0.2
BMS1P4	HsaALTD1054368-3/5	0.150339	0.21
SSH1	HsaINT0159425	0.148777	0.2
BRIP1	HsaEX0008465	0.148239	0.22
TBC1D8B	HsaEX1040159	0.148155	0.21
GANC	HsaALTD1044334-1/3	0.148032	0.25
USPL1	HsaALTD1019873-1/2	0.147383	0.2
LINC01572	HsaEX1021143	0.147053	0.23
ZNF283	HsaEX0073356	0.146805	0.21
ZNF548	HsaEX0073913	0.146746	0.21
SEC14L6	HsaINT1041155	0.146163	0.2
PTPRG	HsaINT0134827	0.144962	0.19
ODF3B	HsaINT0117861	0.144713	0.24
ZFYVE16	HsaEX0072729	0.144224	0.2
CAMSAP2	HsaALTA0001445-1/2	0.144083	0.2
MYNN	HsaINT1024192	0.139664	0.19
LINC01134	HsaINT1019470	0.139261	0.22
JAK2	HsaALTD1007131-2/2	0.138177	0.22
RAPH1	HsaINT0137496	0.137942	0.2
KDM6A	HsaINT0085281	0.137939	0.18
FAM214A	HsaALTD1002104-1/2	0.137761	0.2
VPS13B	HsaEX0070456	0.137281	0.17
CENPC	HsaALTA1033153-2/2	0.137193	0.21
KRTCAP3	HsaINT0089749	0.136736	0.17
BCLAF1	HsaALTA1002137-1/4	0.133452	0.16
WDFY3	HsaINT0181612	0.132259	0.17
MAP3K14	HsaINT1022481	0.129447	0.19
BRCA1	HsaALTD0000735-2/2	0.126707	0.16
SYNE1	HsaINT0162684	0.123539	0.17
TRIP11	HsaINT0172701	0.123369	0.16
OSBP2	HsaALTA0005974-1/3	0.123289	0.18
STX1A	HsaINT0161299	0.122995	0.18
FREM1	HsaINT0065871	0.122920	0.15
RUBCN	HsaINT0085661	0.121730	0.16
LINC01091	HsaEX1020525	0.121436	0.17
BACE1	HsaINT0016307	0.120849	0.19
CCDC18	HsaINT0029366	0.120613	0.17
LINC01134	HsaEX1020591	0.120469	0.18
MED22	HsaINT1022719	0.120176	0.18
PPP1R9A	HsaALTA1038193-2/3	0.120061	0.17
VPS13B	HsaEX1043541	0.119737	0.16
SENP6	HsaALTA0007612-2/2	0.119648	0.19
ZEB1	HsaALTD1026604-2/2	0.118964	0.15
MXI1	HsaINT0107065	0.118323	0.2
SRSF4	HsaALTA1018761-2/2	0.117957	0.17
ZNF566	HsaEX0073949	0.116985	0.18
FNBP4	HsaALTA1015511-1/2	0.116805	0.19
C16orf46	HsaEX0009627	0.116379	0.2
ATP2B4	HsaINT0014848	0.116354	0.15
MAPKBP1	HsaINT0099794	0.115842	0.16
CCDC150	HsaEX0013096	0.115809	0.19
TM6SF2	HsaEX0065193	0.113554	0.19
TET3	HsaINT0165875	0.113414	0.16
REL	HsaEX0053013	0.113383	0.17
