EVENT	HeLa_FRT	HeLa_FRT_A	HeLa_FRT_B	HeLa_FRT_C	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_C	HeLa_TAF2	HeLa_TAF2_A	HeLa_TAF2_B	HeLa_TAF2_C
SCYL3=HsaEX0056692	13.33	NA	23.08	NA	12.67	3.23	18.98	NA	13.23	13.51	NA	16.87
SEMA3F=HsaEX0057075	42.31	36.67	41.67	50.00	37.85	32.43	33.33	53.49	40.98	56.25	31.03	34.43
SEMA3F=HsaEX0057076	91.37	100.00	95.45	82.46	95.65	90.91	100.00	100.00	93.83	96.61	88.46	96.08
RAD52=HsaEX0051924	82.41	87.76	69.70	95.47	74.44	82.80	69.74	66.67	75.62	79.59	67.27	80.03
CYP26B1=HsaEX0018263	95.77	95.16	100.00	92.28	97.51	100.00	95.96	95.52	94.63	80.00	100.00	100.00
ARHGAP33=HsaEX0005510	74.68	NA	68.75	92.00	63.86	64.44	NA	NA	78.22	NA	88.24	68.75
ARHGAP33=HsaEX0005511	96.83	100.00	90.88	100.00	96.46	95.64	100.00	93.64	89.86	80.82	100.00	92.69
SLC25A5=HsaEX1037317	70.29	NA	NA	NA	49.79	NA	NA	NA	69.35	NA	NA	NA
AC004381.6=HsaEX0000788	74.58	71.43	78.38	73.91	80.36	74.36	78.72	92.31	72.63	78.57	65.71	75.00
AC004381.6=HsaEX0000789	85.71	80.65	90.00	83.67	74.83	74.55	68.89	80.39	81.98	72.22	86.05	87.50
CROT=HsaEX0017322	93.10	NA	100.00	NA	91.67	86.67	88.89	100.00	92.59	80.95	NA	NA
OSBPL7=HsaEX0044934	65.52	60.00	80.00	62.16	63.86	77.78	60.00	NA	45.05	NA	36.59	NA
ALDH3B1=HsaEX0003634	72.36	81.54	69.62	68.63	65.93	60.94	68.18	70.30	75.56	72.92	75.00	79.07
TRAPPC6A=HsaEX0066936	71.05	70.83	67.21	76.74	73.33	61.19	85.51	72.73	66.67	66.67	76.92	56.00
CRAMP1=HsaEX0017128	77.98	73.91	84.21	76.00	84.21	81.82	82.98	88.00	85.00	77.78	79.49	100.00
MYLIP=HsaEX0040986	86.08	91.11	77.36	92.21	81.49	80.36	79.55	85.19	78.26	84.21	73.03	78.46
CDKL5=HsaEX0014401	11.50	20.60	4.76	NA	17.00	10.62	NA	NA	9.22	NA	NA	11.73
CELSR3=HsaEX0014558	84.31	NA	NA	NA	58.97	NA	NA	NA	92.00	NA	NA	NA
OSBPL5=HsaEX0044918	97.65	100.00	94.12	100.00	89.69	90.70	83.78	100.00	93.26	100.00	88.57	93.33
OSBPL5=HsaEX0044921	88.96	90.66	87.17	89.47	89.52	84.23	94.44	90.66	87.48	78.82	100.00	NA
GRAMD1B=HsaEX0028507	79.41	85.37	82.02	72.28	88.56	85.64	87.50	94.59	84.10	90.00	84.31	78.87
AKAP11=HsaEX0003354	57.01	50.00	NA	66.67	63.03	68.63	61.29	56.76	67.74	65.52	70.37	67.57
