GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	70.29	VLOW,VLOW,9=15=5,OK,S@20.38,8.62	75.46	N,N,5=1=1,B2,S@5.28,1.72	85.78	N,N,2=10=1,B1,S@11.15,1.85	49.19	N,N,2=4=3,OK,S@4.43,4.57	49.79	LOW,LOW,10=16=13,OK,S@19.42,19.58	44.77	N,N,5=5=6,OK,S@7.16,8.84	58.16	N,N,4=7=4,OK,S@8.72,6.28	45.60	N,N,1=4=3,B1,S@3.65,4.35	69.35	LOW,LOW,11=17=6,OK,S@23.58,10.42	85.90	N,N,6=6=1,OK,S@11.17,1.83	80.14	N,N,4=5=1,OK,S@8.01,1.99	45.98	N,N,1=6=4,B2,S@5.06,5.94	-20.50
CELSR3	HsaEX0014558	chr3:48644216-48644295	80	chr3:48644716,48644216-48644295,48643677+48643680	S	84.31	OK,OK,21=22=4,OK,S@39.63,7.37	62.50	N,N,4=6=3,OK,S@8.12,4.88	100.00	N,N,8=9=0,OK,S@17.00,0.00	88.89	N,N,9=7=1,OK,S@15.11,1.89	58.97	VLOW,VLOW,9=14=8,OK,S@18.28,12.72	50.00	N,N,4=6=5,OK,S@7.50,7.50	50.00	N,N,2=4=3,OK,S@4.50,4.50	100.00	N,N,3=4=0,OK,S@7.00,0.00	92.00	VLOW,VLOW,13=10=1,OK,S@22.08,1.92	100.00	N,N,4=3=0,OK,S@7.00,0.00	80.00	N,N,5=3=1,OK,S@7.20,1.80	100.00	N,N,4=4=0,OK,S@8.00,0.00	-25.34
LTK	HsaEX0036972	chr15:41505927-41506005	79	chr15:41507095,41505915+41505927-41506005,41505777	S	100.00	LOW,LOW,12=15=0,OK,S@27.00,0.00	100.00	N,N,3=4=0,OK,S@7.00,0.00	100.00	N,N,5=6=0,OK,S@11.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	80.94	LOW,LOW,19=16=4,OK,S@31.57,7.43	85.35	N,N,7=5=1,OK,S@11.10,1.90	78.45	N,N,8=7=2,OK,S@13.34,3.66	79.52	N,N,4=4=1,OK,S@7.16,1.84	100.00	VLOW,VLOW,11=11=0,OK,S@22.00,0.00	100.00	N,N,3=4=0,OK,S@7.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	-19.06
SPEG	HsaEX0061335	chr2:219444882-219444984	103	chr2:219444742,219444825+219444882-219444984+219445161,219447974	S	93.33	VLOW,VLOW,19=9=1,B1,S@27.07,1.93	84.62	N,N,6=5=1,OK,S@10.15,1.85	100.00	N,N,7=3=0,B1,S@10.00,0.00	100.00	N,N,6=1=0,B2,S@7.00,0.00	77.14	VLOW,VLOW,14=13=4,OK,S@23.91,7.09	61.90	N,N,9=4=4,B1,S@10.52,6.48	100.00	N,N,1=4=0,B1,S@5.00,0.00	100.00	N,N,4=5=0,OK,S@9.00,0.00	100.00	VLOW,VLOW,12=10=0,OK,S@22.00,0.00	100.00	N,N,4=4=0,OK,S@8.00,0.00	100.00	N,N,4=4=0,OK,S@8.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	-16.19
TRNT1	HsaEX0067330	chr3:3149094-3149233	140	chr3:3148010+3148187,3149094-3149233,3150540	S	60.14	OK,OK,40=21=20,OK,S@48.71,32.29	49.66	N,N,9=7=8,OK,S@11.92,12.08	72.03	VLOW,VLOW,18=8=5,B1,S@22.33,8.67	57.34	VLOW,VLOW,13=6=7,B1,S@14.91,11.09	41.97	OK,OK,22=25=32,OK,S@33.16,45.84	38.11	VLOW,VLOW,7=8=12,OK,S@10.29,16.71	36.47	VLOW,VLOW,6=8=12,OK,S@9.48,16.52	52.56	N,N,9=9=8,OK,S@13.67,12.33	54.59	OK,OK,34=17=21,B1,S@39.30,32.70	59.80	N,N,11=4=5,B1,S@11.96,8.04	52.47	N,N,16=4=9,B1,S@15.22,13.78	52.92	N,N,7=9=7,OK,S@12.17,10.83	-18.17
PANX2	HsaEX0045384	chr22:50175432-50175482	51	chr22:50170956,50175432-50175482,50176939	S	41.46	OK,OK,49=2=36,B2,S@36.07,50.93	39.39	VLOW,VLOW,13=0=10,Bl,S@9.06,13.94	44.83	N,N,13=0=8,Bl,S@9.41,11.59	40.98	LOW,LOW,23=2=18,B2,S@17.62,25.38	24.41	OK,OK,30=1=48,B2,S@19.28,59.72	25.93	OK,OK,13=1=20,B2,S@8.82,25.18	31.82	LOW,LOW,14=0=15,Bl,S@9.23,19.77	10.34	VLOW,VLOW,3=0=13,Bn,S@1.65,14.35	33.87	OK,OK,42=0=41,B3,S@28.11,54.89	28.21	VLOW,VLOW,11=0=14,Bl,S@7.05,17.95	33.33	LOW,LOW,15=0=15,B3,S@10.00,20.00	40.00	VLOW,VLOW,16=0=12,B3,S@11.20,16.80	-17.05
ANO8	HsaEX0004676	chr19:17327453-17327541	89	chr19:17327689,17327438+17327450+17327453-17327541+17327566+17327569,17327345	S	62.79	SOK,SOK,45=36=24,OK,S@65.93,39.07	69.23	VLOW,VLOW,18=9=6,OK,S@22.85,10.15	66.04	LOW,LOW,16=19=9,OK,S@29.06,14.94	51.35	VLOW,VLOW,11=8=9,OK,S@14.38,13.62	79.66	SOK,SOK,46=48=12,OK,S@84.44,21.56	82.35	LOW,LOW,11=17=3,OK,S@25.53,5.47	87.88	LOW,LOW,13=16=2,OK,S@27.24,3.76	72.55	OK,OK,22=15=7,OK,S@31.92,12.08	75.00	OK,OK,39=39=13,OK,S@68.25,22.75	82.35	VLOW,VLOW,19=9=3,B1,S@25.53,5.47	73.91	LOW,LOW,13=21=6,OK,S@29.56,10.44	66.67	N,N,7=9=4,OK,S@13.33,6.67	16.87
MAP2	HsaEX0037463	chr2:209723595-209723687	93	chr2:209710254,209723595-209723687,209725709	S	50.45	VLOW,VLOW,10=5=7,B1,S@11.10,10.90	0.00	N,N,0=0=1,Bn,S@0.00,1.00	41.37	N,N,3=3=4,OK,S@4.14,5.86	68.26	N,N,7=2=2,B1,S@7.51,3.49	31.95	VLOW,VLOW,6=7=13,OK,S@8.31,17.69	15.85	N,N,1=1=5,OK,S@1.11,5.89	48.29	N,N,3=5=4,OK,S@5.79,6.21	26.26	N,N,2=1=4,B1,S@1.84,5.16	48.39	N,N,5=7=6,OK,S@8.71,9.29	31.81	N,N,1=2=3,OK,S@1.91,4.09	64.72	N,N,0=4=1,Bn,S@3.24,1.76	54.47	N,N,4=1=2,B1,S@3.81,3.19	-18.50
COL4A4	HsaEX0016553	chr2:227060136-227060243	108	chr2:227062530,227060136-227060243,227059623	S	90.32	OK,OK,23=33=3,OK,S@53.29,5.71	89.47	VLOW,VLOW,6=11=1,OK,S@16.10,1.90	100.00	VLOW,VLOW,7=12=0,OK,S@19.00,0.00	83.33	VLOW,VLOW,10=10=2,OK,S@18.33,3.67	74.55	OK,OK,17=24=7,OK,S@35.78,12.22	67.74	VLOW,VLOW,12=9=5,OK,S@17.61,8.39	100.00	N,N,1=8=0,B2,S@9.00,0.00	73.33	N,N,4=7=2,OK,S@9.53,3.47	91.67	OK,OK,20=24=2,OK,S@42.17,3.83	100.00	N,N,10=4=0,B1,S@14.00,0.00	100.00	N,N,4=10=0,B1,S@14.00,0.00	80.00	VLOW,VLOW,6=10=2,OK,S@14.40,3.60	-15.77
ZNF510	HsaEX1045166	chr9:96777582-96777711	130	chr9:96778034,96777582-96777711,96776241+96776245	S	11.12	OK,OK,0=7=28,Bn,S@3.89,31.11	6.67	N,N,0=1=7,Bn,S@0.53,7.47	10.01	N,N,0=2=9,Bn,S@1.10,9.90	14.30	VLOW,VLOW,0=4=12,Bn,S@2.29,13.71	33.33	LOW,LOW,0=15=15,B3,S@10.00,20.00	20.00	N,N,0=4=8,Bn,S@2.40,9.60	45.45	N,N,0=5=3,Bn,S@3.64,4.36	42.86	N,N,0=6=4,Bn,S@4.29,5.71	18.94	LOW,LOW,2=6=17,B1,S@4.74,20.27	12.50	N,N,0=2=7,Bn,S@1.12,7.88	27.08	N,N,1=2=4,B1,S@1.90,5.10	19.84	N,N,1=2=6,B1,S@1.79,7.21	22.21
