GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
PHRF1	HsaEX0047222	chr11:605608-605724	117	chr11:605300,605605+605608-605724,606442+606445	S	97.89	OK,OK,35=58=1,OK,S@92.02,1.98	100.00	LOW,LOW,11=28=0,B1,S@39.00,0.00	100.00	LOW,LOW,13=19=0,OK,S@32.00,0.00	91.67	VLOW,VLOW,11=11=1,OK,S@21.08,1.92	39.39	OK,OK,21=31=40,OK,S@36.24,55.76	52.00	VLOW,VLOW,13=13=12,OK,S@19.76,18.24	25.00	VLOW,VLOW,1=7=12,B2,S@5.00,15.00	36.00	LOW,LOW,7=11=16,OK,S@12.24,21.76	74.47	SOK,SOK,42=63=18,OK,S@91.60,31.40	68.89	LOW,LOW,17=14=7,OK,S@26.18,11.82	88.57	LOW,LOW,12=19=2,OK,S@29.23,3.77	70.49	LOW,LOW,13=30=9,B1,S@36.65,15.35	98.31	SOK,SOK,519=412=8,OK,S@923.13,15.87	100.00	SOK,SOK,146=104=0,OK,S@250.00,0.00	97.34	SOK,SOK,195=171=5,OK,S@361.13,9.87	98.13	SOK,SOK,178=137=3,OK,S@312.05,5.95	98.49	SOK,SOK,343=308=5,OK,S@646.09,9.91	97.30	OK,OK,49=23=1,B1,S@71.03,1.97	100.00	OK,OK,41=28=0,OK,S@69.00,0.00	96.49	SOK,SOK,54=56=2,OK,S@108.07,3.93	100.00	OK,OK,50=43=0,OK,S@93.00,0.00	98.60	SOK,SOK,66=75=1,OK,S@140.01,1.99	98.81	SOK,SOK,83=83=1,OK,S@165.01,1.99	98.44	SOK,SOK,360=273=5,OK,S@628.05,9.95	100.00	SOK,SOK,111=108=0,OK,S@219.00,0.00	96.72	SOK,SOK,149=87=4,OK,S@232.13,7.87	98.89	SOK,SOK,100=78=1,OK,S@177.01,1.99	98.53	SOK,SOK,370=302=5,OK,S@667.05,9.95	98.57	SOK,SOK,71=67=1,OK,S@137.01,1.99	98.45	SOK,SOK,72=55=1,OK,S@126.02,1.98	95.35	OK,OK,40=42=2,OK,S@80.09,3.91	100.00	OK,OK,47=34=0,OK,S@81.00,0.00	98.55	SOK,SOK,77=59=1,OK,S@135.01,1.99	100.00	SOK,SOK,63=45=0,OK,S@108.00,0.00	-21.24
ADGRL1	HsaEX0036226	chr19:14160593-14160696	104	chr19:14161312,14160593-14160696,14160297	S	63.18	SOK,SOK,17=261=81,B2,S@226.82,132.18	72.09	LOW,LOW,3=90=18,B2,S@80.02,30.98	54.43	SOK,SOK,3=83=36,B2,S@66.40,55.60	64.71	SOK,SOK,11=88=27,B2,S@81.53,44.47	41.79	SOK,SOK,8=104=78,B2,S@79.40,110.60	37.78	OK,OK,4=30=28,B2,S@23.42,38.58	47.37	OK,OK,0=36=20,B3,S@26.53,29.47	41.18	OK,OK,4=38=30,B2,S@29.65,42.35	46.85	SOK,SOK,17=228=139,B2,S@179.90,204.10	44.83	SOK,SOK,5=60=40,B2,S@47.07,57.93	52.24	SOK,SOK,5=65=32,B2,S@53.28,48.72	45.08	SOK,SOK,7=103=67,B2,S@79.79,97.21	80.00	N,N,8=8=2,OK,S@14.40,3.60	100.00	N,N,3=3=0,OK,S@6.00,0.00	20.00	N,N,0=1=2,Bn,S@0.60,2.40	100.00	N,N,5=4=0,OK,S@9.00,0.00	87.50	LOW,LOW,13=15=2,OK,S@26.25,3.75	80.00	N,N,2=6=1,B1,S@7.20,1.80	33.33	N,N,0=1=1,Bn,S@0.67,1.33	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,3=4=0,OK,S@7.00,0.00	100.00	N,N,5=2=0,B1,S@7.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	65.22	N,N,9=6=4,OK,S@12.39,6.61	75.00	N,N,2=4=1,OK,S@5.25,1.75	75.00	N,N,5=1=1,B1,S@5.25,1.75	42.86	N,N,2=1=2,OK,S@2.14,2.86	76.00	VLOW,VLOW,9=10=3,OK,S@16.72,5.28	NA	N,N,0=0=0,Bn,S@0,0	100.00	N,N,1=0=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	100.00	N,N,4=3=0,OK,S@7.00,0.00	66.67	N,N,3=5=2,OK,S@6.67,3.33	60.00	N,N,1=2=1,OK,S@2.40,1.60	-16.36
LZTS2	HsaEX0037131	chr10:101003691-101004151	461	chr10:101002946,101003507+101003691-101004151+101004166,101005458+101005694	S	98.35	SOK,SOK,18=101=1,B2,S@118.02,1.98	100.00	VLOW,VLOW,7=33=0,B1,S@40.00,0.00	95.24	VLOW,VLOW,6=34=1,B2,S@39.05,1.95	100.00	VLOW,VLOW,5=34=0,B2,S@39.00,0.00	84.09	LOW,LOW,14=60=7,B1,S@68.11,12.89	80.49	VLOW,VLOW,8=25=4,B1,S@29.78,7.22	91.67	N,N,4=18=1,B1,S@21.08,1.92	82.61	N,N,2=17=2,B2,S@17.35,3.65	81.43	SOK,SOK,19=95=13,B1,S@103.42,23.58	82.61	VLOW,VLOW,5=33=4,B2,S@34.70,7.30	75.61	VLOW,VLOW,6=25=5,B1,S@27.22,8.78	84.91	VLOW,VLOW,8=37=4,B1,S@41.61,7.39	98.54	SOK,SOK,1709=1267=22,OK,S@2954.23,43.77	98.56	SOK,SOK,557=398=7,OK,S@948.15,13.85	98.63	SOK,SOK,635=518=8,OK,S@1145.09,15.91	98.41	SOK,SOK,517=351=7,OK,S@861.09,13.91	98.93	SOK,SOK,1325=1268=14,OK,S@2579.11,27.89	98.98	SOK,SOK,173=214=2,OK,S@385.03,3.97	99.04	SOK,SOK,198=216=2,OK,S@412.01,3.99	99.51	SOK,SOK,200=208=1,OK,S@407.00,2.00	99.10	SOK,SOK,214=227=2,OK,S@439.01,3.99	99.15	SOK,SOK,274=192=2,OK,S@464.02,3.98	97.95	SOK,SOK,266=211=5,OK,S@472.12,9.88	97.80	SOK,SOK,1442=1052=28,OK,S@2466.52,55.48	97.15	SOK,SOK,584=437=15,OK,S@1006.47,29.53	98.03	SOK,SOK,458=338=8,OK,S@788.16,15.84	98.54	SOK,SOK,400=277=5,OK,S@672.04,9.96	97.26	SOK,SOK,1141=1061=31,OK,S@2171.82,61.18	93.75	SOK,SOK,171=159=11,OK,S@319.69,21.31	94.07	SOK,SOK,181=168=11,OK,S@338.65,21.35	98.49	SOK,SOK,190=201=3,OK,S@388.05,5.95	97.80	SOK,SOK,178=178=4,OK,S@352.08,7.92	99.49	SOK,SOK,205=184=1,OK,S@388.01,1.99	99.49	SOK,SOK,216=171=1,OK,S@386.02,1.98	-17.37
AIP	HsaEX0003326	chr11:67489267-67489455	189	chr11:67487185,67489267-67489455,67490038	S	69.89	SOK,SOK,354=672=221,OK,S@871.53,375.47	71.49	SOK,SOK,120=231=70,OK,S@300.97,120.03	69.78	SOK,SOK,128=260=84,B1,S@329.36,142.64	68.17	SOK,SOK,106=181=67,OK,S@241.32,112.68	41.42	SOK,SOK,190=404=420,B1,S@420.00,594.00	37.62	SOK,SOK,67=132=165,OK,S@136.94,227.06	42.53	SOK,SOK,64=124=127,OK,S@133.97,181.03	44.71	SOK,SOK,59=148=128,B1,S@149.78,185.22	52.12	SOK,SOK,308=563=400,OK,S@662.45,608.55	51.54	SOK,SOK,101=167=126,OK,S@203.07,190.93	48.32	SOK,SOK,81=164=131,B1,S@181.68,194.32	55.59	SOK,SOK,126=232=143,OK,S@278.51,222.49	98.03	SOK,SOK,1057=1235=23,OK,S@2269.39,45.61	97.26	SOK,SOK,295=344=9,OK,S@630.24,17.76	98.24	SOK,SOK,389=503=8,OK,S@884.16,15.84	98.45	SOK,SOK,373=388=6,OK,S@755.11,11.89	97.73	SOK,SOK,1676=1855=41,OK,S@3490.92,81.08	99.12	SOK,SOK,314=362=3,OK,S@673.02,5.98	98.38	SOK,SOK,364=364=6,OK,S@722.11,11.89	96.66	SOK,SOK,281=297=10,OK,S@568.36,19.64	97.77	SOK,SOK,289=326=7,OK,S@608.13,13.87	96.39	SOK,SOK,219=262=9,OK,S@472.31,17.69	97.42	SOK,SOK,209=244=6,OK,S@447.16,11.84	96.87	SOK,SOK,1001=1102=34,OK,S@2070.11,66.89	96.99	SOK,SOK,399=438=13,OK,S@824.41,25.59	97.95	SOK,SOK,272=301=6,OK,S@567.13,11.87	95.85	SOK,SOK,330=363=15,OK,S@678.62,29.38	97.53	SOK,SOK,1563=1669=41,OK,S@3192.16,80.84	97.55	SOK,SOK,344=373=9,OK,S@708.21,17.79	97.63	SOK,SOK,345=314=8,OK,S@651.19,15.81	97.07	SOK,SOK,229=235=7,OK,S@457.20,13.80	96.19	SOK,SOK,206=249=9,OK,S@446.32,17.68	97.39	SOK,SOK,211=237=6,OK,S@442.15,11.85	99.19	SOK,SOK,228=261=2,OK,S@487.02,3.98	-17.99
PRPF40B	HsaEX0050379	chr12:49635099-49635263	165	chr12:49634602,49635099-49635263,49635365	S	82.17	SOK,SOK,62=54=12,OK,S@105.18,22.82	83.04	OK,OK,21=20=4,OK,S@37.37,7.63	79.36	OK,OK,18=22=5,OK,S@35.71,9.29	84.63	LOW,LOW,23=12=3,OK,S@32.16,5.84	46.10	LOW,LOW,19=10=16,OK,S@20.75,24.25	31.38	N,N,3=0=3,Bn,S@1.88,4.12	44.01	VLOW,VLOW,10=5=9,OK,S@10.56,13.44	56.70	N,N,6=5=4,OK,S@8.51,6.49	64.32	SOK,SOK,45=49=25,OK,S@76.54,42.46	62.46	LOW,LOW,16=12=8,OK,S@22.49,13.51	57.75	VLOW,VLOW,10=10=7,OK,S@15.59,11.41	68.92	OK,OK,19=27=10,OK,S@38.60,17.40	94.81	OK,OK,56=22=2,B1,S@75.85,4.15	100.00	VLOW,VLOW,13=6=0,OK,S@19.00,0.00	100.00	VLOW,VLOW,19=8=0,B1,S@27.00,0.00	88.20	VLOW,VLOW,24=8=2,B1,S@29.99,4.01	97.08	SOK,SOK,85=55=2,OK,S@137.85,4.15	91.93	VLOW,VLOW,15=9=1,OK,S@22.98,2.02	92.87	LOW,LOW,12=15=1,OK,S@26.00,2.00	100.00	VLOW,VLOW,15=5=0,B1,S@20.00,0.00	100.00	VLOW,VLOW,10=5=0,OK,S@15.00,0.00	100.00	VLOW,VLOW,19=7=0,B1,S@26.00,0.00	100.00	VLOW,LOW,14=14=0,OK,S@28.00,0.00	91.57	OK,OK,33=35=3,OK,S@65.01,5.99	100.00	VLOW,VLOW,14=12=0,OK,S@26.00,0.00	86.76	VLOW,VLOW,9=18=2,B1,S@25.16,3.84	87.65	VLOW,VLOW,10=5=1,OK,S@14.02,1.98	96.79	SOK,SOK,115=75=3,OK,S@186.80,6.20	95.08	OK,OK,17=23=1,OK,S@38.98,2.02	92.30	VLOW,VLOW,13=12=1,OK,S@24.00,2.00	94.86	LOW,LOW,26=13=1,OK,S@37.94,2.06	100.00	VLOW,VLOW,13=5=0,B1,S@18.00,0.00	100.00	VLOW,VLOW,13=12=0,OK,S@25.00,0.00	100.00	LOW,LOW,33=10=0,B1,S@43.00,0.00	-19.30
CCT8	HsaEX1007664	chr21:29071952-29071988	37	chr21:29073206+29073260+29073390+29073506+29073531,29071952-29071988,29070337	S	49.38	SOK,SOK,95=89=109,OK,S@144.68,148.32	50.56	SOK,SOK,45=29=42,OK,S@58.65,57.35	49.05	OK,OK,26=29=33,OK,S@43.16,44.84	48.19	OK,OK,24=31=34,OK,S@42.89,46.11	57.03	SOK,SOK,125=95=96,OK,S@180.21,135.79	60.01	SOK,SOK,55=41=37,OK,S@79.81,53.19	57.09	OK,OK,29=24=23,OK,S@43.39,32.61	53.40	SOK,SOK,41=30=36,OK,S@57.14,49.86	65.06	SOK,SOK,112=110=69,OK,S@189.32,101.68	58.33	OK,SOK,35=30=27,OK,S@53.66,38.34	71.68	OK,OK,31=35=15,OK,S@58.06,22.94	66.10	SOK,SOK,46=45=27,OK,S@78.00,40.00	35.78	OK,OK,1=22=24,B2,S@16.82,30.18	49.89	N,N,0=12=7,Bl,S@9.48,9.52	22.55	VLOW,VLOW,1=6=14,B2,S@4.74,16.26	43.52	N,N,0=4=3,Bn,S@3.05,3.95	23.41	LOW,LOW,4=6=19,OK,S@6.79,22.21	22.56	N,N,2=0=4,Bn,S@1.35,4.65	0.00	N,N,0=0=2,Bn,S@0.00,2.00	63.64	N,N,1=2=1,OK,S@2.55,1.45	63.64	N,N,0=3=1,Bn,S@2.55,1.45	16.32	N,N,1=0=3,Bn,S@0.65,3.35	6.74	N,N,0=1=8,Bn,S@0.61,8.39	30.91	N,N,1=6=9,B2,S@4.95,11.05	15.99	N,N,0=2=6,Bn,S@1.28,6.72	63.64	N,N,1=2=1,OK,S@2.55,1.45	36.81	N,N,0=2=2,Bn,S@1.47,2.53	17.47	OK,OK,5=3=22,OK,S@5.24,24.76	18.96	N,N,1=1=5,OK,S@1.33,5.67	18.90	N,N,2=0=5,Bn,S@1.32,5.68	12.68	N,N,0=1=4,Bn,S@0.63,4.37	100.00	N,N,1=1=0,OK,S@2.00,0.00	0.00	N,N,0=0=6,Bn,S@0.00,6.00	22.37	N,N,1=0=2,Bn,S@0.67,2.33	16.10
WDFY3	HsaEX0070915	chr4:84726861-84726911	51	chr4:84733382,84726861-84726911,84724594	S	52.40	SOK,SOK,96=133=104,OK,S@174.49,158.51	49.32	SOK,SOK,28=44=37,OK,S@53.76,55.24	57.35	SOK,SOK,32=46=29,OK,S@61.36,45.64	50.97	SOK,SOK,36=43=38,OK,S@59.63,57.37	55.17	SOK,SOK,116=140=104,OK,S@198.61,161.39	56.28	SOK,SOK,48=55=40,OK,S@80.48,62.52	53.62	SOK,SOK,30=44=32,OK,S@56.84,49.16	55.24	SOK,SOK,38=41=32,OK,S@61.32,49.68	36.52	SOK,SOK,58=87=126,OK,S@98.97,172.03	34.88	OK,OK,19=26=42,OK,S@30.35,56.65	31.82	OK,OK,19=23=45,OK,S@27.68,59.32	42.65	OK,OK,20=38=39,OK,S@41.37,55.63	26.56	SOK,SOK,27=54=112,OK,S@51.26,141.74	26.21	OK,OK,9=18=38,OK,S@17.04,47.96	24.37	OK,OK,9=20=45,B1,S@18.03,55.97	30.12	OK,OK,9=16=29,OK,S@16.26,37.74	57.69	VLOW,VLOW,7=23=11,B1,S@23.65,17.35	50.00	N,N,0=2=1,Bn,S@1.50,1.50	42.86	N,N,1=2=2,OK,S@2.14,2.86	71.43	N,N,0=5=1,Bn,S@4.29,1.71	50.00	N,N,0=2=1,Bn,S@1.50,1.50	55.56	N,N,4=6=4,OK,S@7.78,6.22	66.67	N,N,2=6=2,B1,S@6.67,3.33	29.66	SOK,SOK,43=27=83,OK,S@45.38,107.62	32.69	OK,OK,18=16=35,OK,S@22.56,46.44	27.50	OK,OK,16=6=29,B1,S@14.03,36.98	26.92	LOW,LOW,9=5=19,OK,S@8.88,24.12	31.76	OK,OK,10=17=29,OK,S@17.79,38.21	25.00	N,N,4=0=6,Bn,S@2.50,7.50	30.00	N,N,2=4=7,OK,S@3.90,9.10	100.00	N,N,0=4=0,Bn,S@4.00,0.00	100.00	N,N,0=1=0,Bn,S@1.00,0.00	40.00	N,N,3=5=6,OK,S@5.60,8.40	16.67	VLOW,VLOW,1=3=10,B1,S@2.33,11.67	-16.10
CRELD1	HsaEX0017213	chr3:9942813-9942896	84	chr3:9941206,9942813-9942896,9943077	S	90.22	SOK,SOK,55=148=11,B1,S@193.07,20.93	89.33	LOW,LOW,13=54=4,B1,S@63.42,7.58	94.52	OK,OK,23=46=2,OK,S@67.11,3.89	87.01	OK,OK,19=48=5,B1,S@62.65,9.35	78.95	VLOW,VLOW,9=51=8,B2,S@53.69,14.31	85.19	N,N,1=22=2,B2,S@21.30,3.70	76.92	VLOW,VLOW,6=14=3,B1,S@17.69,5.31	73.91	N,N,2=15=3,B2,S@14.78,5.22	64.25	SOK,SOK,26=89=32,B1,S@94.45,52.55	60.71	VLOW,VLOW,5=29=11,B2,S@27.32,17.68	66.67	LOW,LOW,10=26=9,B1,S@30.00,15.00	65.22	LOW,LOW,11=34=12,B1,S@37.18,19.82	97.93	SOK,SOK,584=550=12,OK,S@1122.28,23.72	98.18	SOK,SOK,165=159=3,OK,S@321.05,5.95	98.55	SOK,SOK,227=181=3,OK,S@405.04,5.96	97.10	SOK,SOK,192=210=6,OK,S@396.17,11.83	97.57	SOK,SOK,919=1009=24,OK,S@1904.57,47.43	96.88	SOK,SOK,200=234=7,OK,S@427.24,13.76	96.08	SOK,SOK,171=221=8,OK,S@384.32,15.68	100.00	SOK,SOK,165=159=0,OK,S@324.00,0.00	98.15	SOK,SOK,165=153=3,OK,S@315.06,5.94	96.85	SOK,SOK,107=139=4,OK,S@242.12,7.88	98.17	SOK,SOK,111=103=2,OK,S@212.05,3.95	96.66	SOK,SOK,576=580=20,OK,S@1136.72,39.28	96.30	SOK,SOK,223=194=8,OK,S@409.27,15.73	94.38	SOK,SOK,175=161=10,OK,S@326.55,19.45	99.02	SOK,SOK,178=225=2,OK,S@401.03,3.97	97.47	SOK,SOK,737=806=20,OK,S@1523.46,39.54	98.73	SOK,SOK,155=155=2,OK,S@308.04,3.96	96.85	SOK,SOK,144=163=5,OK,S@302.17,9.83	97.42	SOK,SOK,104=123=3,OK,S@224.07,5.93	95.80	SOK,SOK,111=117=5,OK,S@223.21,9.79	98.23	SOK,SOK,110=112=2,OK,S@220.04,3.96	97.65	SOK,SOK,113=136=3,OK,S@246.08,5.92	-26.09
CENPX	HsaEX0062599	chr17:82019641-82019694	54	chr17:82019858,82019510+82019641-82019694,82019381	S	35.33	SOK,SOK,1119=464=1449,B1,S@1071.21,1960.79	36.37	SOK,SOK,416=167=510,B1,S@397.52,695.48	35.32	SOK,SOK,388=158=500,B1,S@369.45,676.55	34.08	SOK,SOK,315=139=439,B1,S@304.33,588.67	16.94	SOK,SOK,309=148=1120,B1,S@267.14,1309.86	15.56	SOK,SOK,97=50=399,OK,S@84.96,461.04	18.71	SOK,SOK,109=54=354,B1,S@96.73,420.27	16.69	SOK,SOK,103=44=367,B1,S@85.79,428.21	12.87	SOK,SOK,412=190=2037,B1,S@339.64,2299.36	13.37	SOK,SOK,146=55=651,B1,S@113.91,738.09	12.27	SOK,SOK,105=53=565,OK,S@88.71,634.29	12.89	SOK,SOK,161=82=821,OK,S@137.15,926.85	36.18	SOK,SOK,401=413=718,OK,S@554.28,977.72	37.43	SOK,SOK,100=101=168,OK,S@138.12,230.88	35.94	SOK,SOK,137=157=262,OK,S@199.83,356.17	35.64	SOK,SOK,164=155=288,OK,S@216.33,390.67	42.55	SOK,SOK,1062=1053=1428,OK,S@1507.55,2035.45	42.89	SOK,SOK,207=200=271,OK,S@290.79,387.21	42.00	SOK,SOK,181=210=270,OK,S@277.62,383.38	44.49	SOK,SOK,183=152=209,OK,S@242.03,301.97	40.11	SOK,SOK,147=157=227,OK,S@212.98,318.02	40.61	SOK,SOK,162=143=223,OK,S@214.42,313.58	44.99	SOK,SOK,182=191=228,OK,S@270.39,330.61	30.37	SOK,SOK,450=527=1120,OK,S@636.86,1460.14	28.47	SOK,SOK,124=161=358,OK,S@183.06,459.94	36.71	SOK,SOK,139=165=262,OK,S@207.78,358.22	27.95	SOK,SOK,187=201=500,OK,S@248.20,639.80	30.45	SOK,SOK,802=857=1895,OK,S@1082.19,2471.81	26.89	SOK,SOK,173=175=473,OK,S@220.77,600.23	26.59	SOK,SOK,171=181=486,OK,S@222.82,615.18	31.10	SOK,SOK,125=144=298,OK,S@176.34,390.66	32.14	SOK,SOK,130=158=304,OK,S@190.27,401.73	37.88	SOK,SOK,96=104=164,OK,S@137.88,226.12	37.27	SOK,SOK,107=95=170,OK,S@138.64,233.36	-22.42
EGFL7	HsaEX0021811	chr9:136669606-136669721	116	chr9:136668673,136669606-136669721,136669866+136669914	S	87.42	SOK,SOK,63=76=10,OK,S@130.26,18.74	95.74	OK,OK,18=27=1,OK,S@44.04,1.96	79.41	OK,OK,28=26=7,OK,S@48.44,12.56	90.91	OK,OK,17=23=2,OK,S@38.18,3.82	39.53	OK,OK,19=32=39,OK,S@35.58,54.42	51.11	VLOW,VLOW,7=16=11,B1,S@17.38,16.62	32.08	LOW,LOW,6=11=18,OK,S@11.23,23.77	35.48	VLOW,VLOW,6=5=10,OK,S@7.45,13.55	70.77	SOK,SOK,42=50=19,OK,S@78.55,32.45	75.00	LOW,LOW,12=18=5,OK,S@26.25,8.75	60.00	LOW,LOW,12=15=9,OK,S@21.60,14.40	77.78	LOW,LOW,18=17=5,OK,S@31.11,8.89	87.50	VLOW,VLOW,22=6=2,B1,S@26.25,3.75	100.00	N,N,7=3=0,B1,S@10.00,0.00	66.67	N,N,7=1=2,B2,S@6.67,3.33	100.00	N,N,8=2=0,B1,S@10.00,0.00	96.12	SOK,SOK,34=65=2,OK,S@97.08,3.92	92.31	VLOW,VLOW,7=17=1,B1,S@23.08,1.92	90.91	VLOW,VLOW,8=12=1,OK,S@19.09,1.91	100.00	N,N,4=17=0,B1,S@21.00,0.00	100.00	VLOW,VLOW,7=14=0,OK,S@21.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,4=3=0,OK,S@7.00,0.00	100.00	OK,OK,24=17=0,OK,S@41.00,0.00	100.00	VLOW,VLOW,15=7=0,B1,S@22.00,0.00	100.00	N,N,6=8=0,OK,S@14.00,0.00	100.00	N,N,3=2=0,OK,S@5.00,0.00	100.00	OK,OK,21=25=0,OK,S@46.00,0.00	100.00	N,N,1=0=0,Bn,S@1.00,0.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	100.00	N,N,8=5=0,OK,S@13.00,0.00	100.00	N,N,6=3=0,OK,S@9.00,0.00	100.00	N,N,2=4=0,OK,S@6.00,0.00	100.00	N,N,2=11=0,B2,S@13.00,0.00	-17.76
