GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
ACIN1	HsaEX0001930	chr14:23065966-23066008	43	chr14:23069476,23065966-23066008,23064488	C2	UP_EXONS_HeLa_SRRM2-KD	chr14	23065966	23066008	-	23069476	23064488	ENSG00000100813
TTC23	HsaEX0067855	chr15:99241365-99241559	195	chr15:99245389,99241365-99241559,99235080	C3	UP_EXONS_HeLa_SRRM2-KD	chr15	99241365	99241559	-	99245389	99235080	ENSG00000103852
SIK3	HsaEX6004823	chr11:116873903-116874056	154	chr11:116875158,116873903-116874056,116873636	ANN	UP_EXONS_HeLa_SRRM2-KD	chr11	116873903	116874056	-	116875158	116873636	ENSG00000160584
ZNF283	HsaEX0073355	chr19:43833505-43833626	122	chr19:43830217,43833505-43833626+43833828+43833934,43835505	C2	UP_EXONS_HeLa_SRRM2-KD	chr19	43833505	43833626	+	43830217	43835505	ENSG00000167637
TEAD1	HsaEX0064361	chr11:12878889-12878900	12	chr11:12864900,12878889-12878900,12879695+12879708	C1	UP_EXONS_HeLa_SRRM2-KD	chr11	12878889	12878900	+	12864900	12879708	ENSG00000187079
FBXW8	HsaEX0025387	chr12:117010323-117010427	105	chr12:116988812+116988869,117010323-117010427+117010450,117024147+117024205	S	UP_EXONS_HeLa_SRRM2-KD	chr12	117010323	117010427	+	116988812	117024205	ENSG00000174989
FAM193B	HsaEX0024339	chr5:177538905-177539147	243	chr5:177554249,177538905-177539147,177525205	C3	UP_EXONS_HeLa_SRRM2-KD	chr5	177538905	177539147	-	177554249	177525205	ENSG00000146067
ST5	HsaEX0062007	chr11:8710845-8710910	66	chr11:8711122+8711126,8710845-8710910+8710914+8710957,8707854	S	UP_EXONS_HeLa_SRRM2-KD	chr11	8710845	8710910	-	8711126	8707854	ENSG00000166444
CFAP44	HsaEX0071181	chr3:113331709-113331778	70	chr3:113333406,113331709-113331778+113331782,113330621+113330668	C2	UP_EXONS_HeLa_SRRM2-KD	chr3	113331709	113331778	-	113333406	113330621	NA
SLC27A4	HsaEX0059222	chr9:128350312-128350381	70	chr9:128348703,128350312-128350381,128352638	C3	UP_EXONS_HeLa_SRRM2-KD	chr9	128350312	128350381	+	128348703	128352638	ENSG00000167114
