GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type	comparison
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_FRT	70.29	VLOW	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_FRT_A	75.46	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_FRT_B	85.78	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_FRT_C	49.19	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_NLSTAF2dIDR	49.79	LOW	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_NLSTAF2dIDR_A	44.77	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_NLSTAF2dIDR_B	58.16	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_NLSTAF2dIDR_C	45.6	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_TAF2	69.35	LOW	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_TAF2_A	85.9	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_TAF2_B	80.14	N	S1	TAF2dIDR
SLC25A5	HsaEX1037317	chrX:119469667-119469723	57	chrX:119468626,119469661+119469667-119469723+119469766,119469974+119469977+119470096	S	HeLa_TAF2_C	45.98	N	S1	TAF2dIDR
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_FRT	87.1	VLOW	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_FRT_A	80	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_FRT_B	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_FRT_C	80	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_NLSTAF2dIDR	100	VLOW	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_NLSTAF2dIDR_A	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_NLSTAF2dIDR_B	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_NLSTAF2dIDR_C	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_TAF2	100	VLOW	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_TAF2_A	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_TAF2_B	100	N	S1	BOTH
NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	HeLa_TAF2_C	100	N	S1	BOTH
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_FRT	80.95	LOW	S1	TAF2dIDR
RARRES2	HsaEX0052326	chr7:150338615-150338723	109	chr7:150338986,150338615-150338723+150338741+150338757,150338439	S	HeLa_FRT_A	100	N	S1	TAF2dIDR
