GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
CRAMP1	HsaEX0017128	chr16:1667335-1667400	66	chr16:1666600,1667335-1667400,1667959+1667962+1667989+1667998+1668041	S	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	50.00	N,N,2=0=1,Bn,S@1.50,1.50	0.00	N,N,0=0=1,Bn,S@0.00,1.00	100.00	N,N,1=0=0,Bn,S@1.00,0.00	100.00	N,N,1=0=0,Bn,S@1.00,0.00	50.00	N,N,2=4=3,OK,S@4.50,4.50	33.33	N,N,2=0=2,Bn,S@1.33,2.67	100.00	N,N,0=3=0,Bn,S@3.00,0.00	33.33	N,N,0=1=1,Bn,S@0.67,1.33	66.20	SOK,SOK,150=85=60,OK,S@195.29,99.71	77.78	SOK,SOK,65=40=15,OK,S@93.34,26.66	49.62	OK,OK,37=28=33,OK,S@48.63,49.37	73.03	OK,OK,48=17=12,B1,S@56.23,20.77	64.15	OK,OK,40=28=19,OK,S@55.81,31.19	53.85	N,N,5=2=3,B1,S@5.38,4.62	55.56	N,N,2=3=2,OK,S@3.89,3.11	100.00	N,N,4=4=0,OK,S@8.00,0.00	61.90	N,N,6=7=4,OK,S@10.52,6.48	80.00	N,N,9=7=2,OK,S@14.40,3.60	54.29	VLOW,VLOW,14=5=8,B1,S@14.66,12.34	61.01	SOK,SOK,102=67=54,OK,S@136.05,86.95	54.64	OK,OK,31=22=22,OK,S@40.98,34.02	57.98	OK,OK,42=27=25,OK,S@54.50,39.50	77.05	OK,OK,29=18=7,OK,S@41.61,12.39	94.16	SOK,SOK,75=54=4,OK,S@125.23,7.77	100.00	LOW,LOW,16=16=0,OK,S@32.00,0.00	92.59	LOW,LOW,15=10=1,OK,S@24.07,1.93	86.67	N,N,9=4=1,B1,S@12.13,1.87	80.00	N,N,1=7=1,B2,S@7.20,1.80	100.00	VLOW,VLOW,14=8=0,OK,S@22.00,0.00	93.55	VLOW,VLOW,20=9=1,B1,S@28.07,1.94	27.96
IFT88	HsaEX0031099	chr13:20589811-20589867	57	chr13:20583019,20589811-20589867,20590967	S	59.02	SOK,SOK,63=130=67,B1,S@153.45,106.55	63.20	SOK,SOK,24=55=23,B1,S@64.46,37.54	51.67	OK,OK,24=38=29,OK,S@47.02,43.98	63.41	OK,OK,15=37=15,B1,S@42.48,24.52	76.47	SOK,SOK,77=209=44,B1,S@252.35,77.65	74.07	SOK,SOK,36=84=21,B1,S@104.44,36.56	80.00	SOK,SOK,19=77=12,B1,S@86.40,21.60	76.09	OK,OK,22=48=11,B1,S@61.63,19.37	57.14	SOK,SOK,41=143=69,B1,S@144.56,108.44	65.22	OK,OK,18=57=20,B1,S@61.96,33.04	52.17	OK,OK,12=36=22,B1,S@36.52,33.48	53.04	OK,OK,11=50=27,B1,S@46.68,41.32	33.04	SOK,SOK,69=83=154,OK,S@101.10,204.90	36.13	OK,OK,18=25=38,OK,S@29.27,51.73	29.84	SOK,SOK,25=32=67,OK,S@37.00,87.00	34.67	SOK,SOK,26=26=49,OK,S@35.02,65.98	51.82	SOK,SOK,57=57=53,OK,S@86.54,80.46	52.94	VLOW,VLOW,14=13=12,OK,S@20.65,18.35	57.58	VLOW,VLOW,9=10=7,OK,S@14.97,11.03	100.00	N,N,4=8=0,OK,S@12.00,0.00	33.33	N,N,2=7=9,B1,S@6.00,12.00	40.00	VLOW,VLOW,13=3=12,B1,S@11.20,16.80	54.39	LOW,LOW,15=16=13,OK,S@23.93,20.07	30.06	SOK,SOK,93=66=185,OK,S@103.41,240.59	21.55	SOK,SOK,21=18=71,OK,S@23.70,86.30	31.25	SOK,SOK,33=27=66,OK,S@39.38,86.62	38.46	SOK,SOK,39=21=48,OK,S@41.54,66.46	53.59	SOK,SOK,58=39=42,OK,S@74.49,64.51	44.19	VLOW,VLOW,12=7=12,OK,S@13.70,17.30	60.87	LOW,LOW,15=13=9,OK,S@22.52,14.48	77.78	N,N,4=3=1,OK,S@6.22,1.78	81.82	N,N,6=3=1,OK,S@8.18,1.82	50.00	N,N,9=3=6,B1,S@9.00,9.00	45.83	VLOW,VLOW,12=10=13,OK,S@16.04,18.96	20.55
FAM136A	HsaEX1013836	chr2:70301552-70301603	52	chr2:70301604+70301670+70301925,70301408+70301437+70301522+70301552-70301603,70300980	S	94.06	OK,OK,69=27=3,B1,S@93.12,5.88	93.55	VLOW,VLOW,24=5=1,B1,S@28.07,1.94	93.37	LOW,LOW,18=11=1,OK,S@28.01,1.99	95.00	LOW,LOW,27=11=1,B1,S@37.05,1.95	80.72	N,N,13=4=2,B1,S@15.34,3.66	77.78	N,N,3=4=1,OK,S@6.22,1.78	100.00	N,N,5=0=0,Bn,S@5.00,0.00	70.82	N,N,5=0=1,Bn,S@4.25,1.75	81.86	LOW,LOW,60=13=8,B1,S@66.31,14.69	79.15	N,N,21=2=3,B2,S@20.58,5.42	88.89	N,N,12=4=1,B1,S@15.11,1.89	80.72	VLOW,VLOW,27=7=4,B1,S@30.67,7.33	62.85	SOK,SOK,57=67=36,OK,S@100.56,59.44	58.14	LOW,LOW,18=19=13,OK,S@29.07,20.93	56.12	LOW,LOW,11=20=12,OK,S@24.13,18.87	71.41	OK,OK,28=28=11,OK,S@47.84,19.16	82.02	SOK,SOK,45=57=11,OK,S@92.68,20.32	76.20	N,N,8=5=2,OK,S@11.43,3.57	84.23	VLOW,VLOW,8=14=2,OK,S@20.22,3.78	100.00	VLOW,VLOW,5=11=0,B1,S@16.00,0.00	79.76	VLOW,VLOW,10=6=2,OK,S@14.36,3.64	71.23	N,N,8=7=3,OK,S@12.82,5.18	83.13	VLOW,VLOW,6=14=2,B1,S@18.29,3.71	69.75	SOK,SOK,65=67=28,OK,S@111.60,48.40	66.09	LOW,LOW,15=17=8,OK,S@26.44,13.56	60.78	LOW,LOW,14=24=12,OK,S@30.39,19.61	79.18	OK,OK,36=26=8,OK,S@55.43,14.57	85.68	SOK,SOK,99=132=19,OK,S@214.20,35.80	84.22	OK,OK,27=38=6,OK,S@59.80,11.20	80.95	OK,OK,20=40=7,OK,S@54.24,12.76	83.95	LOW,LOW,18=14=3,OK,S@29.38,5.62	86.76	VLOW,VLOW,9=18=2,OK,S@25.16,3.84	91.78	VLOW,VLOW,16=7=1,B1,S@22.03,1.97	100.00	VLOW,VLOW,9=15=0,OK,S@24.00,0.00	22.83
STAU2	HsaEX0062378	chr8:73527691-73527804	114	chr8:73552012,73527691-73527804+73527828,73422702	S	17.50	OK,OK,6=8=33,OK,S@8.22,38.77	14.29	VLOW,VLOW,1=3=12,B1,S@2.29,13.71	15.38	VLOW,VLOW,2=2=11,OK,S@2.31,12.69	23.08	VLOW,VLOW,3=3=10,OK,S@3.69,12.31	15.66	OK,OK,6=7=35,OK,S@7.52,40.48	12.50	VLOW,VLOW,1=3=14,B1,S@2.25,15.75	17.65	VLOW,VLOW,3=3=14,OK,S@3.53,16.47	17.65	N,N,2=1=7,OK,S@1.76,8.23	5.00	LOW,LOW,2=0=19,Bn,S@1.05,19.95	0.00	N,N,0=0=6,Bn,S@0.00,6.00	7.69	N,N,1=0=6,Bn,S@0.54,6.46	6.67	N,N,1=0=7,Bn,S@0.53,7.47	50.93	SOK,SOK,177=41=105,B1,S@164.50,158.50	43.62	SOK,SOK,51=14=42,B1,S@46.67,60.33	52.80	SOK,SOK,75=10=38,B2,S@64.94,58.06	57.63	OK,OK,51=17=25,B1,S@53.60,39.40	39.79	SOK,SOK,85=30=87,B1,S@80.38,121.62	37.93	LOW,LOW,14=8=18,OK,S@15.17,24.83	50.94	VLOW,VLOW,20=7=13,B1,S@20.38,19.62	22.58	OK,OK,10=4=24,B1,S@8.58,29.42	20.00	LOW,LOW,8=0=16,Bn,S@4.80,19.20	57.14	VLOW,VLOW,19=5=9,B1,S@18.86,14.14	58.82	VLOW,VLOW,14=6=7,B1,S@15.88,11.12	42.98	SOK,SOK,146=47=128,B1,S@137.97,183.03	41.56	SOK,SOK,55=9=45,B2,S@45.30,63.70	39.78	SOK,SOK,50=24=56,B1,S@51.71,78.29	50.46	OK,OK,41=14=27,B1,S@41.38,40.62	72.00	SOK,SOK,117=27=28,B1,S@123.84,48.16	66.04	N,N,33=2=9,B2,S@29.06,14.94	78.38	N,N,25=4=4,B2,S@25.87,7.13	46.67	N,N,9=5=8,OK,S@10.27,11.73	71.43	N,N,9=6=3,OK,S@12.86,5.14	93.55	VLOW,VLOW,22=7=1,B1,S@28.07,1.94	78.57	N,N,19=3=3,B2,S@19.64,5.36	21.07
ARID4B	HsaEX0005812	chr1:235213877-235214026	150	chr1:235219793,235213769+235213877-235214026,235196115	S	95.81	SOK,SOK,1644=1737=75,OK,S@3311.19,144.81	94.46	SOK,SOK,581=598=35,OK,S@1146.74,67.26	98.28	SOK,SOK,495=520=9,OK,S@1006.39,17.61	95.10	SOK,SOK,568=619=31,OK,S@1158.32,59.68	96.39	SOK,SOK,1603=1822=65,OK,S@3364.01,125.99	94.80	SOK,SOK,574=613=33,OK,S@1156.56,63.44	97.45	SOK,SOK,481=575=14,OK,S@1042.72,27.28	97.08	SOK,SOK,548=634=18,OK,S@1164.96,35.04	95.98	SOK,SOK,1341=1436=59,OK,S@2721.99,114.01	95.77	SOK,SOK,451=442=20,OK,S@874.38,38.62	95.49	SOK,SOK,384=410=19,OK,S@776.33,36.67	96.51	SOK,SOK,506=584=20,OK,S@1071.26,38.74	89.49	SOK,SOK,333=306=38,OK,S@605.85,71.15	90.91	SOK,SOK,130=107=12,OK,S@226.37,22.63	91.11	SOK,SOK,132=131=13,OK,S@251.46,24.54	84.41	SOK,SOK,71=68=13,OK,S@128.30,23.70	90.92	SOK,SOK,147=150=15,OK,S@283.67,28.33	95.51	OK,OK,21=21=1,OK,S@41.07,1.93	71.60	VLOW,VLOW,18=7=5,B1,S@21.48,8.52	96.19	OK,OK,28=22=1,OK,S@49.06,1.94	100.00	OK,OK,17=27=0,OK,S@44.00,0.00	89.32	OK,OK,31=35=4,OK,S@62.52,7.48	89.85	OK,OK,32=38=4,OK,S@66.49,7.51	87.98	SOK,SOK,244=233=33,OK,S@448.70,61.30	90.80	SOK,SOK,103=92=10,OK,S@186.14,18.86	88.55	SOK,SOK,87=96=12,OK,S@172.67,22.33	82.00	SOK,SOK,54=45=11,OK,S@90.20,19.80	73.79	SOK,SOK,126=113=43,OK,S@208.09,73.91	59.06	LOW,LOW,18=19=13,OK,S@29.53,20.47	84.05	OK,OK,28=24=5,OK,S@47.91,9.09	72.64	VLOW,VLOW,12=9=4,OK,S@18.16,6.84	78.95	OK,OK,20=17=5,OK,S@33.16,8.84	75.69	OK,OK,21=22=7,OK,S@37.84,12.15	73.38	OK,OK,27=22=9,OK,S@42.56,15.44	-15.70
ITIH1	HsaEX0032501	chr3:52788232-52788345	114	chr3:52788066,52788232-52788345,52789653	S	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	94.59	LOW,LOW,24=11=1,B1,S@34.05,1.95	100.00	N,N,8=4=0,OK,S@12.00,0.00	71.43	N,N,5=0=1,Bn,S@4.29,1.71	100.00	VLOW,VLOW,11=7=0,OK,S@18.00,0.00	84.05	SOK,SOK,130=123=24,OK,S@232.82,44.18	85.48	SOK,SOK,57=49=9,OK,S@98.30,16.70	87.88	OK,OK,43=44=6,OK,S@81.73,11.27	81.82	LOW,LOW,16=11=3,OK,S@24.55,5.45	74.36	LOW,LOW,12=17=5,OK,S@25.28,8.72	50.00	N,N,1=1=1,OK,S@1.50,1.50	100.00	N,N,1=1=0,OK,S@2.00,0.00	90.70	OK,OK,19=20=2,OK,S@37.19,3.81	100.00	VLOW,VLOW,10=14=0,OK,S@24.00,0.00	84.62	N,N,6=5=1,OK,S@10.15,1.85	66.67	N,N,3=1=1,B1,S@3.33,1.67	71.70	OK,OK,31=45=15,OK,S@65.25,25.75	65.00	LOW,LOW,10=16=7,OK,S@21.45,11.55	70.37	VLOW,VLOW,7=12=4,OK,S@16.19,6.81	75.00	N,N,3=9=2,B1,S@10.50,3.50	66.67	N,N,2=2=1,OK,S@3.33,1.67	100.00	N,N,5=1=0,B1,S@6.00,0.00	81.82	N,N,4=5=1,OK,S@8.18,1.82	-22.89
DGKA	HsaEX0019383	chr12:55941510-55941584	75	chr12:55941325,55941510-55941584+55941594,55941998	S	100.00	OK,OK,20=37=0,OK,S@57.00,0.00	100.00	N,N,4=16=0,B1,S@20.00,0.00	100.00	VLOW,VLOW,5=10=0,OK,S@15.00,0.00	100.00	VLOW,VLOW,11=11=0,OK,S@22.00,0.00	100.00	VLOW,VLOW,6=18=0,B1,S@24.00,0.00	100.00	N,N,3=6=0,OK,S@9.00,0.00	100.00	N,N,2=5=0,B1,S@7.00,0.00	100.00	N,N,1=7=0,B2,S@8.00,0.00	90.66	LOW,LOW,13=27=2,B1,S@38.08,3.92	77.26	N,N,6=8=2,OK,S@12.36,3.64	100.00	N,N,3=8=0,B1,S@11.00,0.00	100.00	N,N,4=11=0,B1,S@15.00,0.00	97.10	OK,OK,29=40=1,OK,S@67.97,2.03	100.00	VLOW,VLOW,9=20=0,B1,S@29.00,0.00	93.15	LOW,LOW,13=15=1,OK,S@27.01,1.99	100.00	N,N,7=5=0,OK,S@12.00,0.00	94.73	OK,OK,16=21=1,OK,S@36.00,2.00	100.00	N,N,6=4=0,OK,S@10.00,0.00	86.32	N,N,6=7=1,OK,S@12.08,1.92	100.00	N,N,2=2=0,OK,S@4.00,0.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	100.00	N,N,1=4=0,B1,S@5.00,0.00	100.00	N,N,2=8=0,B1,S@10.00,0.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,0=4=0,Bn,S@4.00,0.00	100.00	N,N,2=2=0,OK,S@4.00,0.00	77.81	OK,OK,33=32=9,OK,S@57.58,16.42	78.45	N,N,7=8=2,OK,S@13.34,3.66	100.00	N,N,7=9=0,OK,S@16.00,0.00	100.00	N,N,1=3=0,B1,S@4.00,0.00	100.00	N,N,8=5=0,OK,S@13.00,0.00	40.46	N,N,5=2=5,B1,S@4.86,7.14	70.82	N,N,5=5=2,OK,S@8.50,3.50	-19.29
MYO9A	HsaEX0041285	chr15:72019039-72019095	57	chr15:72020918,72019039-72019095,72010447	S	40.00	OK,OK,14=34=36,B1,S@33.60,50.40	33.33	VLOW,VLOW,3=7=10,B1,S@6.67,13.33	43.48	VLOW,VLOW,5=15=13,B1,S@14.35,18.65	40.91	VLOW,VLOW,6=12=13,OK,S@12.68,18.32	52.67	SOK,SOK,24=45=31,OK,S@52.67,47.33	42.86	VLOW,VLOW,7=14=14,OK,S@15.00,20.00	60.00	VLOW,VLOW,9=18=9,OK,S@21.60,14.40	56.76	VLOW,VLOW,8=13=8,OK,S@16.46,12.54	37.35	OK,OK,11=20=26,OK,S@21.29,35.71	33.33	N,N,2=6=8,B1,S@5.33,10.67	46.15	N,N,6=6=7,OK,S@8.77,10.23	33.33	VLOW,VLOW,3=8=11,B1,S@7.33,14.67	41.82	OK,OK,29=17=32,OK,S@32.62,45.38	44.83	N,N,8=5=8,OK,S@9.41,11.59	44.19	VLOW,VLOW,14=5=12,B1,S@13.70,17.30	36.84	VLOW,VLOW,7=7=12,OK,S@9.58,16.42	33.33	LOW,LOW,5=11=16,B1,S@10.67,21.33	50.00	N,N,0=2=1,Bn,S@1.50,1.50	0.00	N,N,0=0=2,Bn,S@0.00,2.00	25.00	N,N,0=2=3,Bn,S@1.25,3.75	NA	N,N,0=0=0,Bn,S@0,0	33.33	N,N,2=3=5,OK,S@3.33,6.67	41.18	N,N,3=4=5,OK,S@4.94,7.06	52.11	OK,OK,15=22=17,OK,S@28.14,25.86	42.86	VLOW,VLOW,7=8=10,OK,S@10.71,14.29	100.00	N,N,6=8=0,OK,S@14.00,0.00	36.36	N,N,2=6=7,B1,S@5.45,9.55	72.22	VLOW,VLOW,13=13=5,OK,S@22.39,8.61	66.67	N,N,5=7=3,OK,S@10.00,5.00	100.00	N,N,0=2=0,Bn,S@2.00,0.00	100.00	N,N,2=3=0,OK,S@5.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	100.00	N,N,2=0=0,Bn,S@2.00,0.00	42.86	N,N,2=1=2,OK,S@2.14,2.86	30.40
KLHL42	HsaEX0034749	chr12:27797251-27797342	92	chr12:27791853+27791859+27791901,27797247+27797251-27797342+27797345+27797349,27797715	S	3.45	OK,OK,1=1=28,OK,S@1.04,28.96	0.00	VLOW,VLOW,0=0=10,Bn,S@0.00,10.00	4.76	VLOW,VLOW,0=1=10,Bn,S@0.52,10.48	5.88	N,N,1=0=8,Bn,S@0.53,8.47	4.92	OK,OK,2=1=29,OK,S@1.57,30.43	3.70	VLOW,VLOW,1=0=13,Bn,S@0.52,13.48	4.76	VLOW,VLOW,1=0=10,Bn,S@0.52,10.48	7.69	N,N,0=1=6,Bn,S@0.54,6.46	5.26	OK,OK,2=2=36,OK,S@2.10,37.90	7.69	N,N,0=1=6,Bn,S@0.54,6.46	6.67	VLOW,VLOW,1=1=14,OK,S@1.07,14.93	3.03	LOW,LOW,1=0=16,Bn,S@0.52,16.48	16.67	SOK,SOK,53=47=250,OK,S@58.35,291.65	9.96	SOK,SOK,15=10=113,OK,S@13.74,124.26	25.39	SOK,SOK,23=26=72,OK,S@30.72,90.28	16.67	OK,OK,15=11=65,OK,S@15.17,75.83	31.54	SOK,SOK,59=35=102,OK,S@61.82,134.18	34.48	LOW,LOW,13=7=19,OK,S@13.45,25.55	36.84	VLOW,VLOW,10=4=12,B1,S@9.58,16.42	33.33	LOW,LOW,10=5=15,OK,S@10.00,20.00	27.27	VLOW,VLOW,6=3=12,OK,S@5.73,15.27	30.30	OK,OK,11=9=23,OK,S@13.03,29.97	27.59	OK,OK,9=7=21,OK,S@10.21,26.79	19.38	SOK,SOK,43=32=156,OK,S@44.77,186.23	16.95	OK,OK,13=7=49,OK,S@11.70,57.30	18.06	OK,OK,14=12=59,OK,S@15.35,69.65	23.20	OK,OK,16=13=48,OK,S@17.86,59.14	38.74	SOK,SOK,72=57=102,OK,S@89.49,141.51	43.28	LOW,LOW,17=12=19,OK,S@20.77,27.23	39.39	OK,OK,15=11=20,OK,S@18.12,27.88	36.84	VLOW,VLOW,10=4=12,B1,S@9.58,16.42	44.83	LOW,LOW,15=11=16,OK,S@18.83,23.17	30.61	LOW,LOW,4=11=17,B1,S@9.80,22.20	34.55	LOW,LOW,11=8=18,OK,S@12.78,24.22	22.07
POLRMT	HsaEX0049135	chr19:619586-619687	102	chr19:619958,619577+619586-619687+619714+619765,619296	S	14.65	N,N,1=0=3,Bn,S@0.59,3.41	0.00	N,N,0=0=1,Bn,S@0.00,1.00	33.99	N,N,1=0=1,Bn,S@0.68,1.32	0.00	N,N,0=0=1,Bn,S@0.00,1.00	0.00	OK,OK,0=0=39,Bn,S@0.00,39.00	0.00	VLOW,VLOW,0=0=14,Bn,S@0.00,14.00	0.00	VLOW,VLOW,0=0=14,Bn,S@0.00,14.00	0.00	VLOW,VLOW,0=0=11,Bn,S@0.00,11.00	50.74	N,N,2=0=1,Bn,S@1.52,1.48	33.99	N,N,1=0=1,Bn,S@0.68,1.32	100.00	N,N,1=0=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	57.38	LOW,LOW,18=16=13,OK,S@26.97,20.03	56.28	N,N,2=8=4,B1,S@7.88,6.12	43.56	N,N,9=3=8,B1,S@8.71,11.29	86.07	N,N,7=5=1,OK,S@11.19,1.81	85.32	OK,OK,47=32=7,OK,S@73.38,12.62	56.28	N,N,1=4=2,B1,S@3.94,3.06	100.00	VLOW,VLOW,10=6=0,OK,S@16.00,0.00	80.47	N,N,8=8=2,OK,S@14.48,3.52	100.00	N,N,11=4=0,B1,S@15.00,0.00	86.06	N,N,9=3=1,B1,S@11.19,1.81	79.43	N,N,8=7=2,OK,S@13.50,3.50	58.73	LOW,LOW,33=14=17,B1,S@37.59,26.41	69.04	N,N,9=4=3,B1,S@11.05,4.95	66.18	VLOW,VLOW,12=7=5,OK,S@15.88,8.12	46.17	N,N,12=3=9,B1,S@11.08,12.92	76.99	OK,OK,50=15=10,B1,S@57.74,17.26	86.06	N,N,12=0=1,Bl,S@11.19,1.81	65.87	N,N,13=2=4,B2,S@12.52,6.48	65.38	N,N,7=4=3,OK,S@9.15,4.85	100.00	N,N,3=6=0,OK,S@9.00,0.00	67.32	N,N,6=2=2,B1,S@6.73,3.27	100.00	N,N,9=1=0,B2,S@10.00,0.00	19.61
