GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
ANO8	HsaEX0004676	chr19:17327453-17327541	89	chr19:17327689,17327438+17327450+17327453-17327541+17327566+17327569,17327345	S	62.79	SOK,SOK,45=36=24,OK,S@65.93,39.07	69.23	VLOW,VLOW,18=9=6,OK,S@22.85,10.15	66.04	LOW,LOW,16=19=9,OK,S@29.06,14.94	51.35	VLOW,VLOW,11=8=9,OK,S@14.38,13.62	79.66	SOK,SOK,46=48=12,OK,S@84.44,21.56	82.35	LOW,LOW,11=17=3,OK,S@25.53,5.47	87.88	LOW,LOW,13=16=2,OK,S@27.24,3.76	72.55	OK,OK,22=15=7,OK,S@31.92,12.08	75.00	OK,OK,39=39=13,OK,S@68.25,22.75	82.35	VLOW,VLOW,19=9=3,B1,S@25.53,5.47	73.91	LOW,LOW,13=21=6,OK,S@29.56,10.44	66.67	N,N,7=9=4,OK,S@13.33,6.67	18.72
EFNA3	HsaEX0021749	chr1:155086128-155086205	78	chr1:155085942,155086128-155086205,155086413	S	72.41	OK,OK,38=25=12,OK,S@54.31,20.69	81.82	VLOW,VLOW,10=8=2,OK,S@16.36,3.64	63.16	VLOW,VLOW,14=10=7,OK,S@19.58,11.42	77.78	VLOW,VLOW,14=7=3,OK,S@18.67,5.33	92.59	OK,OK,45=30=3,OK,S@72.22,5.78	86.21	LOW,LOW,15=10=2,OK,S@23.28,3.72	100.00	LOW,LOW,17=11=0,OK,S@28.00,0.00	91.67	VLOW,VLOW,13=9=1,OK,S@21.08,1.92	78.57	OK,OK,43=23=9,OK,S@58.93,16.07	76.00	N,N,15=4=3,B1,S@16.72,5.28	81.82	VLOW,VLOW,7=11=2,OK,S@16.36,3.64	78.38	VLOW,VLOW,21=8=4,B1,S@25.87,7.13	18.38
FUK	HsaEX0026581	chr16:70469152-70469323	172	chr16:70468968,70469152-70469323,70470314	S	49.28	OK,OK,24=38=31,OK,S@45.83,47.17	60.84	VLOW,VLOW,6=10=5,OK,S@12.78,8.22	43.15	LOW,LOW,8=17=16,B1,S@17.69,23.31	50.51	VLOW,VLOW,10=11=10,OK,S@15.66,15.34	71.03	SOK,SOK,48=58=21,OK,S@90.21,36.79	73.19	OK,OK,21=24=8,OK,S@38.79,14.21	78.45	VLOW,VLOW,8=22=4,B1,S@26.67,7.33	62.60	LOW,LOW,19=12=9,OK,S@25.04,14.96	58.62	OK,OK,37=33=24,OK,S@55.10,38.90	61.46	VLOW,VLOW,10=13=7,OK,S@18.44,11.56	58.11	VLOW,VLOW,11=9=7,OK,S@15.69,11.31	56.75	LOW,LOW,16=11=10,OK,S@21.00,16.00	19.91
CPS1	HsaEX0017044	chr2:210519551-210519670	120	chr2:210477766,210519551-210519670+210519784,210556719	S	56.19	OK,OK,39=20=23,OK,S@46.08,35.92	72.73	VLOW,VLOW,10=6=3,OK,C1@13.82,5.18	45.95	VLOW,VLOW,12=5=10,B1,S@12.41,14.59	56.52	VLOW,VLOW,17=9=10,OK,S@20.35,15.65	78.85	OK,OK,51=31=11,OK,C1@73.33,19.67	76.74	LOW,LOW,21=12=5,OK,C1@29.16,8.84	83.33	VLOW,VLOW,14=6=2,B1,S@18.33,3.67	78.38	LOW,LOW,16=13=4,OK,C1@25.87,7.13	57.69	OK,OK,37=23=22,OK,C1@47.31,34.69	45.45	N,N,9=6=9,OK,S@10.91,13.09	54.84	VLOW,VLOW,12=5=7,B1,C1@13.16,10.84	70.00	LOW,LOW,16=12=6,OK,C1@23.80,10.20	21.08
CNOT4	HsaEX0016034	chr7:135363854-135364066	213	chr7:135393918,135363854-135364066,135363186	S	57.39	SOK,SOK,75=76=56,OK,S@118.80,88.20	56.32	OK,OK,23=26=19,OK,S@38.30,29.70	64.69	OK,OK,27=28=15,OK,S@45.28,24.72	51.59	OK,OK,25=22=22,OK,C1@35.60,33.40	73.51	SOK,SOK,85=126=38,OK,S@183.04,65.96	74.40	SOK,SOK,41=52=16,OK,S@81.10,27.90	71.42	OK,OK,24=46=14,OK,S@59.99,24.01	74.98	OK,OK,20=28=8,OK,S@41.99,14.01	61.27	SOK,SOK,84=90=55,OK,S@140.31,88.69	60.49	OK,OK,27=22=16,OK,S@39.32,25.68	57.57	OK,OK,31=26=21,OK,S@44.90,33.10	65.38	OK,OK,26=42=18,OK,S@56.23,29.77	16.07
GMIP	HsaEX0027788	chr19:19635644-19635721	78	chr19:19636707,19635644-19635721,19635569	S	43.95	OK,OK,35=22=37,OK,S@41.31,52.69	48.32	VLOW,VLOW,15=7=12,B1,S@16.43,17.57	41.92	VLOW,VLOW,11=6=12,OK,S@12.16,16.84	41.26	VLOW,VLOW,9=9=13,OK,S@12.79,18.21	65.02	SOK,SOK,47=52=27,OK,S@81.93,44.07	71.24	OK,OK,20=24=9,OK,S@37.76,15.24	63.97	VLOW,VLOW,14=14=8,OK,S@23.03,12.97	57.79	VLOW,VLOW,13=14=10,OK,S@21.38,15.62	60.07	OK,OK,41=30=24,OK,S@57.07,37.93	63.55	VLOW,VLOW,14=10=7,OK,S@19.70,11.30	64.18	N,N,17=4=6,B1,S@17.33,9.67	54.44	LOW,LOW,10=16=11,OK,S@20.14,16.86	20.50
PDPR	HsaEX1027585	chr16:70131302-70131419	118	chr16:70130544+70130548,70131302-70131419,70132151	C1	68.93	SOK,SOK,75=67=32,OK,S@119.94,54.06	72.73	LOW,LOW,16=16=6,OK,S@27.64,10.36	61.90	OK,OK,28=24=16,OK,S@42.09,25.91	74.36	OK,OK,31=27=10,OK,S@50.56,17.44	51.24	SOK,SOK,76=69=69,OK,S@109.65,104.35	45.60	OK,OK,29=28=34,OK,S@41.50,49.50	52.81	OK,OK,26=21=21,OK,S@35.91,32.09	59.42	OK,OK,21=20=14,OK,S@32.68,22.32	54.15	SOK,SOK,58=53=47,OK,S@85.56,72.44	60.61	OK,OK,22=18=13,OK,S@32.12,20.88	44.30	OK,OK,14=21=22,OK,S@25.25,31.75	60.00	LOW,LOW,22=14=12,OK,S@28.80,19.20	-17.05
FKTN	HsaEX0025875	chr9:105618049-105618092	44	chr9:105607919+105607951,105617959+105618049-105618092,105635051	C3	52.75	SOK,SOK,44=52=43,OK,C3@73.32,65.68	48.94	VLOW,VLOW,8=15=12,OK,C3@17.13,17.87	50.68	OK,OK,16=21=18,OK,C3@27.87,27.13	58.06	OK,OK,20=16=13,OK,C3@28.45,20.55	73.66	SOK,SOK,76=75=27,OK,C3@131.11,46.89	68.29	OK,OK,30=26=13,OK,C3@47.12,21.88	66.67	OK,OK,15=21=9,OK,C3@30.00,15.00	85.51	OK,OK,31=28=5,OK,C3@54.73,9.27	76.93	SOK,SOK,59=61=18,OK,C3@106.16,31.84	74.21	OK,OK,22=24=8,OK,C3@40.07,13.93	78.74	OK,OK,20=17=5,OK,C3@33.07,8.93	78.72	OK,OK,17=20=5,OK,C3@33.06,8.94	20.93
CLK4	HsaEX0015705	chr5:178617344-178617431	88	chr5:178618556,178617344-178617431+178617434,178616948	S	67.11	SOK,SOK,66=36=25,OK,S@85.23,41.77	53.19	VLOW,VLOW,16=9=11,OK,S@19.15,16.85	76.92	OK,OK,24=16=6,OK,S@35.38,10.62	69.81	LOW,LOW,26=11=8,B1,S@31.41,13.59	50.24	SOK,SOK,68=37=52,OK,S@78.88,78.12	51.72	OK,OK,32=13=21,B1,S@34.14,31.86	52.24	LOW,LOW,21=14=16,OK,S@26.64,24.36	45.45	LOW,LOW,15=10=15,OK,S@18.18,21.82	57.41	SOK,SOK,72=52=46,OK,S@97.60,72.40	51.35	OK,OK,17=21=18,OK,S@28.76,27.24	61.19	OK,OK,19=22=13,OK,S@33.04,20.96	60.00	LOW,LOW,36=9=15,B1,S@36.00,24.00	-16.84
PFKFB4	HsaEX0046737	chr3:48548532-48548659	128	chr3:48549864,48548532-48548659,48543646	S	41.28	SOK,SOK,65=25=64,B1,C1@63.57,90.43	42.86	LOW,LOW,17=7=16,B1,S@17.14,22.86	38.24	OK,OK,19=7=21,B1,S@17.97,29.03	42.55	OK,OK,29=11=27,B1,C1@28.51,38.49	25.11	SOK,SOK,42=13=82,B1,C1@34.40,102.60	21.82	OK,OK,22=2=43,B2,S@14.62,52.38	34.43	OK,OK,15=6=20,B1,C1@14.12,26.88	20.83	LOW,LOW,5=5=19,OK,C1@6.04,22.96	33.33	SOK,SOK,51=16=67,B1,S@44.66,89.34	34.29	OK,OK,17=7=23,B1,S@16.12,30.88	39.73	OK,OK,20=9=22,B1,C1@20.26,30.74	24.14	OK,OK,14=0=22,Bl,S@8.69,27.31	-15.53
