GROUP	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
UP_EXONS_BOTH	NRCAM	HsaEX0043767	chr7:108209421-108209605	185	chr7:108223725,108209421-108209605,108207659	S	chr7	108209421	108209605	-	108223725	108207659	ENSG00000091129
UP_EXONS_BOTH	ARVCF	HsaEX0006128	chr22:19972358-19972411	54	chr22:19972737,19972358-19972411,19971971	S	chr22	19972358	19972411	-	19972737	19971971	ENSG00000099889
UP_EXONS_BOTH	RHOT1	HsaEX1031255	chr17:32172937-32173060	124	chr17:32171077+32171101,32172937-32173060,32173831	S	chr17	32172937	32173060	+	32171077	32173831	ENSG00000126858
UP_EXONS_BOTH	IGSF1	HsaEX0031175	chrX:131399574-131399704	131	chrX:131578668,131399574-131399704,131389148	S	chrX	131399574	131399704	-	131578668	131389148	ENSG00000147255
UP_EXONS_BOTH	RBBP4	HsaEX1030778	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	chr1	32673459	32673580	+	32672901	32679644	ENSG00000162521
UP_EXONS_BOTH	PRELID1	HsaEX1029362	chr5:177305915-177305984	70	chr5:177304850,177305730+177305871+177305915-177305984,177306098+177306124	S	chr5	177305915	177305984	+	177304850	177306124	ENSG00000169230
UP_EXONS_BOTH	NOTUM	HsaEX0043424	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	chr17	81957806	81957908	-	81958335	81957074	ENSG00000185269
UP_EXONS_BOTH	ZNF311	HsaEX0073392	chr6:28999487-28999613	127	chr6:28999956,28999487-28999613+28999632+28999637+28999659,28998838	S	chr6	28999487	28999613	-	28999956	28998838	ENSG00000197935
UP_EXONS_BOTH	MAMLD1	HsaEX0037346	chrX:150473680-150473802	123	chrX:150471490,150473680-150473802,150503274	C1	chrX	150473680	150473802	+	150471490	150503274	ENSG00000013619
UP_EXONS_BOTH	MTMR11	HsaEX0040571	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	chr1	149931260	149931379	-	149931944	149930965	ENSG00000014914
UP_EXONS_BOTH	IFT88	HsaEX0031113	chr13:20643455-20643605	151	chr13:20641398,20643455-20643605,20653876	C2	chr13	20643455	20643605	+	20641398	20653876	ENSG00000032742
UP_EXONS_BOTH	PPP1R12B	HsaEX0049580	chr1:202431480-202431619	140	chr1:202430794+202430810,202431480-202431619,202434656	S	chr1	202431480	202431619	+	202430794	202434656	ENSG00000077157
UP_EXONS_BOTH	PPP1R12B	HsaEX0049579	chr1:202430731-202430794	64	chr1:202428929,202430731-202430794+202430810,202431480	S	chr1	202430731	202430794	+	202428929	202431480	ENSG00000077157
UP_EXONS_BOTH	GTPBP1	HsaEX0029023	chr22:38736029-38736256	228	chr22:38734393+38734397,38736029-38736256,38737951	C1	chr22	38736029	38736256	+	38734393	38737951	ENSG00000100226
UP_EXONS_BOTH	DDX58	HsaEX0019006	chr9:32492391-32492479	89	chr9:32493761,32492391-32492479+32492510+32492523+32492538+32492551,32491420	S	chr9	32492391	32492479	-	32493761	32491420	ENSG00000107201
UP_EXONS_BOTH	DDX58	HsaEX6060948	chr9:32491301-32491420	120	chr9:32500805,32491301-32491420,32473065	C3	chr9	32491301	32491420	-	32500805	32473065	ENSG00000107201
UP_EXONS_BOTH	DDX58	HsaEX6060949	chr9:32489344-32489448	105	chr9:32500805,32489344-32489448+32489451,32473065	C3	chr9	32489344	32489448	-	32500805	32473065	ENSG00000107201
UP_EXONS_BOTH	DDX58	HsaEX6060950	chr9:32487945-32488109	165	chr9:32500805,32487945-32488109+32488197+32488203,32473065	C3	chr9	32487945	32488109	-	32500805	32473065	ENSG00000107201
UP_EXONS_BOTH	CLIP4	HsaEX1008990	chr2:29174905-29175600	696	chr2:29174445,29174905-29175600,29181572	S	chr2	29174905	29175600	+	29174445	29181572	ENSG00000115295
UP_EXONS_BOTH	NCF2	HsaEX0041993	chr1:183567204-183567345	142	chr1:183569142,183567204-183567345,183566988	S	chr1	183567204	183567345	-	183569142	183566988	ENSG00000116701
UP_EXONS_BOTH	NCF2	HsaEX0041994	chr1:183566920-183566988	69	chr1:183567204,183566920-183566988,183565779+183565896	S	chr1	183566920	183566988	-	183567204	183565779	ENSG00000116701
UP_EXONS_BOTH	ZNF133	HsaEX0073026	chr20:18297985-18298062	78	chr20:18288604,18297985-18298062,18305668+18305681+18305723	C2	chr20	18297985	18298062	+	18288604	18305723	ENSG00000125846
UP_EXONS_BOTH	TTBK2	HsaEX0067729	chr15:42794644-42794801	158	chr15:42810614,42794644-42794801,42783635	S	chr15	42794644	42794801	-	42810614	42783635	ENSG00000128881
UP_EXONS_BOTH	POLN	HsaEX0048999	chr4:2157858-2157911	54	chr4:2170679+2170682,2157858-2157911,2131290	C3	chr4	2157858	2157911	-	2170682	2131290	ENSG00000130997
UP_EXONS_BOTH	RALGPS1	HsaEX0052085	chr9:126965844-126965951	108	chr9:126962346,126965844-126965951,126977695	S	chr9	126965844	126965951	+	126962346	126977695	ENSG00000136828
UP_EXONS_BOTH	PRDM5	HsaEX0049952	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	chr4	120754553	120754638	-	120777188	120710413	ENSG00000138738
UP_EXONS_BOTH	C1RL	HsaEX0010064	chr12:7099901-7100026	126	chr12:7101898,7099901-7100026,7099760+7099807	S	chr12	7099901	7100026	-	7101898	7099760	ENSG00000139178
UP_EXONS_BOTH	CCDC150	HsaEX0013089	chr2:196646341-196646504	164	chr2:196639778,196646341-196646504,196656633	C1	chr2	196646341	196646504	+	196639778	196656633	ENSG00000144395
UP_EXONS_BOTH	SSBP2	HsaEX0061835	chr5:81489250-81489309	60	chr5:81513628,81489250-81489309,81474562	S	chr5	81489250	81489309	-	81513628	81474562	ENSG00000145687
UP_EXONS_BOTH	RAPGEF6	HsaEX0052293	chr5:131592383-131592466	84	chr5:131603271,131592383-131592466,131562047	C1	chr5	131592383	131592466	-	131603271	131562047	NA
UP_EXONS_BOTH	ISL2	HsaEX0032262	chr15:76338252-76338514	263	chr15:76337967,76338252-76338514,76340276	S	chr15	76338252	76338514	+	76337967	76340276	ENSG00000159556
UP_EXONS_BOTH	IL6R	HsaEX0031511	chr1:154435969-154436110	142	chr1:154435156,154435969-154436110+154436164,154448125	S	chr1	154435969	154436110	+	154435156	154448125	ENSG00000160712
UP_EXONS_BOTH	EML5	HsaEX0022375	chr14:88706259-88706426	168	chr14:88712271,88706259-88706426,88705588	C1	chr14	88706259	88706426	-	88712271	88705588	ENSG00000165521
UP_EXONS_BOTH	ATP9B	HsaEX0007144	chr18:79213962-79214038	77	chr18:79207012,79213962-79214038,79253381	S	chr18	79213962	79214038	+	79207012	79253381	ENSG00000166377
UP_EXONS_BOTH	CORO6	HsaEX0016877	chr17:29621224-29621423	200	chr17:29622688+29622718,29621224-29621423+29621484,29619769+29619773	C1	chr17	29621224	29621423	-	29622718	29619769	ENSG00000167549
UP_EXONS_BOTH	CORO6	HsaEX0016880	chr17:29618790-29618883	94	chr17:29622688+29622718,29618790-29618883+29618971,29616847	C3	chr17	29618790	29618883	-	29622718	29616847	ENSG00000167549
UP_EXONS_BOTH	ZNF283	HsaEX0073353	chr19:43830100-43830217	118	chr19:43828281,43830100-43830217,43833505	C3	chr19	43830100	43830217	+	43828281	43833505	ENSG00000167637
UP_EXONS_BOTH	ZBTB49	HsaEX0072191	chr4:4315636-4315718	83	chr4:4313114,4315636-4315718,4320267+4320640	C3	chr4	4315636	4315718	+	4313114	4320640	ENSG00000168826
UP_EXONS_BOTH	LCORL	HsaEX0035530	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	chr4	17886068	17886161	-	17909094	17845901	ENSG00000178177
UP_EXONS_BOTH	ZNF708	HsaEX0074239	chr19:21310501-21310627	127	chr19:21329210,21310501-21310627,21309320+21309341	C1	chr19	21310501	21310627	-	21329210	21309320	ENSG00000182141
UP_EXONS_BOTH	PAPPA	HsaEX0045458	chr9:116211639-116211932	294	chr9:116207601,116211639-116211932,116219937	S	chr9	116211639	116211932	+	116207601	116219937	ENSG00000182752
UP_EXONS_BOTH	KREMEN1	HsaEX0035017	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	chr22	29125263	29125416	+	29098953	29137502	ENSG00000183762
UP_EXONS_BOTH	LRRC37B	HsaEX0036592	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	chr17	32021444	32022825	+	32008132	32024711	ENSG00000185158
UP_EXONS_BOTH	LINC01446	HsaEX1020927	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	chr7	53811508	53811574	-	53811660	53780038	ENSG00000205628
UP_EXONS_BOTH	GPC2	HsaEX0028144	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	chr7	100173835	100173997	-	100174685	100172217	ENSG00000213420
UP_EXONS_BOTH	ZNF337-AS1	HsaEX0055282	chr20:25634729-25634827	99	chr20:25634170,25634729-25634827,25645531	C2	chr20	25634729	25634827	+	25634170	25645531	ENSG00000213742
UP_EXONS_BOTH	GANC	HsaEX0027005	chr15:42329362-42329449	88	chr15:42327442,42329306+42329362-42329449,42330576	C1	chr15	42329362	42329449	+	42327442	42330576	ENSG00000214013
UP_EXONS_BOTH	ARHGAP27P1-BPTFP1-KPNA2P3	HsaEX1004490	chr17:64779263-64779334	72	chr17:64779415,64779184+64779263-64779334,64764548	C2	chr17	64779263	64779334	-	64779415	64764548	ENSG00000214176
UP_EXONS_BOTH	KANTR	HsaEX1018259	chrX:53099472-53099608	137	chrX:53094474,53099472-53099608,53141848	C1	chrX	53099472	53099608	+	53094474	53141848	ENSG00000232593
UP_EXONS_BOTH	SUCLG2-AS1	HsaEX0055157	chr3:67670918-67671004	87	chr3:67655074+67655102,67670829+67670882+67670918-67671004,67746771	C3	chr3	67670918	67671004	+	67655074	67746771	ENSG00000241316
UP_EXONS_BOTH	LRRC23	HsaEX0036546	chr12:6907315-6907445	131	chr12:6906662,6907315-6907445,6909890	C1	chr12	6907315	6907445	+	6906662	6909890	ENSG00000010626
UP_EXONS_BOTH	ADGRA2	HsaEX0028262	chr8:37840760-37840849	90	chr8:37840266,37840760-37840849,37841086	S	chr8	37840760	37840849	+	37840266	37841086	ENSG00000020181
UP_EXONS_BOTH	CD44	HsaEX0013859	chr11:35209965-35210054	90	chr11:35208206,35209965-35210054,35211246	C1	chr11	35209965	35210054	+	35208206	35211246	ENSG00000026508
UP_EXONS_BOTH	SDCCAG8	HsaEX0056740	chr1:243417968-243418076	109	chr1:243415829,243417968-243418076,243426427	S	chr1	243417968	243418076	+	243415829	243426427	ENSG00000054282
UP_EXONS_BOTH	NCK2	HsaEX0042005	chr2:105881328-105882049	722	chr2:105855289,105881328-105882049,105892982	S	chr2	105881328	105882049	+	105855289	105892982	ENSG00000071051
UP_EXONS_BOTH	CTTNBP2	HsaEX0017953	chr7:117782862-117782961	100	chr7:117784251,117782862-117782961,117780591	S	chr7	117782862	117782961	-	117784251	117780591	ENSG00000077063
UP_EXONS_BOTH	ZNF821	HsaEX0074411	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	chr16	71861776	71861942	-	71864138	71860672	ENSG00000102984
UP_EXONS_BOTH	TTC23	HsaEX0067855	chr15:99241365-99241559	195	chr15:99245389,99241365-99241559,99235080	C3	chr15	99241365	99241559	-	99245389	99235080	ENSG00000103852
UP_EXONS_BOTH	KCNC4	HsaEX0032957	chr1:110232221-110232597	377	chr1:110226178,110232221-110232597,110232911	C1	chr1	110232221	110232597	+	110226178	110232911	ENSG00000116396
UP_EXONS_BOTH	POLN	HsaEX0048992	chr4:2200840-2200878	39	chr4:2207987,2200840-2200878,2198717	S	chr4	2200840	2200878	-	2207987	2198717	ENSG00000130997
UP_EXONS_BOTH	PRDM5	HsaEX6086001	chr4:120811370-120811449	80	chr4:120816453,120811370-120811449,120799745	C1	chr4	120811370	120811449	-	120816453	120799745	ENSG00000138738
UP_EXONS_BOTH	KIF27	HsaEX6061688	chr9:83899661-83899804	144	chr9:83903060,83899661-83899804,83891501	C2	chr9	83899661	83899804	-	83903060	83891501	ENSG00000165115
UP_EXONS_BOTH	FAM103A1	HsaEX0023732	chr15:82986470-82986561	92	chr15:82986369,82986470-82986561,82987101	C3	chr15	82986470	82986561	+	82986369	82987101	NA
UP_EXONS_BOTH	TMEM182	HsaEX0065630	chr2:102797863-102798000	138	chr2:102764427,102797863-102798000,102814748	C1	chr2	102797863	102798000	+	102764427	102814748	ENSG00000170417
UP_EXONS_BOTH	RP11-69E11.4	HsaEX0055118	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	chr1	39523562	39523697	-	39529055	39522505	ENSG00000182109
