GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
ZRANB2	HsaINT0188750	chr1:71069363-71070826	1464	chr1:71070827-71070996=71069276-71069362:-	IR	AS_NC	chr1	71069363	71070826	-	71070996	71069276	ENSG00000132485
DMAP1	HsaINT0048752	chr1:44214899-44218310	3412	chr1:44214703-44214898=44218311-44218469:+	IR	AS_NC	chr1	44214899	44218310	+	44214703	44218469	ENSG00000178028
CROCC	HsaINT1008417	chr1:16948525-16948798	274	chr1:16948331-16948524=16948799-16948926:+	IR	AS_NC	chr1	16948525	16948798	+	16948331	16948926	ENSG00000058453
CROCC	HsaINT0041625	chr1:16970768-16971464	697	chr1:16970636-16970767=16971465-16971647:+	IR	AS_NC	chr1	16970768	16971464	+	16970636	16971647	ENSG00000058453
CC2D1B	HsaINT0028567	chr1:52361133-52361512	380	chr1:52361513-52361616=52360974-52361132:-	IR	AS_NC	chr1	52361133	52361512	-	52361616	52360974	ENSG00000154222
SCAMP3	HsaINT0145340	chr1:155256420-155256673	254	chr1:155256674-155256791=155255979-155256419:-	IR	AS_NC	chr1	155256420	155256673	-	155256791	155255979	ENSG00000116521
FUBP1	HsaINT1013995	chr1:77946577-77947452	876	chr1:77947453-77947552=77946482-77946576:-	IR	AS_NC	chr1	77946577	77947452	-	77947552	77946482	ENSG00000162613
RSRP1	HsaINT0022550	chr1:25243634-25245149	1516	chr1:25245150-25245301=25243550-25243633:-	IR	AS_NC	chr1	25243634	25245149	-	25245301	25243550	ENSG00000117616
SLC41A1	HsaINT0153082	chr1:205798052-205798668	617	chr1:205798669-205798815=205797904-205798051:-	IR	AS_NC	chr1	205798052	205798668	-	205798815	205797904	ENSG00000133065
MORN1	HsaINT0104427	chr1:2388338-2389924	1587	chr1:2389925-2389996=2388239-2388337:-	IR	AS_NC	chr1	2388338	2389924	-	2389996	2388239	ENSG00000116151
PUSL1	HsaINT0135345	chr1:1309604-1309680	77	chr1:1309454-1309603=1309681-1309851:+	IR	AS_NC	chr1	1309604	1309680	+	1309454	1309851	ENSG00000169972
MEF2D	HsaINT0101730	chr1:156467657-156467992	336	chr1:156467993-156468299=156463727-156467656:-	IR	AS_NC	chr1	156467657	156467992	-	156468299	156463727	ENSG00000116604
DENND4B	HsaINT0046849	chr1:153933031-153933196	166	chr1:153933197-153933319=153932861-153933030:-	IR	AS_NC	chr1	153933031	153933196	-	153933319	153932861	ENSG00000198837
DENND4B	HsaINT0046853	chr1:153930858-153930946	89	chr1:153930947-153931064=153930692-153930857:-	IR	AS_NC	chr1	153930858	153930946	-	153931064	153930692	ENSG00000198837
RP11-342M1.3	HsaINT1033453	chr1:42844685-42846256	1572	chr1:42846257-42846387=42844511-42844684:-	IR	AS_NC	chr1	42844685	42846256	-	42846387	42844511	ENSG00000228192
GBA	HsaINT1014232	chr1:155235845-155236244	400	chr1:155236245-155236469=155235681-155235844:-	IR	AS_NC	chr1	155235845	155236244	-	155236469	155235681	ENSG00000177628
SLC27A3	HsaINT0152117	chr1:153778356-153778462	107	chr1:153778161-153778355=153778463-153778553:+	IR	AS_NC	chr1	153778356	153778462	+	153778161	153778553	ENSG00000143554
CLK2	HsaINT0036433	chr1:155264301-155264467	167	chr1:155264468-155264550=155264221-155264300:-	IR	AS_NC	chr1	155264301	155264467	-	155264550	155264221	ENSG00000176444
CLK2	HsaINT1007857	chr1:155263401-155263949	549	chr1:155263950-155264040=155262868-155263400:-	IR	AS_NC	chr1	155263401	155263949	-	155264040	155262868	ENSG00000176444
C1orf123	HsaINT1005736	chr1:53218924-53220260	1337	chr1:53220261-53220344=53218867-53218923:-	IR	AS_NC	chr1	53218924	53220260	-	53220344	53218867	ENSG00000162384
UBAP2L	HsaINT1045834	chr1:154268955-154270199	1245	chr1:154268757-154268954=154270200-154270853:+	IR	AS_NC	chr1	154268955	154270199	+	154268757	154270853	ENSG00000143569
ZBTB48	HsaINT0184669	chr1:6581300-6582057	758	chr1:6580541-6581299=6582058-6582299:+	IR	AS_NC	chr1	6581300	6582057	+	6580541	6582299	ENSG00000204859
ZBTB48	HsaINT0184670	chr1:6582300-6585918	3619	chr1:6582058-6582299=6585919-6586030:+	IR	AS_NC	chr1	6582300	6585918	+	6582058	6586030	ENSG00000204859
DCAF8	HsaINT1010660	chr1:160261359-160262116	758	chr1:160262117-160262451=160261285-160261358:-	IR	AS_NC	chr1	160261359	160262116	-	160262451	160261285	ENSG00000132716
ZBTB17	HsaINT0184552	chr1:15943195-15943398	204	chr1:15943399-15943519=15943064-15943194:-	IR	AS_NC	chr1	15943195	15943398	-	15943519	15943064	ENSG00000116809
MIB2	HsaINT0102800	chr1:1628723-1629132	410	chr1:1628489-1628722=1629133-1629311:+	IR	AS_NC	chr1	1628723	1629132	+	1628489	1629311	ENSG00000197530
KLHL17	HsaINT0088650	chr1:964009-964106	98	chr1:963920-964008=964107-964180:+	IR	AS_NC	chr1	964009	964106	+	963920	964180	ENSG00000187961
C1orf35	HsaINT0022463	chr1:228102383-228102477	95	chr1:228102478-228102560=228102310-228102382:-	IR	AS_NC	chr1	228102383	228102477	-	228102560	228102310	ENSG00000143793
C1orf35	HsaINT0022464	chr1:228102166-228102309	144	chr1:228102310-228102382=228102080-228102165:-	IR	AS_NC	chr1	228102166	228102309	-	228102382	228102080	ENSG00000143793
FDPS	HsaINT1013511	chr1:155309077-155309788	712	chr1:155308916-155309076=155309789-155309965:+	IR	AS_NC	chr1	155309077	155309788	+	155308916	155309965	ENSG00000160752
SELENBP1	HsaINT0147138	chr1:151369190-151369441	252	chr1:151369442-151369554=151369004-151369189:-	IR	AS_NC	chr1	151369190	151369441	-	151369554	151369004	ENSG00000143416
E2F2	HsaINT0053521	chr1:23519131-23520912	1782	chr1:23520913-23521071=23519016-23519130:-	IR	AS_NC	chr1	23519131	23520912	-	23521071	23519016	ENSG00000007968
C1orf159	HsaINT0022233	chr1:1091566-1091990	425	chr1:1091991-1092103=1091472-1091565:-	IR	AS_NC	chr1	1091566	1091990	-	1092103	1091472	ENSG00000131591
ATXN7L2	HsaINT0015855	chr1:109491718-109492585	868	chr1:109490922-109491717=109492586-109492734:+	IR	AS_NC	chr1	109491718	109492585	+	109490922	109492734	ENSG00000162650
HYI	HsaINT1016115	chr1:43451312-43451409	98	chr1:43451410-43451544=43451158-43451311:-	IR	AS_NC	chr1	43451312	43451409	-	43451544	43451158	ENSG00000178922
ACAP3	HsaINT0002290	chr1:1300203-1300508	306	chr1:1300509-1300692=1300158-1300202:-	IR	AS_NC	chr1	1300203	1300508	-	1300692	1300158	ENSG00000131584
NCSTN	HsaINT0111666	chr1:160356755-160357040	286	chr1:160356600-160356754=160357041-160357253:+	IR	AS_NC	chr1	160356755	160357040	+	160356600	160357253	ENSG00000162736
TPM3	HsaINT1044974	chr1:154170712-154171412	701	chr1:154171413-154171488=154170649-154170711:-	IR	AS_NC	chr1	154170712	154171412	-	154171488	154170649	ENSG00000143549
OBSCN	HsaINT1025559	chr1:228356194-228359596	3403	chr1:228356151-228356193=228359597-228361250:+	IR	AS_NC	chr1	228356194	228359596	+	228356151	228361250	ENSG00000154358
ARHGEF11	HsaINT0011849	chr1:156938514-156939547	1034	chr1:156939548-156939910=156938418-156938513:-	IR	AS_NC	chr1	156938514	156939547	-	156939910	156938418	ENSG00000132694
AP4B1	HsaINT0010222	chr1:113902863-113904604	1742	chr1:113904605-113904793=113902638-113902862:-	IR	AS_NC	chr1	113902863	113904604	-	113904793	113902638	ENSG00000134262
IPO13	HsaINT0081500	chr1:43956977-43957194	218	chr1:43956810-43956976=43957195-43957315:+	IR	AS_NC	chr1	43956977	43957194	+	43956810	43957315	ENSG00000117408
PLK3	HsaINT0127645	chr1:44804502-44804649	148	chr1:44804339-44804501=44804650-44804779:+	IR	AS_NC	chr1	44804502	44804649	+	44804339	44804779	ENSG00000173846
PPOX	HsaINT0130510	chr1:161167235-161167370	136	chr1:161167100-161167234=161167371-161167486:+	IR	AS_NC	chr1	161167235	161167370	+	161167100	161167486	ENSG00000143224
SAMD11	HsaINT0144755	chr1:942252-942409	158	chr1:942136-942251=942410-942488:+	IR	AS_NC	chr1	942252	942409	+	942136	942488	ENSG00000187634
SAMD11	HsaINT0144744	chr1:942489-942558	70	chr1:942410-942488=942559-943058:+	IR	AS_NC	chr1	942489	942558	+	942410	943058	ENSG00000187634
SAMD11	HsaINT0144745	chr1:943059-943252	194	chr1:942559-943058=943253-943377:+	IR	AS_NC	chr1	943059	943252	+	942559	943377	ENSG00000187634
RRNAD1	HsaINT1040656	chr1:156734494-156735724	1231	chr1:156734009-156734493=156735725-156735909:+	IR	AS_NC	chr1	156734494	156735724	+	156734009	156735909	ENSG00000143303
RRNAD1	HsaINT0022558	chr1:156735910-156736631	722	chr1:156735725-156735909=156736632-156736949:+	IR	AS_NC	chr1	156735910	156736631	+	156735725	156736949	ENSG00000143303
