EXPERIMENT	TYPE	EVENT	DIRECTION	GENE	COORD	LENGTH	FullCO	COMPLEX	Sample	PSI	Quality_Score_Value	Quality_Score_Type
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_FRT	60	VLOW	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_FRT_A	33.33	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_FRT_B	60	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_FRT_C	100	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_NLSTAF2dIDR	82.35	VLOW	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_NLSTAF2dIDR_A	71.43	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_NLSTAF2dIDR_B	66.67	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_NLSTAF2dIDR_C	100	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_TAF2	100	LOW	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_TAF2_A	100	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_TAF2_B	100	N	S1
TAF2	Exon	HsaEX0043424	UP	NOTUM	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	HeLa_TAF2_C	100	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_FRT	56.57	VLOW	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_FRT_A	32.89	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_FRT_B	60	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_FRT_C	66.67	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_NLSTAF2dIDR	78.72	LOW	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_NLSTAF2dIDR_A	80	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_NLSTAF2dIDR_B	73.33	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_NLSTAF2dIDR_C	83.33	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_TAF2	93.55	LOW	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_TAF2_A	100	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_TAF2_B	83.33	N	S1
TAF2	Exon	HsaEX0040571	UP	MTMR11	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	HeLa_TAF2_C	100	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_FRT	64.13	LOW	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_FRT_A	71.55	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_FRT_B	50	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_FRT_C	66.83	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_NLSTAF2dIDR	82.2	OK	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_NLSTAF2dIDR_A	81.29	LOW	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_NLSTAF2dIDR_B	87.55	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_NLSTAF2dIDR_C	75.19	N	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_TAF2	100	VLOW	S1
TAF2	Exon	HsaEX0049952	UP	PRDM5	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	HeLa_TAF2_A	100	N	S1
