GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
HOXA11-AS	HsaINT0077276	chr7:27186264-27188600	2337	chr7:27186109-27186263=27188601-27189167:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	27186264	27188600	+	27186109	27189167	NA
TMEM43	HsaINT0169120	chr3:14133810-14134769	960	chr3:14133739-14133809=14134770-14134891:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	14133810	14134769	+	14133739	14134891	ENSG00000170876
CACNB3	HsaINT0026583	chr12:48824969-48825162	194	chr12:48824949-48824968=48825163-48825243:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	48824969	48825162	+	48824949	48825243	ENSG00000167535
ZNF780B	HsaINT0188380	chr19:40036627-40047405	10779	chr19:40047406-40047470=40033579-40036626:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	40036627	40047405	-	40047470	40033579	ENSG00000128000
TMOD4	HsaINT0169603	chr1:151174548-151174752	205	chr1:151174753-151174917=151174391-151174547:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	151174548	151174752	-	151174917	151174391	ENSG00000163157
TTC3	HsaINT1045539	chr21:37198026-37200231	2206	chr21:37197882-37198025=37200232-37200324:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr21	37198026	37200231	+	37197882	37200324	ENSG00000182670
PKDCC	HsaINT0125918	chr2:42053362-42054035	674	chr2:42053239-42053361=42054036-42054307:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr2	42053362	42054035	+	42053239	42054307	ENSG00000162878
BCAR1	HsaINT0017032	chr16:75237345-75242469	5125	chr16:75242470-75243090=75237183-75237344:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr16	75237345	75242469	-	75243090	75237183	ENSG00000050820
LRP5	HsaINT0096523	chr11:68439917-68446435	6519	chr11:68439777-68439916=68446436-68446533:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	68439917	68446435	+	68439777	68446533	ENSG00000162337
ARFRP1	HsaINT0011200	chr20:63700531-63700601	71	chr20:63700602-63700702=63699456-63700530:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr20	63700531	63700601	-	63700702	63699456	ENSG00000101246
FAM200B	HsaINT1013129	chr4:15687149-15688550	1402	chr4:15686236-15687148=15688551-15690447:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr4	15687149	15688550	+	15686236	15690447	ENSG00000237765
PDK4	HsaINT0122545	chr7:95587529-95587726	198	chr7:95587727-95587825=95587418-95587528:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr7	95587529	95587726	-	95587825	95587418	ENSG00000004799
NAGLU	HsaINT0109798	chr17:42538756-42540949	2194	chr17:42538670-42538755=42540950-42541206:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	42538756	42540949	+	42538670	42541206	NA
GNAI2	HsaINT0070021	chr3:50257715-50258367	653	chr3:50257500-50257714=50258368-50259355:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr3	50257715	50258367	+	50257500	50259355	ENSG00000114353
KRT10	HsaINT0089342	chr17:40820424-40820510	87	chr17:40820511-40820667=40820262-40820423:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr17	40820424	40820510	-	40820667	40820262	ENSG00000186395
WHRN	HsaINT0047098	chr9:114404078-114406354	2277	chr9:114406355-114406892=114403896-114404077:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr9	114404078	114406354	-	114406892	114403896	ENSG00000095397
SYMPK	HsaINT0162481	chr19:45818147-45821383	3237	chr19:45821384-45821485=45817959-45818146:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr19	45818147	45821383	-	45821485	45817959	ENSG00000125755
MOV10	HsaINT0104490	chr1:112694897-112695415	519	chr1:112694749-112694896=112695416-112695574:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr1	112694897	112695415	+	112694749	112695574	ENSG00000155363
MSH5	HsaINT1048166	chr6:31759178-31759424	247	chr6:31759097-31759177=31759425-31759512:+	IR	UP_INTRONS_HeLa_SRRM2-KD	chr6	31759178	31759424	+	31759097	31759512	NA
TRAF6	HsaINT0171767	chr11:36490651-36492550	1900	chr11:36492551-36492628=36487027-36490650:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr11	36490651	36492550	-	36492628	36487027	ENSG00000175104
DDX51	HsaINT0046364	chr12:132141607-132141849	243	chr12:132141850-132141956=132141498-132141606:-	IR	UP_INTRONS_HeLa_SRRM2-KD	chr12	132141607	132141849	-	132141956	132141498	ENSG00000185163
