EXPERIMENT	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	AS_TYPE	Sample	PSI	dPSI_SRRM2_HeLa	Quality_Score_Value	DIRECTION
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_CNTRL	0	64.15	VLOW	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_CNTRL_A	0	64.15	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_CNTRL_B	0	64.15	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_CNTRL_C	0	64.15	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_SRRM2	64.15	64.15	VLOW	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_SRRM2_A	0	64.15	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_SRRM2_B	0	64.15	N	BOTH
HeLa-SRRM2-KD	ATG2B	HsaALTA1004616-3/4	chr14:96305589-96305812	144	chr14:96306714,96305589-96305668+96305809+96305812+96305815	Alt3	Alt. Acceptor	HeLa_SRRM2_C	79.07	64.15	N	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_CNTRL	40.74	59.26	OK	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_CNTRL_A	100	59.26	VLOW	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_CNTRL_B	25	59.26	VLOW	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_CNTRL_C	44.83	59.26	N	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_SRRM2	100	59.26	OK	BOTH
HeLa-SRRM2-KD	CSPP1	HsaALTA1012545-2/3	chr8:67179863-67179926	5	chr8:67177726,67179868+67179863+67179840-67179926	Alt3	Alt. Acceptor	HeLa_SRRM2_A	100	59.26	N	BOTH
