GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
FAM136A	HsaEX1013836	chr2:70301552-70301603	52	chr2:70301604+70301670+70301925,70301408+70301437+70301522+70301552-70301603,70300980	S	94.06	OK,OK,69=27=3,B1,S@93.12,5.88	93.55	VLOW,VLOW,24=5=1,B1,S@28.07,1.94	93.37	LOW,LOW,18=11=1,OK,S@28.01,1.99	95.00	LOW,LOW,27=11=1,B1,S@37.05,1.95	80.72	N,N,13=4=2,B1,S@15.34,3.66	77.78	N,N,3=4=1,OK,S@6.22,1.78	100.00	N,N,5=0=0,Bn,S@5.00,0.00	70.82	N,N,5=0=1,Bn,S@4.25,1.75	81.86	LOW,LOW,60=13=8,B1,S@66.31,14.69	79.15	N,N,21=2=3,B2,S@20.58,5.42	88.89	N,N,12=4=1,B1,S@15.11,1.89	80.72	VLOW,VLOW,27=7=4,B1,S@30.67,7.33	62.85	SOK,SOK,57=67=36,OK,S@100.56,59.44	58.14	LOW,LOW,18=19=13,OK,S@29.07,20.93	56.12	LOW,LOW,11=20=12,OK,S@24.13,18.87	71.41	OK,OK,28=28=11,OK,S@47.84,19.16	82.02	SOK,SOK,45=57=11,OK,S@92.68,20.32	76.20	N,N,8=5=2,OK,S@11.43,3.57	84.23	VLOW,VLOW,8=14=2,OK,S@20.22,3.78	100.00	VLOW,VLOW,5=11=0,B1,S@16.00,0.00	79.76	VLOW,VLOW,10=6=2,OK,S@14.36,3.64	71.23	N,N,8=7=3,OK,S@12.82,5.18	83.13	VLOW,VLOW,6=14=2,B1,S@18.29,3.71	69.75	SOK,SOK,65=67=28,OK,S@111.60,48.40	66.09	LOW,LOW,15=17=8,OK,S@26.44,13.56	60.78	LOW,LOW,14=24=12,OK,S@30.39,19.61	79.18	OK,OK,36=26=8,OK,S@55.43,14.57	85.68	SOK,SOK,99=132=19,OK,S@214.20,35.80	84.22	OK,OK,27=38=6,OK,S@59.80,11.20	80.95	OK,OK,20=40=7,OK,S@54.24,12.76	83.95	LOW,LOW,18=14=3,OK,S@29.38,5.62	86.76	VLOW,VLOW,9=18=2,OK,S@25.16,3.84	91.78	VLOW,VLOW,16=7=1,B1,S@22.03,1.97	100.00	VLOW,VLOW,9=15=0,OK,S@24.00,0.00	26.05
KLHL42	HsaEX0034749	chr12:27797251-27797342	92	chr12:27791853+27791859+27791901,27797247+27797251-27797342+27797345+27797349,27797715	S	3.45	OK,OK,1=1=28,OK,S@1.04,28.96	0.00	VLOW,VLOW,0=0=10,Bn,S@0.00,10.00	4.76	VLOW,VLOW,0=1=10,Bn,S@0.52,10.48	5.88	N,N,1=0=8,Bn,S@0.53,8.47	4.92	OK,OK,2=1=29,OK,S@1.57,30.43	3.70	VLOW,VLOW,1=0=13,Bn,S@0.52,13.48	4.76	VLOW,VLOW,1=0=10,Bn,S@0.52,10.48	7.69	N,N,0=1=6,Bn,S@0.54,6.46	5.26	OK,OK,2=2=36,OK,S@2.10,37.90	7.69	N,N,0=1=6,Bn,S@0.54,6.46	6.67	VLOW,VLOW,1=1=14,OK,S@1.07,14.93	3.03	LOW,LOW,1=0=16,Bn,S@0.52,16.48	16.67	SOK,SOK,53=47=250,OK,S@58.35,291.65	9.96	SOK,SOK,15=10=113,OK,S@13.74,124.26	25.39	SOK,SOK,23=26=72,OK,S@30.72,90.28	16.67	OK,OK,15=11=65,OK,S@15.17,75.83	31.54	SOK,SOK,59=35=102,OK,S@61.82,134.18	34.48	LOW,LOW,13=7=19,OK,S@13.45,25.55	36.84	VLOW,VLOW,10=4=12,B1,S@9.58,16.42	33.33	LOW,LOW,10=5=15,OK,S@10.00,20.00	27.27	VLOW,VLOW,6=3=12,OK,S@5.73,15.27	30.30	OK,OK,11=9=23,OK,S@13.03,29.97	27.59	OK,OK,9=7=21,OK,S@10.21,26.79	19.38	SOK,SOK,43=32=156,OK,S@44.77,186.23	16.95	OK,OK,13=7=49,OK,S@11.70,57.30	18.06	OK,OK,14=12=59,OK,S@15.35,69.65	23.20	OK,OK,16=13=48,OK,S@17.86,59.14	38.74	SOK,SOK,72=57=102,OK,S@89.49,141.51	43.28	LOW,LOW,17=12=19,OK,S@20.77,27.23	39.39	OK,OK,15=11=20,OK,S@18.12,27.88	36.84	VLOW,VLOW,10=4=12,B1,S@9.58,16.42	44.83	LOW,LOW,15=11=16,OK,S@18.83,23.17	30.61	LOW,LOW,4=11=17,B1,S@9.80,22.20	34.55	LOW,LOW,11=8=18,OK,S@12.78,24.22	20.91
ADGRG6	HsaEX0028282	chr6:142440908-142440953	46	chr6:142438364,142440908-142440953,142443337+142443341	S	97.21	SOK,SOK,59=82=2,OK,S@139.01,3.99	95.49	OK,OK,21=22=1,OK,S@42.02,1.98	100.00	OK,OK,17=30=0,OK,S@47.00,0.00	96.18	OK,OK,21=30=1,OK,S@50.01,1.99	100.00	SOK,SOK,52=67=0,OK,S@119.00,0.00	100.00	LOW,LOW,14=23=0,OK,S@37.00,0.00	100.00	OK,OK,20=23=0,OK,S@43.00,0.00	100.00	OK,OK,18=21=0,OK,S@39.00,0.00	95.66	SOK,SOK,60=74=3,OK,S@131.05,5.95	95.79	OK,OK,16=30=1,OK,S@45.02,1.98	94.37	LOW,LOW,16=18=1,OK,S@33.03,1.97	96.37	OK,OK,28=26=1,OK,S@53.00,2.00	39.47	SOK,SOK,1201=1273=1871,OK,S@1714.97,2630.03	37.91	SOK,SOK,385=371=610,OK,S@517.85,848.15	40.83	SOK,SOK,501=562=760,OK,S@744.33,1078.67	39.20	SOK,SOK,315=340=501,OK,S@453.15,702.85	41.92	SOK,SOK,311=349=451,OK,S@465.73,645.27	43.86	OK,SOK,22=38=38,OK,S@42.98,55.02	45.74	SOK,SOK,39=38=45,OK,S@55.80,66.20	42.86	SOK,SOK,34=30=42,OK,S@45.43,60.57	42.85	OK,OK,18=23=27,OK,S@29.14,38.86	39.14	SOK,SOK,88=110=152,OK,S@136.99,213.01	42.45	SOK,SOK,110=110=147,OK,S@155.79,211.21	33.89	SOK,SOK,698=773=1415,OK,S@978.07,1907.93	33.52	SOK,SOK,258=292=538,OK,S@364.70,723.30	32.44	SOK,SOK,243=273=530,OK,S@339.32,706.68	36.53	SOK,SOK,197=208=347,OK,S@274.71,477.29	65.13	SOK,SOK,575=603=311,OK,S@969.79,519.21	67.39	SOK,SOK,141=173=75,OK,S@262.15,126.85	63.29	SOK,SOK,150=137=82,OK,S@233.54,135.46	61.50	OK,OK,24=31=17,OK,S@44.28,27.72	63.45	OK,OK,38=36=21,OK,S@60.28,34.72	64.43	SOK,SOK,100=113=58,OK,S@174.61,96.39	66.62	SOK,SOK,122=113=58,OK,S@195.20,97.80	25.14
MACF1	HsaEX0037169	chr1:39465095-39465112	18	chr1:39463686,39465095-39465112,39468615	S	80.56	SOK,SOK,99=86=71,OK,S@206.23,49.77	84.96	OK,SOK,43=28=20,OK,S@77.31,13.69	76.09	OK,SOK,18=26=22,OK,S@50.22,15.78	79.34	OK,SOK,38=32=29,OK,S@78.55,20.45	86.42	SOK,SOK,110=90=50,OK,S@216.05,33.95	89.93	OK,SOK,37=36=13,OK,S@77.34,8.66	85.14	OK,SOK,40=32=20,OK,S@78.33,13.67	83.73	OK,SOK,33=22=17,OK,S@60.29,11.71	83.36	SOK,SOK,72=76=47,OK,S@162.55,32.45	84.23	OK,SOK,20=27=14,OK,S@51.38,9.62	84.46	OK,SOK,20=21=12,OK,S@44.76,8.24	81.97	OK,SOK,32=28=21,OK,S@66.40,14.60	26.27	SOK,SOK,86=56=634,OK,S@203.86,572.14	30.40	SOK,SOK,29=24=193,OK,S@74.78,171.22	27.16	SOK,SOK,39=21=256,OK,S@85.83,230.17	19.96	SOK,SOK,18=11=185,OK,S@42.71,171.29	41.12	SOK,SOK,94=104=451,OK,S@266.87,382.13	53.01	OK,SOK,15=24=55,OK,S@49.83,44.17	48.70	OK,SOK,18=19=62,OK,S@48.21,50.79	43.94	SOK,SOK,18=16=69,OK,S@45.26,57.74	43.85	OK,SOK,12=15=55,OK,S@35.96,46.04	30.41	SOK,SOK,13=12=91,OK,S@35.28,80.72	32.49	SOK,SOK,18=18=119,OK,S@50.36,104.64	19.65	SOK,SOK,36=45=527,OK,S@119.47,488.53	20.85	SOK,SOK,11=15=157,OK,S@38.16,144.84	20.81	SOK,SOK,22=16=230,OK,S@55.77,212.23	16.19	SOK,SOK,3=14=140,B1,S@25.42,131.58	56.69	SOK,SOK,158=190=423,OK,S@437.08,333.92	55.56	SOK,SOK,26=29=70,OK,S@69.45,55.55	71.01	SOK,SOK,46=51=63,OK,S@113.62,46.38	54.92	SOK,SOK,26=23=64,OK,S@62.06,50.94	54.40	OK,SOK,17=25=56,OK,S@53.31,44.69	49.30	SOK,SOK,19=36=90,OK,S@71.48,73.52	49.86	SOK,SOK,24=26=80,OK,S@64.82,65.18	30.00
FLNB	HsaEX0025930	chr3:58141858-58141896	39	chr3:58138529,58141858-58141896+58141929,58142650	S	89.51	SOK,SOK,12=382=31,B1,S@380.42,44.58	87.56	VLOW,SOK,3=145=13,B1,S@140.97,20.03	91.43	VLOW,SOK,7=108=9,OK,S@113.37,10.63	89.56	N,SOK,2=129=9,B2,S@125.38,14.62	84.65	SOK,SOK,19=404=57,OK,S@406.32,73.68	86.62	LOW,SOK,6=136=16,OK,S@136.86,21.14	81.64	SOK,SOK,4=139=21,B1,S@133.89,30.11	85.45	SOK,SOK,9=129=20,OK,S@135.01,22.99	85.08	SOK,SOK,12=331=42,B1,S@327.56,57.44	84.51	VLOW,SOK,2=115=13,B2,S@109.86,20.14	90.22	N,SOK,4=99=8,B1,S@100.14,10.86	81.87	SOK,SOK,6=117=21,OK,S@117.89,26.11	62.68	SOK,SOK,162=1365=973,OK,S@1567.00,933.00	53.04	SOK,SOK,40=397=384,OK,S@435.46,385.54	64.94	SOK,SOK,63=603=363,OK,S@668.23,360.77	70.05	SOK,SOK,59=365=226,OK,S@455.32,194.67	53.40	SOK,SOK,76=688=690,OK,S@776.44,677.56	37.77	SOK,SOK,6=82=126,OK,S@80.83,133.17	46.95	SOK,SOK,13=90=137,OK,S@112.68,127.32	53.22	SOK,SOK,12=107=109,OK,S@121.34,106.66	50.14	SOK,SOK,11=102=115,OK,S@114.32,113.68	64.75	SOK,SOK,19=170=107,OK,S@191.66,104.34	62.00	SOK,SOK,15=137=96,OK,S@153.76,94.24	45.36	SOK,SOK,61=715=863,OK,S@743.45,895.55	37.91	SOK,SOK,18=224=357,OK,S@227.08,371.92	42.76	SOK,SOK,17=299=335,OK,S@278.37,372.63	59.21	SOK,SOK,26=192=171,OK,S@230.33,158.67	84.04	SOK,SOK,142=1126=265,OK,S@1288.33,244.67	86.36	SOK,SOK,34=247=51,OK,S@286.72,45.28	88.17	SOK,SOK,27=235=37,OK,S@263.63,35.37	84.63	SOK,SOK,13=134=26,OK,S@146.41,26.59	84.44	SOK,SOK,22=133=36,OK,S@161.28,29.72	80.57	SOK,SOK,25=196=59,OK,S@225.60,54.40	79.26	SOK,SOK,21=181=56,OK,S@204.49,53.51	21.22
LGR5	HsaEX0035704	chr12:71561781-71561852	72	chr12:71559654,71561781-71561852,71566404	S	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	71.03	SOK,SOK,1172=1143=472,OK,S@1979.61,807.39	65.53	SOK,SOK,342=331=177,OK,S@557.00,293.00	73.07	SOK,SOK,507=513=188,OK,S@882.69,325.31	74.40	SOK,SOK,323=299=107,OK,S@542.38,186.62	81.24	SOK,SOK,286=225=59,OK,S@463.07,106.93	81.82	OK,OK,21=15=4,OK,S@32.73,7.27	83.67	OK,OK,25=16=4,OK,S@37.65,7.35	80.65	VLOW,VLOW,8=17=3,B1,S@22.58,5.42	85.37	OK,OK,20=15=3,OK,S@32.44,5.56	80.08	SOK,SOK,114=87=25,OK,S@180.98,45.02	81.22	SOK,SOK,98=75=20,OK,S@156.75,36.25	72.13	SOK,SOK,898=857=339,OK,S@1510.40,583.60	69.55	SOK,SOK,341=335=148,OK,S@573.09,250.91	74.55	SOK,SOK,323=304=107,OK,S@547.20,186.80	72.90	SOK,SOK,234=218=84,OK,S@390.74,145.26	88.62	SOK,SOK,389=343=47,OK,S@690.35,88.65	91.41	SOK,SOK,77=72=7,OK,S@142.60,13.40	83.87	SOK,SOK,91=65=15,OK,S@143.42,27.58	94.03	OK,OK,34=29=2,OK,S@61.12,3.88	84.91	OK,OK,27=18=4,OK,S@41.61,7.39	89.83	SOK,SOK,85=74=9,OK,S@150.91,17.09	88.89	SOK,SOK,75=85=10,OK,S@151.11,18.89	17.82
MIGA2	HsaEX0024630	chr9:129068838-129068899	62	chr9:129068332,129068628+129068805+129068838-129068899+129068975,129069076	S	50.68	OK,OK,22=15=18,OK,S@27.87,27.13	38.46	N,N,6=4=8,OK,S@6.92,11.08	58.33	N,N,8=6=5,OK,S@11.08,7.92	56.52	N,N,8=5=5,OK,S@10.17,7.83	36.00	N,N,4=5=8,OK,S@6.12,10.88	23.08	N,N,0=3=5,Bn,S@1.85,6.15	100.00	N,N,2=0=0,Bn,S@2.00,0.00	40.00	N,N,2=2=3,OK,S@2.80,4.20	51.72	LOW,LOW,13=17=14,OK,S@22.76,21.24	100.00	N,N,2=3=0,OK,S@5.00,0.00	55.56	N,N,5=5=4,OK,S@7.78,6.22	42.86	VLOW,VLOW,6=9=10,OK,S@10.71,14.29	25.00	SOK,SOK,11=135=219,B2,S@91.25,273.75	30.20	OK,OK,5=40=52,B2,S@29.29,67.71	16.98	SOK,SOK,5=40=110,B2,S@26.32,128.68	32.94	SOK,SOK,1=55=57,B2,S@37.22,75.78	21.89	SOK,SOK,17=85=182,B1,S@62.17,221.83	27.78	OK,OK,2=18=26,B2,S@12.78,33.22	26.32	OK,OK,4=16=28,B1,S@12.63,35.37	11.86	OK,OK,0=7=26,Bn,S@3.91,29.09	16.36	OK,OK,1=8=23,B2,S@5.24,26.76	25.00	OK,OK,3=19=33,B2,S@13.75,41.25	20.69	OK,OK,7=17=46,B1,S@14.48,55.52	16.54	SOK,SOK,8=103=280,B2,S@64.67,326.33	14.41	SOK,SOK,1=32=98,B2,S@18.88,112.12	19.47	SOK,SOK,5=39=91,B2,S@26.28,108.72	15.74	SOK,SOK,2=32=91,B2,S@19.68,105.33	8.43	SOK,SOK,8=75=451,B2,S@45.02,488.98	10.68	SOK,SOK,1=21=92,B2,S@12.18,101.82	9.09	SOK,SOK,3=22=125,B2,S@13.63,136.37	5.26	OK,OK,0=6=54,Bn,S@3.16,56.84	7.14	OK,OK,2=8=65,B1,S@5.35,69.64	6.25	OK,OK,1=7=60,B2,S@4.25,63.75	9.84	OK,OK,1=11=55,B2,S@6.59,60.41	-18.67
SLC43A1	HsaEX0059684	chr11:57515100-57515201	102	chr11:57515444,57514781+57515100-57515201,57514124	S	35.71	N,N,1=9=9,B2,S@6.78,12.22	27.27	N,N,0=3=4,Bn,S@1.91,5.09	42.86	N,N,0=3=2,Bn,S@2.14,2.86	40.00	N,N,1=3=3,B1,S@2.80,4.20	55.56	N,N,0=5=2,Bn,S@3.89,3.11	100.00	N,N,0=4=0,Bn,S@4.00,0.00	0.00	N,N,0=0=1,Bn,S@0.00,1.00	33.33	N,N,0=1=1,Bn,S@0.67,1.33	61.90	N,N,3=10=4,B1,S@10.52,6.48	63.64	N,N,1=6=2,B2,S@5.73,3.27	42.86	N,N,1=2=2,OK,S@2.14,2.86	100.00	N,N,1=2=0,OK,S@3.00,0.00	38.70	SOK,SOK,89=935=811,B2,S@710.14,1124.86	29.85	SOK,SOK,37=214=295,B2,S@162.98,383.02	40.00	SOK,SOK,21=367=291,B2,S@271.60,407.40	46.11	SOK,SOK,31=354=225,B2,S@281.27,328.73	54.54	SOK,SOK,27=616=268,B2,S@496.86,414.14	52.15	SOK,SOK,5=80=39,B2,S@64.67,59.33	58.66	SOK,SOK,3=102=37,B2,S@83.30,58.70	58.06	SOK,SOK,3=105=39,B2,S@85.35,61.65	51.58	SOK,SOK,3=95=46,B2,S@74.28,69.72	53.98	SOK,SOK,6=116=52,B2,S@93.93,80.07	53.19	SOK,SOK,7=118=55,B2,S@95.74,84.26	41.22	SOK,SOK,95=884=698,B2,S@691.26,985.74	38.24	SOK,SOK,45=334=306,B2,S@261.94,423.06	43.04	SOK,SOK,26=314=225,B2,S@243.18,321.82	43.77	SOK,SOK,24=236=167,B2,S@186.90,240.10	60.05	SOK,SOK,37=928=321,B2,S@772.24,513.76	61.02	SOK,SOK,6=185=61,B2,S@153.77,98.23	60.35	SOK,SOK,5=202=68,B2,S@165.96,109.04	58.10	SOK,SOK,5=117=44,B2,S@96.45,69.55	63.01	SOK,SOK,5=104=32,B2,S@88.84,52.16	60.14	SOK,SOK,10=165=58,B2,S@140.13,92.87	58.12	SOK,SOK,6=155=58,B2,S@127.28,91.72	21.47
ABCA5	HsaEX0000273	chr17:69248262-69248317	56	chr17:69249819+69249905,69248262-69248317,69247644	S	90.67	SOK,SOK,106=69=9,OK,S@166.83,17.17	91.89	OK,OK,39=29=3,OK,S@65.24,5.76	96.08	OK,OK,32=17=1,OK,S@48.04,1.96	85.29	OK,OK,35=23=5,OK,S@53.73,9.27	91.37	SOK,SOK,70=57=6,OK,S@121.52,11.48	100.00	OK,OK,33=20=0,OK,S@53.00,0.00	79.17	LOW,LOW,19=19=5,OK,S@34.04,8.96	94.74	LOW,LOW,18=18=1,OK,S@35.05,1.95	91.03	SOK,SOK,120=83=10,OK,S@193.89,19.11	88.41	OK,OK,35=26=4,OK,S@57.47,7.53	97.22	OK,OK,44=26=1,OK,S@69.03,1.97	87.80	OK,OK,41=31=5,OK,S@67.61,9.39	73.24	SOK,SOK,98=121=40,OK,S@189.69,69.31	70.87	OK,OK,35=38=15,OK,S@62.37,25.63	74.03	OK,OK,28=29=10,OK,S@49.60,17.40	74.79	SOK,SOK,35=54=15,OK,S@77.78,26.22	83.46	SOK,SOK,48=63=11,OK,S@101.82,20.18	94.29	LOW,LOW,14=19=1,OK,S@32.06,1.94	77.14	LOW,LOW,15=12=4,OK,S@23.91,7.09	66.67	N,N,4=8=3,OK,S@10.00,5.00	100.00	N,N,4=6=0,OK,S@10.00,0.00	88.89	N,N,7=9=1,OK,S@15.11,1.89	76.47	N,N,4=9=2,B1,S@11.47,3.53	84.86	SOK,SOK,102=167=24,OK,S@248.64,44.36	88.00	OK,OK,29=59=6,B1,S@82.72,11.28	92.08	OK,OK,35=58=4,OK,S@89.32,7.68	75.86	SOK,SOK,38=50=14,OK,S@77.38,24.62	93.08	SOK,SOK,109=133=9,OK,S@233.63,17.37	90.32	OK,OK,26=30=3,OK,S@53.29,5.71	90.36	OK,OK,34=41=4,OK,S@71.38,7.62	100.00	VLOW,VLOW,8=13=0,OK,S@21.00,0.00	100.00	VLOW,VLOW,12=7=0,OK,S@19.00,0.00	93.33	LOW,LOW,11=17=1,OK,S@27.07,1.93	95.56	OK,OK,18=25=1,OK,S@42.05,1.95	21.70
ABCA5	HsaEX0000274	chr17:69251776-69251866	91	chr17:69253573+69253604,69251664+69251747+69251764+69251776-69251866,69250621	S	87.26	SOK,SOK,72=65=10,OK,S@128.27,18.73	85.96	OK,OK,25=24=4,OK,S@45.56,7.44	88.46	OK,OK,29=17=3,OK,S@43.35,5.65	87.50	OK,OK,18=24=3,OK,S@39.38,5.62	97.83	OK,OK,52=38=1,OK,S@89.03,1.97	100.00	OK,OK,20=15=0,OK,S@35.00,0.00	94.29	LOW,LOW,19=14=1,OK,S@32.06,1.94	100.00	VLOW,VLOW,13=9=0,OK,S@22.00,0.00	93.10	SOK,SOK,45=63=4,OK,S@104.27,7.73	100.00	VLOW,VLOW,9=20=0,B1,S@29.00,0.00	87.50	OK,OK,25=17=3,OK,S@39.38,5.62	94.87	LOW,LOW,11=26=1,B1,S@36.05,1.95	81.63	SOK,SOK,135=105=27,OK,S@217.95,49.05	79.07	OK,OK,29=39=9,OK,S@60.88,16.12	76.62	OK,OK,32=27=9,OK,S@52.10,15.90	86.26	SOK,SOK,74=39=9,OK,S@105.24,16.76	92.37	SOK,SOK,44=77=5,OK,S@116.39,9.61	81.82	LOW,LOW,10=17=3,OK,S@24.55,5.45	93.55	LOW,LOW,10=19=1,OK,S@28.07,1.94	89.47	VLOW,VLOW,7=10=1,OK,S@16.10,1.90	100.00	N,N,6=9=0,OK,S@15.00,0.00	100.00	N,N,3=3=0,OK,S@6.00,0.00	100.00	VLOW,VLOW,8=19=0,B1,S@27.00,0.00	84.23	SOK,SOK,124=111=22,OK,S@216.47,40.53	91.55	OK,OK,33=32=3,OK,S@62.25,5.75	76.74	OK,OK,35=31=10,OK,S@58.32,17.68	85.25	SOK,SOK,56=48=9,OK,S@96.33,16.67	98.55	SOK,SOK,134=137=2,OK,S@269.04,3.96	100.00	OK,OK,47=40=0,OK,S@87.00,0.00	97.37	OK,OK,43=31=1,OK,S@73.03,1.97	100.00	VLOW,VLOW,9=13=0,OK,S@22.00,0.00	100.00	VLOW,VLOW,12=14=0,OK,S@26.00,0.00	94.59	LOW,LOW,12=23=1,OK,S@34.05,1.95	100.00	LOW,LOW,11=16=0,OK,S@27.00,0.00	18.01
