GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
ALAS1	HsaEX0003568	chr3:52198672-52198848	177	chr3:52198255+52198270,52198672-52198848,52199210+52199221	S	AS_NC	chr3	52198672	52198848	+	52198255	52199221	ENSG00000023330
RSF1	HsaEX1035749	chr11:77813346-77813701	356	chr11:77820528+77820794,77813213+77813346-77813701+77813708,77764689	S	AS_NC	chr11	77813346	77813701	-	77820794	77764689	ENSG00000048649
NDC1	HsaEX0065841	chr1:53835586-53835620	35	chr1:53838205,53835500+53835586-53835620,53832591	S	AS_NC	chr1	53835586	53835620	-	53838205	53832591	ENSG00000058804
ZNF76	HsaEX0074312	chr6:35293751-35293885	135	chr6:35293044,35293751-35293885+35293915+35293928,35294456	S	AS_NC	chr6	35293751	35293885	+	35293044	35294456	ENSG00000065029
SPEN	HsaEX0061344	chr1:15938826-15938876	51	chr1:15938006,15938702+15938718+15938826-15938876,15939296+15939465	S	AS_NC	chr1	15938826	15938876	+	15938006	15939465	ENSG00000065526
TTC38	HsaEX0067947	chr22:46292203-46292328	126	chr22:46289899,46292203-46292328,46292791	S	AS_NC	chr22	46292203	46292328	+	46289899	46292791	ENSG00000075234
ARHGEF1	HsaEX0005557	chr19:41906457-41906620	164	chr19:41906025,41906403+41906457-41906620,41906703	S	AS_NC	chr19	41906457	41906620	+	41906025	41906703	ENSG00000076928
TULP3	HsaEX0068385	chr12:2920763-2920922	160	chr12:2909580,2920763-2920922,2922262	S	AS_NC	chr12	2920763	2920922	+	2909580	2922262	ENSG00000078246
COL16A1	HsaEX0016343	chr1:31679804-31679851	48	chr1:31680042,31679804-31679851,31679685	S	AS_NC	chr1	31679804	31679851	-	31680042	31679685	ENSG00000084636
DOCK9	HsaEX0020670	chr13:98825872-98825937	66	chr13:98826830,98825872-98825937+98825940+98825963+98825975,98824504	S	AS_NC	chr13	98825872	98825937	-	98826830	98824504	ENSG00000088387
RBBP9	HsaEX0052550	chr20:18495838-18495880	43	chr20:18497069,18495838-18495880,18494057+18494063	S	AS_NC	chr20	18495838	18495880	-	18497069	18494057	ENSG00000089050
GMIP	HsaEX0027789	chr19:19640296-19640360	65	chr19:19640446,19640296-19640360,19640192+19640230	S	AS_NC	chr19	19640296	19640360	-	19640446	19640192	ENSG00000089639
PABPC4	HsaEX0045162	chr1:39563836-39563922	87	chr1:39564423+39564471,39563836-39563922,39563741	S	AS_NC	chr1	39563836	39563922	-	39564471	39563741	ENSG00000090621
MYL9	HsaEX0040985	chr20:36548127-36548193	67	chr20:36545068,36548032+36548127-36548193,36549077	S	AS_NC	chr20	36548127	36548193	+	36545068	36549077	ENSG00000101335
MSLN	HsaEX0040324	chr16:765527-765617	91	chr16:765223+765303+765394,765527-765617,765691	S	AS_NC	chr16	765527	765617	+	765223	765691	ENSG00000102854
WFDC1	HsaEX0071465	chr16:84318278-84318355	78	chr16:84313153,84318272+84318278-84318355,84319431+84319434	S	AS_NC	chr16	84318278	84318355	+	84313153	84319434	ENSG00000103175
ERCC2	HsaEX0023005	chr19:45369070-45369147	78	chr19:45370133+45370536,45369070-45369147,45368992	S	AS_NC	chr19	45369070	45369147	-	45370536	45368992	ENSG00000104884
RNF8	HsaEX0054148	chr6:37359183-37359342	160	chr6:37354118+37354275,37359183-37359342,37360446	S	AS_NC	chr6	37359183	37359342	+	37354118	37360446	ENSG00000112130
ARRDC3	HsaEX0006056	chr5:91376621-91376768	148	chr5:91378694,91376621-91376768,91375613	S	AS_NC	chr5	91376621	91376768	-	91378694	91375613	ENSG00000113369
ABCC5	HsaEX0000484	chr3:183949753-183949881	129	chr3:183949972,183949753-183949881,183947420+183947510	S	AS_NC	chr3	183949753	183949881	-	183949972	183947420	ENSG00000114770
FN1	HsaEX0026102	chr2:215393078-215393203	126	chr2:215394528,215392931+215393078-215393203,215391814	S	AS_NC	chr2	215393078	215393203	-	215394528	215391814	ENSG00000115414
ZMIZ2	HsaEX0072864	chr7:44765967-44766056	90	chr7:44765579,44765967-44766056,44766132+44766164+44766222+44766288+44766291	S	AS_NC	chr7	44765967	44766056	+	44765579	44766291	ENSG00000122515
ACOT9	HsaEX0001974	chrX:23713135-23713208	74	chrX:23721881,23713135-23713208,23707944	S	AS_NC	chrX	23713135	23713208	-	23721881	23707944	ENSG00000123130
ABCC10	HsaEX0000411	chr6:43438337-43438390	54	chr6:43438013,43438271+43438337-43438390,43438624	S	AS_NC	chr6	43438337	43438390	+	43438013	43438624	ENSG00000124574
MCM8	HsaEX0038270	chr20:5963274-5963359	86	chr20:5958726,5963274-5963359,5967436	S	AS_NC	chr20	5963274	5963359	+	5958726	5967436	ENSG00000125885
HNRNPR	HsaEX0030306	chr1:23340852-23341017	166	chr1:23344211,23340852-23341017+23341020,23338608	S	AS_NC	chr1	23340852	23341017	-	23344211	23338608	ENSG00000125944
EIF2AK4	HsaEX0021924	chr15:40016502-40016672	171	chr15:40011346,40016502-40016672,40017108	S	AS_NC	chr15	40016502	40016672	+	40011346	40017108	ENSG00000128829
AAR2	HsaEX0010498	chr20:36236890-36236966	77	chr20:36236503+36236782,36236882+36236890-36236966+36237037,36239821	S	AS_NC	chr20	36236890	36236966	+	36236503	36239821	ENSG00000131043
C1orf159	HsaEX0010160	chr1:1083915-1084011	97	chr1:1084353,1083915-1084011+1084016+1084086,1082987	S	AS_NC	chr1	1083915	1084011	-	1084353	1082987	ENSG00000131591
ANKRD17	HsaEX0004350	chr4:73139531-73140283	753	chr4:73141741,73139531-73140283,73135262+73135265	S	AS_NC	chr4	73139531	73140283	-	73141741	73135262	ENSG00000132466
MMACHC	HsaEX0039622	chr1:45507467-45507550	84	chr1:45500413,45507305+45507332+45507356+45507387+45507467-45507550,45508212	S	AS_NC	chr1	45507467	45507550	+	45500413	45508212	ENSG00000132763
RSG1	HsaEX0010346	chr1:16232893-16233017	125	chr1:16233612,16232893-16233017,16232646	S	AS_NC	chr1	16232893	16233017	-	16233612	16232646	ENSG00000132881
TBC1D4	HsaEX0063892	chr13:75341125-75341235	111	chr13:75341496,75341125-75341235,75337040	S	AS_NC	chr13	75341125	75341235	-	75341496	75337040	ENSG00000136111
SAP130	HsaEX0056190	chr2:127977985-127978089	105	chr2:127986785,127977985-127978089,127955344	S	AS_NC	chr2	127977985	127978089	-	127986785	127955344	ENSG00000136715
STAMBPL1	HsaEX0062239	chr10:88916722-88916791	70	chr10:88914658,88916680+88916722-88916791+88916817,88921283	S	AS_NC	chr10	88916722	88916791	+	88914658	88921283	ENSG00000138134
UBL7	HsaEX0068891	chr15:74460668-74460778	111	chr15:74460889+74461032+74461037+74461108+74461158,74460668-74460778,74458896	S	AS_NC	chr15	74460668	74460778	-	74461158	74458896	ENSG00000138629
MYLK3	HsaEX6043534	chr16:46730593-46730698	106	chr16:46732208,46730593-46730698,46729687	S	AS_NC	chr16	46730593	46730698	-	46732208	46729687	ENSG00000140795
NLRC5	HsaEX0043116	chr16:57040668-57040718	51	chr16:57039849,57040549+57040650+57040668-57040718,57041485	S	AS_NC	chr16	57040668	57040718	+	57039849	57041485	ENSG00000140853
ARRB2	HsaEX0006047	chr17:4718261-4718345	85	chr17:4718023,4718261-4718345,4718584+4718612	S	AS_NC	chr17	4718261	4718345	+	4718023	4718612	ENSG00000141480
ZNF614	HsaEX0074046	chr19:52017576-52017697	122	chr19:52018008,52017576-52017697,52017359	S	AS_NC	chr19	52017576	52017697	-	52018008	52017359	ENSG00000142556
EPHA2	HsaEX0022744	chr1:16150896-16150963	68	chr1:16155848,16150896-16150963,16149047	S	AS_NC	chr1	16150896	16150963	-	16155848	16149047	ENSG00000142627
FIP1L1	HsaEX0025814	chr4:53414615-53414722	108	chr4:53399839,53414615-53414722,53425872	S	AS_NC	chr4	53414615	53414722	+	53399839	53425872	NA
DPH7	HsaEX0071397	chr9:137564893-137564958	66	chr9:137565085,137564893-137564958,137564606	S	AS_NC	chr9	137564893	137564958	-	137565085	137564606	ENSG00000148399
SIDT2	HsaEX0058270	chr11:117193853-117193963	111	chr11:117193258,117193853-117193963,117195802	S	AS_NC	chr11	117193853	117193963	+	117193258	117195802	ENSG00000149577
PPP4C	HsaEX0049760	chr16:30081259-30081310	52	chr16:30076475,30081200+30081259-30081310,30082484	S	AS_NC	chr16	30081259	30081310	+	30076475	30082484	ENSG00000149923
GXYLT1	HsaEX0029128	chr12:42129759-42129851	93	chr12:42144426,42129759-42129851,42119171	S	AS_NC	chr12	42129759	42129851	-	42144426	42119171	ENSG00000151233
VIPAS39	HsaEX0070362	chr14:77457318-77457361	44	chr14:77457495,77457095+77457318-77457361+77457365+77457413,77454102	S	AS_NC	chr14	77457318	77457361	-	77457495	77454102	ENSG00000151445
GUF1	HsaEX0029088	chr4:44680441-44680552	112	chr4:44678583+44678787,44680441-44680552,44680659+44680694	S	AS_NC	chr4	44680441	44680552	+	44678583	44680694	ENSG00000151806
GUF1	HsaEX0029089	chr4:44688007-44688146	140	chr4:44686713,44688007-44688146,44689286	S	AS_NC	chr4	44688007	44688146	+	44686713	44689286	ENSG00000151806
ANAPC1	HsaEX0004038	chr2:111833220-111833285	66	chr2:111834604,111833220-111833285+111833311,111831434	S	AS_NC	chr2	111833220	111833285	-	111834604	111831434	ENSG00000153107
SCOC	HsaEX0056614	chr4:140379572-140379652	81	chr4:140379192,140379569+140379572-140379652+140379656,140380962	S	AS_NC	chr4	140379572	140379652	+	140379192	140380962	ENSG00000153130
PPP2R5E	HsaEX0049734	chr14:63453689-63453885	197	chr14:63539529,63453689-63453885,63422094	S	AS_NC	chr14	63453689	63453885	-	63539529	63422094	ENSG00000154001
ANKRD9	HsaEX0004561	chr14:102508736-102508846	111	chr14:102509529,102508641+102508736-102508846+102508852+102508862,102508549	S	AS_NC	chr14	102508736	102508846	-	102509529	102508549	ENSG00000156381
ANKLE1	HsaEX0004231	chr19:17284152-17284266	115	chr19:17283884+17283962,17284089+17284152-17284266,17285431+17285441	S	AS_NC	chr19	17284152	17284266	+	17283884	17285441	ENSG00000160117
TONSL	HsaEX0042771	chr8:144440966-144441111	146	chr8:144442037,144440966-144441111,144440870+144440898+144440906	S	AS_NC	chr8	144440966	144441111	-	144442037	144440870	ENSG00000160949
MFSD12	HsaEX0009944	chr19:3546255-3546425	171	chr19:3547272,3546255-3546425,3546168	S	AS_NC	chr19	3546255	3546425	-	3547272	3546168	ENSG00000161091
WDR90	HsaEX0071417	chr16:666455-666598	144	chr16:666350,666422+666455-666598,666655+666673	S	AS_NC	chr16	666455	666598	+	666350	666673	ENSG00000161996
ASRGL1	HsaEX0006364	chr11:62356325-62356467	143	chr11:62338167,62356325-62356467,62356987	S	AS_NC	chr11	62356325	62356467	+	62338167	62356987	ENSG00000162174
