GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_CNTRL	HeLa_CNTRL-Q	HeLa_CNTRL_A	HeLa_CNTRL_A-Q	HeLa_CNTRL_B	HeLa_CNTRL_B-Q	HeLa_CNTRL_C	HeLa_CNTRL_C-Q	HeLa_SON	HeLa_SON-Q	HeLa_SON_A	HeLa_SON_A-Q	HeLa_SON_B	HeLa_SON_B-Q	HeLa_SON_C	HeLa_SON_C-Q	HeLa_SRRM2	HeLa_SRRM2-Q	HeLa_SRRM2_A	HeLa_SRRM2_A-Q	HeLa_SRRM2_B	HeLa_SRRM2_B-Q	HeLa_SRRM2_C	HeLa_SRRM2_C-Q	HepG2_CNTRL	HepG2_CNTRL-Q	HepG2_CNTRL_A	HepG2_CNTRL_A-Q	HepG2_CNTRL_B	HepG2_CNTRL_B-Q	HepG2_CNTRL_C	HepG2_CNTRL_C-Q	HepG2_MARS	HepG2_MARS-Q	HepG2_MARS_Aa	HepG2_MARS_Aa-Q	HepG2_MARS_Ab	HepG2_MARS_Ab-Q	HepG2_MARS_Ba	HepG2_MARS_Ba-Q	HepG2_MARS_Bb	HepG2_MARS_Bb-Q	HepG2_MARS_Ca	HepG2_MARS_Ca-Q	HepG2_MARS_Cb	HepG2_MARS_Cb-Q	HepG2_RARS	HepG2_RARS-Q	HepG2_RARS_A	HepG2_RARS_A-Q	HepG2_RARS_B	HepG2_RARS_B-Q	HepG2_RARS_C	HepG2_RARS_C-Q	HepG2_SRRM2	HepG2_SRRM2-Q	HepG2_SRRM2_Aa	HepG2_SRRM2_Aa-Q	HepG2_SRRM2_Ab	HepG2_SRRM2_Ab-Q	HepG2_SRRM2_Ba	HepG2_SRRM2_Ba-Q	HepG2_SRRM2_Bb	HepG2_SRRM2_Bb-Q	HepG2_SRRM2_Ca	HepG2_SRRM2_Ca-Q	HepG2_SRRM2_Cb	HepG2_SRRM2_Cb-Q	dPSI
SCYL3	HsaEX0056692	chr1:169855796-169855857	62	chr1:169859041,169855796-169855857+169855932+169855957,169854964	S	50.28	VLOW,VLOW,10=6=8,OK,S@12.07,11.93	66.75	N,N,5=3=2,OK,S@6.67,3.33	50.50	N,N,4=2=3,B1,S@4.54,4.46	25.28	N,N,1=1=3,OK,S@1.26,3.74	29.66	LOW,LOW,11=4=18,B1,S@9.79,23.21	24.03	N,N,5=0=8,Bn,S@3.12,9.88	45.75	N,N,3=2=3,OK,S@3.66,4.34	26.55	N,N,3=2=7,OK,S@3.19,8.81	27.90	VLOW,VLOW,6=4=13,OK,S@6.42,16.58	23.08	N,N,2=1=5,OK,S@1.85,6.15	27.27	N,N,0=3=4,Bn,S@1.91,5.09	33.67	N,N,4=0=4,Bn,S@2.69,5.31	1.01	OK,OK,0=1=49,Bn,S@0.51,49.49	2.70	LOW,LOW,0=1=18,Bn,S@0.51,18.49	0.00	OK,OK,0=0=20,Bn,S@0.00,20.00	0.00	VLOW,VLOW,0=0=11,Bn,S@0.00,11.00	1.12	OK,OK,0=1=44,Bn,S@0.50,44.50	0.00	VLOW,VLOW,0=0=11,Bn,S@0.00,11.00	2.86	LOW,LOW,0=1=17,Bn,S@0.51,17.49	0.00	N,N,0=0=1,Bn,S@0.00,1.00	0.00	N,N,0=0=4,Bn,S@0.00,4.00	0.00	N,N,0=0=6,Bn,S@0.00,6.00	0.00	N,N,0=0=5,Bn,S@0.00,5.00	0.00	OK,OK,0=0=48,Bn,S@0.00,48.00	0.00	N,N,0=0=8,Bn,S@0.00,8.00	0.00	OK,OK,0=0=23,Bn,S@0.00,23.00	0.00	LOW,LOW,0=0=17,Bn,S@0.00,17.00	6.49	OK,OK,2=3=36,OK,S@2.66,38.34	4.00	VLOW,VLOW,0=1=12,Bn,S@0.52,12.48	9.09	N,N,1=0=5,Bn,S@0.55,5.45	50.00	N,N,0=2=1,Bn,S@1.50,1.50	0.00	N,N,0=0=4,Bn,S@0.00,4.00	6.67	N,N,1=0=7,Bn,S@0.53,7.47	0.00	N,N,0=0=7,Bn,S@0.00,7.00	-22.38
SEMA3F	HsaEX0057076	chr3:50185889-50186046	158	chr3:50185707,50185889-50186046,50186281	S	92.77	OK,OK,38=39=3,OK,S@74.22,5.78	83.33	VLOW,VLOW,9=11=2,OK,S@18.33,3.67	93.94	LOW,LOW,18=13=1,OK,S@30.06,1.94	100.00	LOW,LOW,11=15=0,OK,S@26.00,0.00	37.70	LOW,LOW,11=12=19,OK,S@15.83,26.17	33.33	N,N,4=3=7,OK,S@4.67,9.33	63.64	N,N,4=3=2,OK,S@5.73,3.27	31.03	VLOW,VLOW,3=6=10,OK,S@5.90,13.10	76.81	OK,OK,27=26=8,OK,S@46.85,14.15	68.42	N,N,4=9=3,B1,S@10.95,5.05	68.00	N,N,9=8=4,OK,S@14.28,6.72	92.00	VLOW,VLOW,14=9=1,OK,S@22.08,1.92	97.21	SOK,SOK,453=382=12,OK,S@823.37,23.63	96.60	SOK,SOK,163=121=5,OK,S@279.17,9.83	99.37	SOK,SOK,158=156=1,OK,S@313.02,1.98	95.18	SOK,SOK,132=105=6,OK,S@231.29,11.71	98.29	SOK,SOK,459=346=7,OK,S@798.11,13.89	100.00	OK,OK,39=46=0,OK,S@85.00,0.00	100.00	SOK,SOK,64=39=0,OK,S@103.00,0.00	98.40	SOK,SOK,78=45=1,OK,S@122.02,1.98	100.00	SOK,SOK,66=56=0,OK,S@122.00,0.00	95.83	SOK,SOK,107=77=4,OK,S@180.16,7.84	97.92	SOK,SOK,105=83=2,OK,S@186.05,3.95	96.86	SOK,SOK,384=232=10,OK,S@606.34,19.66	97.68	SOK,SOK,163=90=3,OK,S@250.06,5.94	98.99	SOK,SOK,126=71=1,OK,S@196.00,2.00	93.26	SOK,SOK,95=71=6,OK,S@160.41,11.59	95.67	SOK,SOK,629=521=26,OK,S@1125.08,50.92	90.72	SOK,SOK,117=98=11,OK,S@205.03,20.97	97.78	SOK,SOK,110=154=3,OK,S@261.07,5.93	98.36	SOK,SOK,73=47=1,OK,S@119.02,1.98	97.44	SOK,SOK,88=64=2,OK,S@150.06,3.94	95.15	SOK,SOK,117=79=5,OK,S@191.25,9.75	96.21	SOK,SOK,124=79=4,OK,S@199.15,7.85	-15.96
RAD52	HsaEX0051924	chr12:914431-914529	99	chr12:916344+916350+916381,914411+914431-914529+914532,914121	S	44.93	LOW,LOW,2=29=19,B2,S@22.46,27.53	76.00	N,N,1=18=3,B2,S@16.72,5.28	20.00	VLOW,VLOW,0=5=10,Bn,S@3.00,12.00	36.84	N,N,1=6=6,B2,S@4.79,8.21	49.09	VLOW,VLOW,4=23=14,B2,S@20.13,20.87	38.46	N,N,1=9=8,B2,S@6.92,11.08	69.23	N,N,3=6=2,OK,S@7.62,3.38	50.00	N,N,0=8=4,Bn,S@6.00,6.00	29.49	OK,OK,5=20=30,B1,S@16.22,38.78	43.10	N,N,3=6=6,OK,S@6.46,8.54	17.24	VLOW,VLOW,1=4=12,B1,S@2.93,14.07	31.43	VLOW,VLOW,1=10=12,B2,S@7.23,15.77	94.50	SOK,SOK,47=56=3,OK,S@100.17,5.83	95.24	OK,OK,17=23=1,OK,S@39.05,1.95	92.62	VLOW,VLOW,12=13=1,OK,S@24.08,1.92	95.01	OK,OK,18=20=1,OK,S@37.05,1.95	87.16	SOK,SOK,55=40=7,OK,S@88.90,13.10	100.00	N,N,3=8=0,B1,S@11.00,0.00	100.00	VLOW,VLOW,12=8=0,OK,S@20.00,0.00	45.45	N,N,4=1=3,B1,S@3.64,4.36	100.00	N,N,4=4=0,OK,S@8.00,0.00	84.62	VLOW,VLOW,24=9=3,B1,S@30.46,5.54	90.00	VLOW,VLOW,8=10=1,OK,S@17.10,1.90	93.18	OK,OK,43=39=3,OK,S@79.20,5.80	93.55	LOW,LOW,18=11=1,OK,S@28.07,1.94	100.00	VLOW,VLOW,11=12=0,OK,S@23.00,0.00	88.24	LOW,LOW,14=16=2,OK,S@28.24,3.76	86.46	SOK,SOK,77=76=12,OK,S@142.66,22.34	86.71	VLOW,VLOW,14=12=2,OK,S@24.28,3.72	69.28	LOW,LOW,18=18=8,OK,S@30.48,13.52	100.00	VLOW,VLOW,11=7=0,OK,S@18.00,0.00	100.00	N,N,4=9=0,B1,S@13.00,0.00	100.00	OK,OK,21=19=0,OK,S@40.00,0.00	83.33	VLOW,VLOW,9=11=2,OK,S@18.33,3.67	-15.44
POLQ	HsaEX0049014	chr3:121529645-121529711	67	chr3:121532990,121529641+121529645-121529711+121529792,121522149	S	84.23	LOW,LOW,15=18=3,OK,S@30.32,5.68	84.23	N,N,3=8=1,B1,S@10.11,1.89	100.00	N,N,7=3=0,B1,S@10.00,0.00	74.44	N,N,5=7=2,OK,S@10.42,3.58	95.43	OK,OK,17=26=1,OK,S@41.99,2.01	100.00	VLOW,VLOW,7=10=0,OK,S@17.00,0.00	86.32	N,N,4=9=1,B1,S@12.08,1.92	100.00	N,N,6=7=0,OK,S@13.00,0.00	100.00	LOW,LOW,12=17=0,OK,S@29.00,0.00	100.00	N,N,4=9=0,B1,S@13.00,0.00	100.00	N,N,3=6=0,OK,S@9.00,0.00	100.00	N,N,5=2=0,B1,S@7.00,0.00	82.00	SOK,SOK,65=57=13,OK,S@110.70,24.30	80.68	OK,OK,22=21=5,OK,S@38.73,9.27	87.56	LOW,LOW,17=12=2,OK,S@27.14,3.86	80.18	OK,OK,26=24=6,OK,S@44.90,11.10	91.94	OK,OK,18=29=2,OK,S@45.05,3.95	100.00	N,N,0=3=0,Bn,S@3.00,0.00	100.00	N,N,0=3=0,Bn,S@3.00,0.00	100.00	N,N,0=3=0,Bn,S@3.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	89.19	VLOW,VLOW,5=12=1,B1,S@16.05,1.95	91.07	VLOW,VLOW,13=8=1,OK,S@20.04,1.96	78.35	OK,OK,26=56=11,B1,S@72.87,20.13	85.85	VLOW,VLOW,9=16=2,OK,S@23.18,3.82	71.63	VLOW,VLOW,8=18=5,B1,S@22.21,8.79	79.00	VLOW,VLOW,9=22=4,B1,S@27.65,7.35	95.22	OK,OK,25=16=1,OK,S@39.99,2.01	100.00	N,N,4=1=0,B1,S@5.00,0.00	100.00	N,N,13=4=0,B1,S@17.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	32.68	N,N,0=1=1,Bn,S@0.65,1.35	100.00	N,N,2=6=0,B1,S@8.00,0.00	100.00	N,N,6=4=0,OK,S@10.00,0.00	15.77
LAMA3	HsaEX0035238	chr18:23775792-23775923	132	chr18:23773587,23775792-23775923,23777557	S	51.52	VLOW,VLOW,11=6=8,OK,S@12.88,12.12	15.79	N,N,3=0=8,Bn,S@1.74,9.26	100.00	N,N,4=4=0,OK,S@8.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,7=5=0,OK,S@12.00,0.00	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,1=2=0,OK,S@3.00,0.00	84.62	VLOW,VLOW,11=11=2,OK,S@20.31,3.69	80.00	N,N,4=4=1,OK,S@7.20,1.80	71.43	N,N,3=2=1,OK,S@4.29,1.71	100.00	N,N,4=5=0,OK,S@9.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	33.10
PHRF1	HsaEX0047222	chr11:605608-605724	117	chr11:605300,605605+605608-605724,606442+606445	S	97.89	OK,OK,35=58=1,OK,S@92.02,1.98	100.00	LOW,LOW,11=28=0,B1,S@39.00,0.00	100.00	LOW,LOW,13=19=0,OK,S@32.00,0.00	91.67	VLOW,VLOW,11=11=1,OK,S@21.08,1.92	39.39	OK,OK,21=31=40,OK,S@36.24,55.76	52.00	VLOW,VLOW,13=13=12,OK,S@19.76,18.24	25.00	VLOW,VLOW,1=7=12,B2,S@5.00,15.00	36.00	LOW,LOW,7=11=16,OK,S@12.24,21.76	74.47	SOK,SOK,42=63=18,OK,S@91.60,31.40	68.89	LOW,LOW,17=14=7,OK,S@26.18,11.82	88.57	LOW,LOW,12=19=2,OK,S@29.23,3.77	70.49	LOW,LOW,13=30=9,B1,S@36.65,15.35	98.31	SOK,SOK,519=412=8,OK,S@923.13,15.87	100.00	SOK,SOK,146=104=0,OK,S@250.00,0.00	97.34	SOK,SOK,195=171=5,OK,S@361.13,9.87	98.13	SOK,SOK,178=137=3,OK,S@312.05,5.95	98.49	SOK,SOK,343=308=5,OK,S@646.09,9.91	97.30	OK,OK,49=23=1,B1,S@71.03,1.97	100.00	OK,OK,41=28=0,OK,S@69.00,0.00	96.49	SOK,SOK,54=56=2,OK,S@108.07,3.93	100.00	OK,OK,50=43=0,OK,S@93.00,0.00	98.60	SOK,SOK,66=75=1,OK,S@140.01,1.99	98.81	SOK,SOK,83=83=1,OK,S@165.01,1.99	98.44	SOK,SOK,360=273=5,OK,S@628.05,9.95	100.00	SOK,SOK,111=108=0,OK,S@219.00,0.00	96.72	SOK,SOK,149=87=4,OK,S@232.13,7.87	98.89	SOK,SOK,100=78=1,OK,S@177.01,1.99	98.53	SOK,SOK,370=302=5,OK,S@667.05,9.95	98.57	SOK,SOK,71=67=1,OK,S@137.01,1.99	98.45	SOK,SOK,72=55=1,OK,S@126.02,1.98	95.35	OK,OK,40=42=2,OK,S@80.09,3.91	100.00	OK,OK,47=34=0,OK,S@81.00,0.00	98.55	SOK,SOK,77=59=1,OK,S@135.01,1.99	100.00	SOK,SOK,63=45=0,OK,S@108.00,0.00	-23.42
ADGRL1	HsaEX0036226	chr19:14160593-14160696	104	chr19:14161312,14160593-14160696,14160297	S	63.18	SOK,SOK,17=261=81,B2,S@226.82,132.18	72.09	LOW,LOW,3=90=18,B2,S@80.02,30.98	54.43	SOK,SOK,3=83=36,B2,S@66.40,55.60	64.71	SOK,SOK,11=88=27,B2,S@81.53,44.47	41.79	SOK,SOK,8=104=78,B2,S@79.40,110.60	37.78	OK,OK,4=30=28,B2,S@23.42,38.58	47.37	OK,OK,0=36=20,B3,S@26.53,29.47	41.18	OK,OK,4=38=30,B2,S@29.65,42.35	46.85	SOK,SOK,17=228=139,B2,S@179.90,204.10	44.83	SOK,SOK,5=60=40,B2,S@47.07,57.93	52.24	SOK,SOK,5=65=32,B2,S@53.28,48.72	45.08	SOK,SOK,7=103=67,B2,S@79.79,97.21	80.00	N,N,8=8=2,OK,S@14.40,3.60	100.00	N,N,3=3=0,OK,S@6.00,0.00	20.00	N,N,0=1=2,Bn,S@0.60,2.40	100.00	N,N,5=4=0,OK,S@9.00,0.00	87.50	LOW,LOW,13=15=2,OK,S@26.25,3.75	80.00	N,N,2=6=1,B1,S@7.20,1.80	33.33	N,N,0=1=1,Bn,S@0.67,1.33	100.00	N,N,2=1=0,OK,S@3.00,0.00	100.00	N,N,3=4=0,OK,S@7.00,0.00	100.00	N,N,5=2=0,B1,S@7.00,0.00	100.00	N,N,1=1=0,OK,S@2.00,0.00	65.22	N,N,9=6=4,OK,S@12.39,6.61	75.00	N,N,2=4=1,OK,S@5.25,1.75	75.00	N,N,5=1=1,B1,S@5.25,1.75	42.86	N,N,2=1=2,OK,S@2.14,2.86	76.00	VLOW,VLOW,9=10=3,OK,S@16.72,5.28	NA	N,N,0=0=0,Bn,S@0,0	100.00	N,N,1=0=0,Bn,S@1.00,0.00	NA	N,N,0=0=0,Bn,S@0,0	100.00	N,N,4=3=0,OK,S@7.00,0.00	66.67	N,N,3=5=2,OK,S@6.67,3.33	60.00	N,N,1=2=1,OK,S@2.40,1.60	-16.33
SEMA3C	HsaEX0057058	chr7:80794854-80794957	104	chr7:80798092,80794854-80794957,80789528	S	8.00	OK,OK,4=0=23,Bn,S@2.16,24.84	10.00	N,N,2=0=9,Bn,S@1.10,9.90	5.26	N,N,1=0=9,Bn,S@0.53,9.47	9.09	N,N,1=0=5,Bn,S@0.55,5.45	13.64	LOW,LOW,5=1=19,B1,S@3.41,21.59	16.67	N,N,2=0=5,Bn,S@1.17,5.83	6.67	N,N,0=1=7,Bn,S@0.53,7.47	17.65	N,N,3=0=7,Bn,S@1.76,8.23	24.14	VLOW,VLOW,6=1=11,B2,S@4.35,13.65	16.67	N,N,1=1=5,OK,S@1.17,5.83	0.00	N,N,0=0=2,Bn,S@0.00,2.00	38.46	N,N,5=0=4,Bn,S@3.46,5.54	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	0.00	N,N,0=0=1,Bn,S@0.00,1.00	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	NA	N,N,0=0=0,Bn,S@0,0	16.14
MLLT10	HsaEX0039539	chr10:21733504-21733592	89	chr10:21733087,21733504-21733592,21733768	S	100.00	LOW,LOW,14=15=0,OK,S@29.00,0.00	100.00	N,N,4=7=0,OK,S@11.00,0.00	100.00	N,N,7=7=0,OK,S@14.00,0.00	100.00	N,N,3=1=0,B1,S@4.00,0.00	92.00	OK,OK,24=22=2,OK,S@44.16,3.84	88.24	VLOW,VLOW,5=10=1,OK,S@14.12,1.88	89.47	N,N,9=8=1,OK,S@16.10,1.90	100.00	N,N,10=4=0,B1,S@14.00,0.00	81.25	VLOW,VLOW,8=18=3,B1,S@23.56,5.44	60.00	N,N,1=5=2,B1,S@4.80,3.20	100.00	N,N,4=4=0,OK,S@8.00,0.00	85.71	N,N,3=9=1,B1,S@11.14,1.86	98.11	SOK,SOK,410=422=8,OK,S@824.12,15.88	98.59	SOK,SOK,150=129=2,OK,S@277.04,3.96	97.54	SOK,SOK,148=169=4,OK,S@313.10,7.90	98.33	SOK,SOK,112=124=2,OK,S@234.03,3.97	95.65	SOK,SOK,155=153=7,OK,S@301.30,13.70	92.98	OK,OK,25=28=2,OK,S@51.14,3.86	100.00	LOW,LOW,14=20=0,OK,S@34.00,0.00	100.00	OK,OK,17=20=0,OK,S@37.00,0.00	82.35	LOW,LOW,12=16=3,OK,S@25.53,5.47	100.00	OK,OK,59=32=0,OK,S@91.00,0.00	94.20	OK,OK,28=37=2,OK,S@63.11,3.89	99.02	SOK,SOK,299=309=3,OK,S@605.01,5.99	100.00	SOK,SOK,121=110=0,OK,S@231.00,0.00	98.03	SOK,SOK,92=107=2,OK,S@197.04,3.96	98.89	SOK,SOK,86=92=1,OK,S@177.01,1.99	99.45	SOK,SOK,164=195=1,OK,S@358.02,1.98	100.00	OK,OK,32=35=0,OK,S@67.00,0.00	97.73	OK,OK,34=52=1,OK,S@85.03,1.97	100.00	LOW,LOW,13=18=0,OK,S@31.00,0.00	100.00	VLOW,VLOW,11=11=0,OK,S@22.00,0.00	100.00	OK,OK,32=46=0,OK,S@78.00,0.00	100.00	OK,OK,42=33=0,OK,S@75.00,0.00	-18.75
RIF1	HsaEX0053616	chr2:151468474-151468551	78	chr2:151468146,151468290+151468474-151468551,151468621+151468641	S	47.62	VLOW,VLOW,13=14=14,OK,S@19.52,21.48	29.52	N,N,4=4=9,OK,S@5.02,11.98	58.59	N,N,1=5=2,B1,S@4.69,3.31	67.15	N,N,8=5=3,OK,S@10.74,5.26	36.47	OK,OK,12=16=23,OK,S@18.60,32.40	28.20	VLOW,VLOW,4=6=12,OK,S@6.20,15.80	32.05	N,N,3=5=8,OK,S@5.13,10.87	61.12	N,N,5=5=3,OK,S@7.95,5.05	23.92	LOW,LOW,6=6=18,OK,S@7.18,22.82	35.50	N,N,4=3=6,OK,S@4.62,8.38	15.87	N,N,0=2=5,Bn,S@1.11,5.89	16.82	N,N,2=1=7,OK,S@1.68,8.32	41.41	SOK,SOK,380=365=497,OK,S@514.31,727.69	40.00	SOK,SOK,117=105=157,OK,S@151.60,227.40	42.81	SOK,SOK,169=139=194,OK,S@214.91,287.09	40.98	SOK,SOK,94=121=146,OK,S@147.94,213.06	40.28	SOK,SOK,112=137=174,OK,S@170.38,252.62	43.38	LOW,LOW,15=11=16,OK,S@18.22,23.78	37.59	LOW,LOW,11=12=18,OK,S@15.41,25.59	47.36	VLOW,VLOW,5=16=11,B1,S@15.16,16.84	43.64	VLOW,VLOW,6=17=14,B1,S@16.15,20.85	41.56	SOK,SOK,48=41=59,OK,S@61.51,86.49	36.06	SOK,SOK,27=40=56,OK,S@44.35,78.65	41.18	SOK,SOK,222=271=332,OK,S@339.74,485.27	39.26	SOK,SOK,85=96=132,OK,S@122.88,190.12	44.57	SOK,SOK,77=97=102,OK,S@123.01,152.99	39.90	SOK,SOK,60=78=98,OK,S@94.16,141.84	49.67	SOK,SOK,148=143=139,OK,S@213.58,216.42	42.82	OK,OK,24=30=34,OK,S@37.68,50.32	41.42	OK,OK,30=24=36,OK,S@37.28,52.72	73.34	OK,OK,20=15=6,OK,S@30.07,10.93	63.10	LOW,LOW,19=10=8,OK,S@23.35,13.65	48.14	OK,OK,24=39=32,OK,S@45.73,49.27	53.45	OK,OK,31=25=23,OK,S@42.23,36.77	-23.70
