EVENT	HeLa_CNTRL	HeLa_CNTRL_A	HeLa_CNTRL_B	HeLa_CNTRL_C	HeLa_SON	HeLa_SON_A	HeLa_SON_B	HeLa_SON_C	HeLa_SRRM2	HeLa_SRRM2_A	HeLa_SRRM2_B	HeLa_SRRM2_C	HepG2_CNTRL	HepG2_CNTRL_A	HepG2_CNTRL_B	HepG2_CNTRL_C	HepG2_MARS	HepG2_MARS_Aa	HepG2_MARS_Ab	HepG2_MARS_Ba	HepG2_MARS_Bb	HepG2_MARS_Ca	HepG2_MARS_Cb	HepG2_RARS	HepG2_RARS_A	HepG2_RARS_B	HepG2_RARS_C	HepG2_SRRM2	HepG2_SRRM2_Aa	HepG2_SRRM2_Ab	HepG2_SRRM2_Ba	HepG2_SRRM2_Bb	HepG2_SRRM2_Ca	HepG2_SRRM2_Cb
SCYL3=HsaEX0056692	50.28	NA	NA	NA	29.66	NA	NA	NA	27.90	NA	NA	NA	1.01	2.70	0.00	0.00	1.12	0.00	2.86	NA	NA	NA	NA	0.00	NA	0.00	0.00	6.49	4.00	NA	NA	NA	NA	NA
SCYL3=HsaEX0056690	80.33	80.00	NA	NA	78.95	82.61	NA	88.89	74.19	84.62	100.00	NA	91.30	93.33	100.00	83.33	86.67	NA	NA	NA	NA	NA	NA	100.00	100.00	NA	100.00	92.59	88.24	100.00	NA	NA	NA	NA
C1orf112=HsaEX0010105	92.31	85.71	100.00	89.47	90.16	92.31	NA	NA	85.29	80.00	100.00	76.00	91.40	95.12	86.55	93.24	95.83	100.00	100.00	NA	NA	100.00	84.21	90.07	94.83	87.72	88.44	94.68	100.00	90.24	NA	100.00	90.24	93.94
SEMA3F=HsaEX0057075	43.17	45.65	42.53	41.41	57.30	NA	58.97	NA	47.23	50.00	45.45	46.67	47.89	55.00	41.53	50.00	49.49	56.67	47.37	53.62	57.45	48.21	43.09	41.85	44.39	42.17	37.66	38.73	43.55	28.99	48.98	24.21	46.10	41.73
SEMA3F=HsaEX0057076	92.77	83.33	93.94	100.00	37.70	NA	NA	31.03	76.81	NA	NA	92.00	97.21	96.60	99.37	95.18	98.29	100.00	100.00	98.40	100.00	95.83	97.92	96.86	97.68	98.99	93.26	95.67	90.72	97.78	98.36	97.44	95.15	96.21
RAD52=HsaEX0051924	44.93	NA	20.00	NA	49.09	NA	NA	NA	29.49	NA	17.24	31.43	94.50	95.24	92.62	95.01	87.16	NA	100.00	NA	NA	84.62	90.00	93.18	93.55	100.00	88.24	86.46	86.71	69.28	100.00	NA	100.00	83.33
ALS2=HsaEX1003545	5.26	0.00	NA	NA	1.64	NA	NA	0.00	2.04	0.00	NA	NA	4.83	9.48	3.06	0.00	6.49	20.00	0.00	0.00	0.00	0.00	15.38	4.18	0.54	7.87	6.77	4.32	11.63	0.00	NA	NA	3.73	0.00
RBM5=HsaEX0052743	79.34	74.68	76.21	89.91	81.28	80.06	84.80	79.22	80.78	85.11	78.16	78.97	84.58	82.52	90.10	78.82	85.35	83.82	100.00	85.45	77.43	85.93	84.43	77.51	82.89	75.94	73.20	87.03	79.83	92.44	85.22	87.29	83.71	93.90
PLXND1=HsaEX0048613	95.15	93.82	93.66	98.11	44.20	42.23	30.54	64.42	95.16	89.32	100.00	96.33	96.90	97.44	97.13	95.97	99.06	98.99	100.00	100.00	97.06	99.37	98.91	96.31	95.31	96.68	97.18	98.14	97.97	98.11	97.58	99.40	97.34	98.50
PLXND1=HsaEX0048614	96.10	96.74	96.14	95.10	43.50	NA	NA	NA	93.07	88.55	100.00	92.06	99.01	98.63	98.63	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.41	98.38	100.00	100.00	99.84	99.09	100.00	100.00	100.00	100.00	100.00
RECQL=HsaEX0052979	67.02	71.17	68.61	60.65	64.61	68.46	63.35	61.41	69.25	72.79	61.11	73.02	86.61	90.20	89.24	80.94	81.82	80.29	75.36	NA	100.00	74.19	80.90	84.67	87.76	80.76	87.03	87.95	92.81	88.77	NA	93.89	82.41	91.94
ARHGAP33=HsaEX0005510	NA	NA	NA	NA	0.00	0.00	NA	NA	NA	NA	NA	NA	55.28	48.00	54.55	64.44	57.58	63.64	73.68	NA	61.29	37.14	NA	54.84	60.00	54.10	50.77	68.42	NA	NA	NA	NA	NA	NA
MCUB=HsaEX0012890	90.08	91.49	100.00	81.40	90.91	100.00	90.48	77.78	95.65	100.00	90.91	95.35	96.92	100.00	94.67	97.18	97.95	100.00	94.59	100.00	100.00	100.00	94.29	92.75	89.29	95.12	95.12	99.40	100.00	100.00	100.00	100.00	100.00	95.83
LIG3=HsaEX1019655	NA	27.78	39.39	17.65	30.00	NA	NA	NA	NA	18.75	14.29	NA	NA	1.69	1.27	NA	NA	1.18	1.29	1.91	2.67	1.78	2.54	NA	0.95	2.87	1.38	NA	2.55	2.33	1.08	1.20	2.01	3.30
RPAP3=HsaEX0055439	77.34	82.77	74.09	74.80	87.40	89.47	86.52	86.35	79.43	76.41	80.30	80.95	92.97	90.76	90.24	97.92	90.07	90.62	94.94	91.67	78.18	89.09	93.10	91.51	88.19	91.94	94.85	93.41	91.84	95.24	96.00	96.00	94.67	89.80
