GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	GROUP	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
SPTLC3	HsaEX0061606	chr20:13117506-13117725	220	chr20:12916268,13117506-13117725,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13117506	13117725	+	12916268	13165122	ENSG00000172296
SPTLC3	HsaEX0061607	chr20:13126591-13126717	127	chr20:12916268,13126591-13126717,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13126591	13126717	+	12916268	13165122	ENSG00000172296
SPTLC3	HsaEX6077217	chr20:13091083-13091207	125	chr20:12916268,13091083-13091207,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13091083	13091207	+	12916268	13165122	ENSG00000172296
SPTLC3	HsaEX6077218	chr20:13074349-13074497	149	chr20:12916268,13074349-13074497,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13074349	13074497	+	12916268	13165122	ENSG00000172296
SPTLC3	HsaEX6077214	chr20:13154003-13154138	136	chr20:12916268,13154003-13154138,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13154003	13154138	+	12916268	13165122	ENSG00000172296
C21orf2	HsaEX0010540	chr21:44335758-44335804	47	chr21:44337649,44335758-44335804,44333262	S	UP_EXONS_TAF2	chr21	44335758	44335804	-	44337649	44333262	ENSG00000160226
SPTLC3	HsaEX6077219	chr20:13072256-13072410	155	chr20:12916268,13072256-13072410,13164754+13165122	C3	UP_EXONS_TAF2	chr20	13072256	13072410	+	12916268	13165122	ENSG00000172296
FAM35A	HsaEX1014045	chr10:87158048-87158155	108	chr10:87156837,87158048-87158155,87163979+87164003	C3	UP_EXONS_TAF2	chr10	87158048	87158155	+	87156837	87164003	ENSG00000122376
NOTUM	HsaEX0043424	chr17:81957806-81957908	103	chr17:81958335,81957806-81957908,81957074+81957475	S	UP_EXONS_TAF2	chr17	81957806	81957908	-	81958335	81957074	ENSG00000185269
PBX4	HsaEX0045761	chr19:19599292-19599365	74	chr19:19618511,19599292-19599365,19570833+19570871	S	UP_EXONS_TAF2	chr19	19599292	19599365	-	19618511	19570833	ENSG00000105717
NAV1	HsaEX0041743	chr1:201804489-201804497	9	chr1:201803714,201804489-201804497,201807953	S	UP_EXONS_TAF2	chr1	201804489	201804497	+	201803714	201807953	ENSG00000134369
MTMR11	HsaEX0040571	chr1:149931260-149931379	120	chr1:149931944,149931260-149931379+149931426+149931473,149930965	S	UP_EXONS_TAF2	chr1	149931260	149931379	-	149931944	149930965	ENSG00000014914
PRDM5	HsaEX0049952	chr4:120754553-120754638	86	chr4:120777188,120754553-120754638,120710413	C1	UP_EXONS_TAF2	chr4	120754553	120754638	-	120777188	120710413	ENSG00000138738
RBBP4	HsaEX1030778	chr1:32673459-32673580	122	chr1:32672901,32673459-32673580,32679472+32679640+32679644	S	UP_EXONS_TAF2	chr1	32673459	32673580	+	32672901	32679644	ENSG00000162521
KREMEN1	HsaEX0035017	chr22:29125263-29125416	154	chr22:29098953+29099163,29125263-29125416,29137342+29137502	C2	UP_EXONS_TAF2	chr22	29125263	29125416	+	29098953	29137502	ENSG00000183762
LINC01446	HsaEX1020927	chr7:53811508-53811574	67	chr7:53811660,53811508-53811574,53780038	C1	UP_EXONS_TAF2	chr7	53811508	53811574	-	53811660	53780038	ENSG00000205628
LCORL	HsaEX0035530	chr4:17886068-17886161	94	chr4:17909094,17886068-17886161,17845901	C2	UP_EXONS_TAF2	chr4	17886068	17886161	-	17909094	17845901	ENSG00000178177
ZNF821	HsaEX0074411	chr16:71861776-71861942	167	chr16:71864138,71861776-71861942,71860672	S	UP_EXONS_TAF2	chr16	71861776	71861942	-	71864138	71860672	ENSG00000102984
ZNF783	HsaEX0074358	chr7:149288476-149288557	82	chr7:149287776+149287780+149287916,149288414+149288431+149288476-149288557,149289938+149289943	C1	UP_EXONS_TAF2	chr7	149288476	149288557	+	149287776	149289943	NA
RP11-69E11.4	HsaEX0055118	chr1:39523562-39523697	136	chr1:39529055,39523562-39523697,39522505	S	UP_EXONS_TAF2	chr1	39523562	39523697	-	39529055	39522505	ENSG00000182109
CDKN2B-AS1	HsaEX0014404	chr9:22032674-22032986	313	chr9:21995161,22032674-22032986,22046751	ANN	UP_EXONS_TAF2	chr9	22032674	22032986	+	21995161	22046751	NA
DOPEY1	HsaEX0020727	chr6:83113327-83113421	95	chr6:83110215+83110235+83110314,83113323+83113327-83113421,83118888	S	UP_EXONS_TAF2	chr6	83113327	83113421	+	83110215	83118888	ENSG00000083097
NAV2	HsaEX0041755	chr11:20082592-20082600	9	chr11:20080209,20082592-20082600,20083007	S	UP_EXONS_TAF2	chr11	20082592	20082600	+	20080209	20083007	ENSG00000166833
ZNF17	HsaEX0073100	chr19:57417912-57418038	127	chr19:57411406,57417912-57418038,57419635	ANN	UP_EXONS_TAF2	chr19	57417912	57418038	+	57411406	57419635	NA
LRRC37B	HsaEX0036592	chr17:32021444-32022825	1382	chr17:32008132,32021393+32021444-32022825,32024711	C3	UP_EXONS_TAF2	chr17	32021444	32022825	+	32008132	32024711	ENSG00000185158
GPC2	HsaEX0028144	chr7:100173835-100173997	163	chr7:100174685,100173835-100173997,100172217	S	UP_EXONS_TAF2	chr7	100173835	100173997	-	100174685	100172217	ENSG00000213420
FKRP	HsaEX0025866	chr19:46747234-46747305	72	chr19:46746090,46747234-46747305,46748027	ANN	UP_EXONS_TAF2	chr19	46747234	46747305	+	46746090	46748027	ENSG00000181027
