GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
AKAP11	HsaEX0003358	chr13:42313047-42313130	84	chr13:42308609,42313017+42313047-42313130,42313894	S	40.58	SOK,SOK,54=58=82,OK,S@78.73,115.27	46.48	LOW,LOW,13=20=19,OK,S@24.17,27.83	36.45	OK,OK,20=19=34,OK,S@26.61,46.39	40.82	OK,OK,21=19=29,OK,S@28.17,40.83	39.45	SOK,SOK,57=72=99,OK,S@89.95,138.05	36.71	SOK,SOK,19=39=50,B1,S@39.65,68.35	39.13	OK,OK,16=20=28,OK,S@25.04,38.96	45.45	OK,OK,22=13=21,OK,S@25.45,30.55	57.51	SOK,SOK,53=58=41,OK,S@87.42,64.58	59.32	LOW,LOW,18=17=12,OK,S@27.88,19.12	55.00	OK,OK,17=27=18,OK,S@34.10,27.90	59.26	LOW,LOW,18=14=11,OK,S@25.48,17.52	16.61
RIF1	HsaEX0053616	chr2:151468474-151468551	78	chr2:151468146,151468290+151468474-151468551,151468621+151468641	S	54.14	SOK,SOK,124=154=111,OK,S@210.60,178.40	55.38	SOK,SOK,31=48=30,OK,S@60.36,48.64	58.36	SOK,SOK,50=57=36,OK,S@83.45,59.55	49.08	SOK,SOK,43=49=45,OK,S@67.24,69.76	48.01	SOK,SOK,134=197=169,OK,S@240.05,259.95	48.53	SOK,SOK,62=84=73,OK,S@106.28,112.72	49.35	SOK,SOK,34=59=45,OK,S@68.10,69.90	45.96	SOK,SOK,38=54=51,OK,S@65.72,77.28	38.21	SOK,SOK,99=124=170,OK,S@150.17,242.83	38.60	SOK,SOK,30=38=51,OK,S@45.93,73.07	35.59	SOK,SOK,36=39=64,OK,S@49.47,89.53	40.68	SOK,SOK,33=47=55,OK,S@54.92,80.08	-15.98
PCK2	HsaEX0045901	chr14:24099995-24100213	219	chr14:24099720,24099995-24100213,24102753	S	80.12	SOK,SOK,65=72=17,OK,S@123.38,30.62	83.33	OK,OK,23=17=4,OK,S@36.67,7.33	86.21	OK,OK,22=28=4,OK,S@46.55,7.45	72.31	OK,OK,20=27=9,OK,S@40.49,15.51	88.04	SOK,SOK,76=86=11,OK,S@152.31,20.69	91.04	OK,OK,27=34=3,OK,S@58.27,5.73	93.55	OK,OK,29=29=2,OK,S@56.13,3.87	78.18	OK,OK,20=23=6,OK,S@38.31,10.69	97.04	SOK,SOK,69=62=2,OK,S@129.06,3.94	100.00	OK,OK,24=22=0,OK,S@46.00,0.00	100.00	OK,OK,27=26=0,OK,S@53.00,0.00	88.89	LOW,LOW,18=14=2,OK,S@30.22,3.78	15.68
UACA	HsaEX0068578	chr15:70677108-70677140	33	chr15:70678099,70677108-70677140,70676591	S	80.34	OK,SOK,42=43=14,OK,S@79.54,19.46	81.78	VLOW,VLOW,9=11=3,OK,S@18.81,4.19	70.62	VLOW,LOW,13=12=7,OK,S@22.60,9.40	87.06	OK,OK,20=20=4,OK,S@38.31,5.69	89.30	SOK,SOK,67=57=10,OK,S@119.66,14.34	84.34	OK,OK,34=22=7,OK,S@53.13,9.87	95.28	LOW,OK,15=15=1,OK,S@29.54,1.46	92.75	OK,OK,18=20=2,OK,S@37.10,2.90	94.72	OK,SOK,48=32=3,OK,S@78.62,4.38	100.00	VLOW,LOW,15=8=0,OK,S@23.00,0.00	89.74	VLOW,LOW,13=13=2,OK,S@25.13,2.87	95.43	LOW,LOW,20=11=1,OK,S@30.54,1.46	15.24
TAF2	HsaEX0063481	chr8:119744881-119745036	156	chr8:119746705+119746835,119744881-119745036,119744393	S	22.78	SOK,SOK,65=63=217,OK,S@78.59,266.41	21.33	OK,OK,15=17=59,OK,S@19.41,71.59	25.35	SOK,SOK,28=27=81,OK,S@34.48,101.52	21.03	SOK,SOK,22=19=77,OK,S@24.82,93.18	23.05	SOK,SOK,73=69=237,OK,S@87.36,291.64	27.59	SOK,SOK,37=27=84,OK,S@40.83,107.17	19.59	SOK,SOK,20=18=78,OK,S@22.72,93.28	21.05	SOK,SOK,16=24=75,OK,S@24.21,90.79	2.64	SOK,SOK,59=58=2159,OK,S@60.09,2215.91	2.80	SOK,SOK,22=15=643,OK,S@19.04,660.96	2.54	SOK,SOK,20=22=806,OK,S@21.54,826.46	2.61	SOK,SOK,17=21=710,OK,S@19.52,728.48	-19.92
XYLB	HsaEX0071916	chr3:38397072-38397159	88	chr3:38395563,38397072-38397159,38400891	S	78.82	SOK,SOK,69=65=18,OK,S@119.81,32.19	70.73	LOW,LOW,16=13=6,OK,S@24.76,10.24	82.61	OK,OK,30=27=6,OK,S@52.04,10.96	80.00	OK,OK,23=25=6,OK,S@43.20,10.80	88.48	SOK,SOK,91=78=11,OK,S@159.26,20.74	93.22	OK,OK,25=30=2,OK,S@53.14,3.86	79.49	OK,OK,32=30=8,OK,S@55.64,14.36	96.30	OK,OK,34=18=1,OK,S@51.04,1.96	94.87	SOK,SOK,78=70=4,OK,S@144.20,7.80	95.35	OK,OK,20=21=1,OK,S@40.05,1.95	96.88	OK,OK,35=27=1,OK,S@61.03,1.97	91.84	OK,OK,23=22=2,OK,S@43.16,3.84	16.91
CARD8	HsaEX0012444	chr19:48249523-48249633	111	chr19:48249727+48249751,48249523-48249633,48241063	S	94.85	SOK,SOK,70=33=1,OK,C1@98.64,5.36	85.52	LOW,OK,21=11=1,OK,C1@28.22,4.78	100.00	LOW,OK,25=10=0,OK,C1@35.00,0.00	100.00	LOW,OK,24=12=0,OK,C1@36.00,0.00	78.86	SOK,SOK,82=29=5,OK,C1@91.48,24.52	70.99	LOW,OK,30=10=3,OK,C1@30.53,12.47	100.00	VLOW,OK,27=9=0,OK,C1@36.00,0.00	73.42	LOW,OK,25=10=2,OK,C1@27.17,9.83	73.00	OK,SOK,52=38=8,B1,C1@71.54,26.46	83.79	LOW,OK,23=12=2,OK,C1@31.00,6.00	70.86	VLOW,LOW,11=11=2,B1,C1@17.01,6.99	67.64	LOW,SOK,18=15=4,B1,S@25.03,11.97	-21.07
FKTN	HsaEX0025874	chr9:105615281-105615407	127	chr9:105607919+105607951,105615278+105615281-105615407,105635051	C2	60.85	SOK,SOK,65=50=37,OK,C2@92.49,59.51	54.72	VLOW,VLOW,21=8=12,B1,C2@22.44,18.56	58.90	OK,OK,24=19=15,OK,C2@34.16,23.84	68.25	OK,OK,20=23=10,OK,C2@36.17,16.83	75.00	SOK,SOK,72=78=25,OK,C2@131.25,43.75	75.56	OK,OK,36=32=11,OK,C2@59.69,19.31	64.71	LOW,LOW,18=15=9,OK,C2@27.18,14.82	83.05	OK,OK,18=31=5,OK,C3@44.85,9.15	81.13	SOK,SOK,67=62=15,OK,C2@116.83,27.17	78.12	OK,OK,27=23=7,OK,C2@44.53,12.47	82.98	OK,OK,18=21=4,OK,C3@35.68,7.32	83.33	OK,OK,22=18=4,OK,C2@36.67,7.33	20.86
FKTN	HsaEX0025875	chr9:105618049-105618092	44	chr9:105607919+105607951,105617959+105618049-105618092,105635051	C3	52.75	SOK,SOK,44=52=43,OK,C3@73.32,65.68	48.94	VLOW,VLOW,8=15=12,OK,C3@17.13,17.87	50.68	OK,OK,16=21=18,OK,C3@27.87,27.13	58.06	OK,OK,20=16=13,OK,C3@28.45,20.55	73.66	SOK,SOK,76=75=27,OK,C3@131.11,46.89	68.29	OK,OK,30=26=13,OK,C3@47.12,21.88	66.67	OK,OK,15=21=9,OK,C3@30.00,15.00	85.51	OK,OK,31=28=5,OK,C3@54.73,9.27	76.93	SOK,SOK,59=61=18,OK,C3@106.16,31.84	74.21	OK,OK,22=24=8,OK,C3@40.07,13.93	78.74	OK,OK,20=17=5,OK,C3@33.07,8.93	78.72	OK,OK,17=20=5,OK,C3@33.06,8.94	24.66
TRDMT1	HsaEX0066968	chr10:17168841-17168917	77	chr10:17174551,17168841-17168917,17162237	C1	96.12	SOK,SOK,50=49=2,OK,C1@97.08,3.92	100.00	LOW,LOW,12=15=0,OK,C1@27.00,0.00	91.12	OK,OK,23=18=2,OK,C1@39.18,3.82	100.00	LOW,LOW,15=16=0,OK,S@31.00,0.00	94.17	SOK,SOK,69=60=4,OK,C1@125.25,7.75	96.23	OK,OK,26=25=1,OK,S@50.04,1.96	87.24	OK,OK,25=16=3,OK,C1@38.39,5.61	100.00	LOW,LOW,18=19=0,OK,C1@37.00,0.00	79.15	SOK,SOK,52=39=12,OK,C1@81.52,21.48	78.96	LOW,LOW,16=14=4,OK,C1@26.85,7.15	78.95	LOW,LOW,18=12=4,OK,S@26.84,7.16	79.53	LOW,LOW,18=13=4,OK,C1@27.84,7.16	-17.89
