GROUP	GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	SCAFFOLD	START	END	STRAND	UPSTRM_EX_BORDER	DOSTRM_EX_BORDER	GENEID
UP_INTRONS_BOTH	CLCNKB	HsaINT0036037	chr1:16049917-16050515	599	chr1:16049815-16049916=16050516-16050600:+	IR	chr1	16049917	16050515	+	16049815	16050600	ENSG00000184908
UP_INTRONS_BOTH	FDXACB1	HsaINT0063446	chr11:111876640-111876807	168	chr11:111876808-111877011=111876481-111876639:-	IR	chr11	111876640	111876807	-	111877011	111876481	NA
UP_INTRONS_BOTH	PRPF40B	HsaINT0132652	chr12:49642373-49642579	207	chr12:49642235-49642372=49642580-49642675:+	IR	chr12	49642373	49642579	+	49642235	49642675	ENSG00000110844
UP_INTRONS_BOTH	PRSS53	HsaINT0133029	chr16:31085025-31085109	85	chr16:31085110-31085260=31084780-31085024:-	IR	chr16	31085025	31085109	-	31085260	31084780	NA
UP_INTRONS_BOTH	PRSS53	HsaINT0133030	chr16:31084704-31084779	76	chr16:31084780-31085024=31084558-31084703:-	IR	chr16	31084704	31084779	-	31085024	31084558	NA
UP_INTRONS_BOTH	TMEM86B	HsaINT0169425	chr19:55228438-55228690	253	chr19:55228691-55229264=55228191-55228437:-	IR	chr19	55228438	55228690	-	55229264	55228191	ENSG00000180089
UP_INTRONS_BOTH	CTD-2619J13.16	HsaINT1010111	chr19:58418982-58419237	256	chr19:58418560-58418981=58419238-58419310:+	IR	chr19	58418982	58419237	+	58418560	58419310	ENSG00000268543
UP_INTRONS_BOTH	ATL2	HsaINT1004766	chr2:38296591-38298143	1553	chr2:38298144-38298575=38295901-38296590:-	IR	chr2	38296591	38298143	-	38298575	38295901	ENSG00000119787
UP_INTRONS_BOTH	L3MBTL1	HsaINT0089912	chr20:43530420-43530797	378	chr20:43530284-43530419=43530798-43530889:+	IR	chr20	43530420	43530797	+	43530284	43530889	ENSG00000185513
UP_INTRONS_BOTH	MOV10L1	HsaINT0104511	chr22:50126273-50128415	2143	chr22:50126202-50126272=50128416-50128507:+	IR	chr22	50126273	50128415	+	50126202	50128507	ENSG00000073146
UP_INTRONS_BOTH	CPT1B	HsaINT0041035	chr22:50576638-50576856	219	chr22:50576857-50577034=50576536-50576637:-	IR	chr22	50576638	50576856	-	50577034	50576536	NA
UP_INTRONS_BOTH	PLXNB1	HsaINT0128027	chr3:48425334-48430007	4674	chr3:48430008-48430051=48425281-48425333:-	IR	chr3	48425334	48430007	-	48430051	48425281	ENSG00000164050
UP_INTRONS_BOTH	MYL5	HsaINT1024174	chr4:681141-681892	752	chr4:681092-681140=681893-682033:+	IR	chr4	681141	681892	+	681092	682033	ENSG00000215375
UP_INTRONS_BOTH	ZGRF1	HsaINT0024047	chr4:112589875-112603523	13649	chr4:112603524-112603697=112589630-112589874:-	IR	chr4	112589875	112603523	-	112603697	112589630	ENSG00000138658
UP_INTRONS_BOTH	RP4-756H11.3	HsaINT1039753	chr7:66667611-66668763	1153	chr7:66667398-66667610=66668764-66668913:+	IR	chr7	66667611	66668763	+	66667398	66668913	ENSG00000226824
UP_INTRONS_BOTH	GPT	HsaINT0071958	chr8:144506132-144506231	100	chr8:144505995-144506131=144506232-144506406:+	IR	chr8	144506132	144506231	+	144505995	144506406	ENSG00000167701
UP_INTRONS_BOTH	MROH6	HsaINT0025214	chr8:143569615-143569696	82	chr8:143569697-143569840=143569441-143569614:-	IR	chr8	143569615	143569696	-	143569840	143569441	ENSG00000204839
UP_INTRONS_BOTH	GCNA	HsaINT0002805	chrX:71612560-71612861	302	chrX:71612355-71612559=71612862-71613583:+	IR	chrX	71612560	71612861	+	71612355	71613583	ENSG00000147174
DOWN_INTRONS_BOTH	PEX10	HsaINT1026647	chr1:2406956-2408451	1496	chr1:2408452-2408858=2406720-2406955:-	IR	chr1	2406956	2408451	-	2408858	2406720	ENSG00000157911
DOWN_INTRONS_BOTH	CLCN6	HsaINT0035981	chr1:11822802-11823706	905	chr1:11822695-11822801=11823707-11823833:+	IR	chr1	11822802	11823706	+	11822695	11823833	ENSG00000011021
DOWN_INTRONS_BOTH	PLEKHN1	HsaINT0127539	chr1:971405-972074	670	chr1:971324-971404=972075-972150:+	IR	chr1	971405	972074	+	971324	972150	ENSG00000187583
DOWN_INTRONS_BOTH	ANK3	HsaINT1003646	chr10:60134374-60138963	4590	chr10:60138964-60139087=60134271-60134373:-	IR	chr10	60134374	60138963	-	60139087	60134271	ENSG00000151150
DOWN_INTRONS_BOTH	SLC39A13	HsaINT1042051	chr11:47414906-47415059	154	chr11:47414777-47414905=47415060-47415159:+	IR	chr11	47414906	47415059	+	47414777	47415159	ENSG00000165915
DOWN_INTRONS_BOTH	ACCS	HsaINT0002414	chr11:44077923-44078683	761	chr11:44077845-44077922=44078684-44078784:+	IR	chr11	44077923	44078683	+	44077845	44078784	ENSG00000110455
DOWN_INTRONS_BOTH	TM7SF2	HsaINT0167828	chr11:65113415-65113490	76	chr11:65113220-65113414=65113491-65113594:+	IR	chr11	65113415	65113490	+	65113220	65113594	ENSG00000149809
DOWN_INTRONS_BOTH	RAD52	HsaINT0136676	chr12:933077-949601	16525	chr12:949602-949722=932975-933076:-	IR	chr12	933077	949601	-	949722	932975	ENSG00000002016
DOWN_INTRONS_BOTH	NKX2-1	HsaINT1024910	chr14:36518021-36518984	964	chr14:36518985-36519693=36516392-36518020:-	IR	chr14	36518021	36518984	-	36519693	36516392	ENSG00000136352
DOWN_INTRONS_BOTH	RP11-44N21.1	HsaINT1034985	chr14:105093821-105095539	1719	chr14:105093609-105093820=105095540-105095699:+	IR	chr14	105093821	105095539	+	105093609	105095699	ENSG00000257556
DOWN_INTRONS_BOTH	LINC00239	HsaINT0111581	chr14:101731977-101732235	259	chr14:101731788-101731976=101732236-101732522:+	IR	chr14	101731977	101732235	+	101731788	101732522	ENSG00000258512
DOWN_INTRONS_BOTH	LYSMD4	HsaINT0097964	chr15:99732008-99732928	921	chr15:99732929-99733028=99731718-99732007:-	IR	chr15	99732008	99732928	-	99733028	99731718	ENSG00000183060
DOWN_INTRONS_BOTH	PLA2G4B	HsaINT1027190	chr15:41837960-41838746	787	chr15:41837775-41837959=41838747-41838922:+	IR	chr15	41837960	41838746	+	41837775	41838922	ENSG00000243708
DOWN_INTRONS_BOTH	PLA2G4B	HsaINT0126337	chr15:41838923-41840157	1235	chr15:41838747-41838922=41840158-41840230:+	IR	chr15	41838923	41840157	+	41838747	41840230	ENSG00000243708
DOWN_INTRONS_BOTH	KREMEN2	HsaINT0089283	chr16:2967446-2967525	80	chr16:2967320-2967445=2967526-2967604:+	IR	chr16	2967446	2967525	+	2967320	2967604	ENSG00000131650
DOWN_INTRONS_BOTH	RHBDL1	HsaINT0140388	chr16:677560-677638	79	chr16:677459-677559=677639-677699:+	IR	chr16	677560	677638	+	677459	677699	ENSG00000103269
DOWN_INTRONS_BOTH	KIAA0556	HsaINT0086020	chr16:27773210-27774944	1735	chr16:27773099-27773209=27774945-27775084:+	IR	chr16	27773210	27774944	+	27773099	27775084	ENSG00000047578
DOWN_INTRONS_BOTH	SGK494	HsaINT0148994	chr17:28610700-28611142	443	chr17:28611143-28611253=28610478-28610699:-	IR	chr17	28610700	28611142	-	28611253	28610478	ENSG00000167524
DOWN_INTRONS_BOTH	ABCC3	HsaINT0001237	chr17:50658497-50659236	740	chr17:50658435-50658496=50659237-50659368:+	IR	chr17	50658497	50659236	+	50658435	50659368	ENSG00000108846
DOWN_INTRONS_BOTH	TMC6	HsaINT0168030	chr17:78119393-78120652	1260	chr17:78120653-78120832=78119297-78119392:-	IR	chr17	78119393	78120652	-	78120832	78119297	ENSG00000141524
DOWN_INTRONS_BOTH	SLC16A5	HsaINT0151012	chr17:75098182-75100006	1825	chr17:75098038-75098181=75100007-75100816:+	IR	chr17	75098182	75100006	+	75098038	75100816	ENSG00000170190
DOWN_INTRONS_BOTH	DOK1	HsaINT0051453	chr2:74555669-74555893	225	chr2:74555575-74555668=74555894-74556078:+	IR	chr2	74555669	74555893	+	74555575	74556078	ENSG00000115325
DOWN_INTRONS_BOTH	DAW1	HsaINT0182501	chr2:227921562-227923933	2372	chr2:227921399-227921561=227923934-227924341:+	IR	chr2	227921562	227923933	+	227921399	227924341	ENSG00000123977
DOWN_INTRONS_BOTH	LINC01270	HsaINT0093843	chr20:50312015-50312351	337	chr20:50311805-50312014=50312352-50312430:+	IR	chr20	50312015	50312351	+	50311805	50312430	ENSG00000203999
DOWN_INTRONS_BOTH	DERL3	HsaINT0047048	chr22:23837855-23838351	497	chr22:23838352-23838445=23837659-23837854:-	IR	chr22	23837855	23838351	-	23838445	23837659	ENSG00000099958
DOWN_INTRONS_BOTH	KCNMB2-AS1	HsaINT1017197	chr3:178859624-178860293	670	chr3:178860294-178860352=178859489-178859623:-	IR	chr3	178859624	178860293	-	178860352	178859489	ENSG00000237978
DOWN_INTRONS_BOTH	POLN	HsaINT0129106	chr4:2075520-2080957	5438	chr4:2080958-2081036=2075452-2075519:-	IR	chr4	2075520	2080957	-	2081036	2075452	ENSG00000130997
DOWN_INTRONS_BOTH	TRAM2-AS1	HsaINT1045031	chr6:52577652-52578049	398	chr6:52577485-52577651=52578050-52578393:+	IR	chr6	52577652	52578049	+	52577485	52578393	ENSG00000225791
DOWN_INTRONS_BOTH	SERPINB1	HsaINT0148018	chr6:2840595-2841596	1002	chr6:2841597-2841862=2840419-2840594:-	IR	chr6	2840595	2841596	-	2841862	2840419	ENSG00000021355
DOWN_INTRONS_BOTH	AGER	HsaINT1003169	chr6:32183988-32184170	183	chr6:32184171-32184324=32183881-32183987:-	IR	chr6	32183988	32184170	-	32184324	32183881	ENSG00000204305
DOWN_INTRONS_BOTH	AVL9	HsaINT0015972	chr7:32576073-32580801	4729	chr7:32575955-32576072=32580802-32580890:+	IR	chr7	32576073	32580801	+	32575955	32580890	ENSG00000105778
DOWN_INTRONS_BOTH	NOD1	HsaINT0114361	chr7:30448382-30451215	2834	chr7:30451216-30453040=30448298-30448381:-	IR	chr7	30448382	30451215	-	30453040	30448298	ENSG00000106100
UP_INTRONS_TAF2	CC2D1B	HsaINT0028554	chr1:52357917-52358330	414	chr1:52358331-52358461=52357781-52357916:-	IR	chr1	52357917	52358330	-	52358461	52357781	ENSG00000154222
UP_INTRONS_TAF2	PAQR6	HsaINT1026127	chr1:156246251-156246680	430	chr1:156246681-156246756=156246123-156246250:-	IR	chr1	156246251	156246680	-	156246756	156246123	ENSG00000160781
UP_INTRONS_TAF2	PAQR6	HsaINT1026128	chr1:156245988-156246122	135	chr1:156246123-156246250=156245782-156245987:-	IR	chr1	156245988	156246122	-	156246250	156245782	ENSG00000160781
UP_INTRONS_TAF2	TMEM201	HsaINT0168908	chr1:9607790-9610505	2716	chr1:9607557-9607789=9610506-9610805:+	IR	chr1	9607790	9610505	+	9607557	9610805	ENSG00000188807
UP_INTRONS_TAF2	SZT2-AS1	HsaINT1043593	chr1:43447933-43448102	170	chr1:43448103-43448644=43447776-43447932:-	IR	chr1	43447933	43448102	-	43448644	43447776	ENSG00000229372
UP_INTRONS_TAF2	H6PD	HsaINT0073995	chr1:9262329-9263508	1180	chr1:9262059-9262328=9263509-9271337:+	IR	chr1	9262329	9263508	+	9262059	9271337	ENSG00000049239
UP_INTRONS_TAF2	LRIG2	HsaINT0096122	chr1:113073646-113091317	17672	chr1:113073209-113073645=113091318-113091383:+	IR	chr1	113073646	113091317	+	113073209	113091383	ENSG00000198799
UP_INTRONS_TAF2	CELSR2	HsaINT0033222	chr1:109270134-109270425	292	chr1:109269933-109270133=109270426-109270600:+	IR	chr1	109270134	109270425	+	109269933	109270600	ENSG00000143126
UP_INTRONS_TAF2	MCOLN3	HsaINT0100943	chr1:85022401-85025938	3538	chr1:85025939-85026088=85022299-85022400:-	IR	chr1	85022401	85025938	-	85026088	85022299	ENSG00000055732
UP_INTRONS_TAF2	SCNN1D	HsaINT0146035	chr1:1287837-1287938	102	chr1:1287673-1287836=1287939-1288037:+	IR	chr1	1287837	1287938	+	1287673	1288037	ENSG00000162572
UP_INTRONS_TAF2	PLEKHN1	HsaINT0127537	chr1:970759-970878	120	chr1:970686-970758=970879-971006:+	IR	chr1	970759	970878	+	970686	971006	ENSG00000187583
UP_INTRONS_TAF2	LOXL4	HsaINT0095601	chr10:98258165-98259008	844	chr10:98259009-98259228=98257981-98258164:-	IR	chr10	98258165	98259008	-	98259228	98257981	ENSG00000138131
UP_INTRONS_TAF2	LINC01515	HsaINT1020227	chr10:65585568-65585664	97	chr10:65585485-65585567=65585665-65585802:+	IR	chr10	65585568	65585664	+	65585485	65585802	ENSG00000228065
UP_INTRONS_TAF2	LINC00863	HsaINT1019028	chr10:87343406-87344436	1031	chr10:87342736-87343405=87344437-87344495:+	IR	chr10	87343406	87344436	+	87342736	87344495	ENSG00000224914
UP_INTRONS_TAF2	C11orf80	HsaINT0019920	chr11:66744920-66748378	3459	chr11:66744892-66744919=66748379-66748517:+	IR	chr11	66744920	66748378	+	66744892	66748517	ENSG00000173715
UP_INTRONS_TAF2	PIDD1	HsaINT0096069	chr11:802091-802194	104	chr11:802195-802396=801965-802090:-	IR	chr11	802091	802194	-	802396	801965	ENSG00000177595
