GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	HeLa_FRT	HeLa_FRT-Q	HeLa_FRT_A	HeLa_FRT_A-Q	HeLa_FRT_B	HeLa_FRT_B-Q	HeLa_FRT_C	HeLa_FRT_C-Q	HeLa_NLSTAF2dIDR	HeLa_NLSTAF2dIDR-Q	HeLa_NLSTAF2dIDR_A	HeLa_NLSTAF2dIDR_A-Q	HeLa_NLSTAF2dIDR_B	HeLa_NLSTAF2dIDR_B-Q	HeLa_NLSTAF2dIDR_C	HeLa_NLSTAF2dIDR_C-Q	HeLa_TAF2	HeLa_TAF2-Q	HeLa_TAF2_A	HeLa_TAF2_A-Q	HeLa_TAF2_B	HeLa_TAF2_B-Q	HeLa_TAF2_C	HeLa_TAF2_C-Q	dPSI
OSBPL7	HsaEX0044934	chr17:47819729-47819782	54	chr17:47819971,47819518+47819729-47819782,47819099	S	65.52	OK,OK,24=33=15,OK,S@47.17,24.83	60.00	VLOW,VLOW,6=12=6,OK,S@14.40,9.60	80.00	VLOW,VLOW,5=11=2,B1,S@14.40,3.60	62.16	VLOW,VLOW,13=10=7,OK,S@18.65,11.35	63.86	OK,OK,27=26=15,OK,S@43.42,24.58	77.78	VLOW,VLOW,8=13=3,OK,S@18.67,5.33	60.00	VLOW,VLOW,10=8=6,OK,S@14.40,9.60	53.85	N,N,9=5=6,OK,S@10.77,9.23	45.05	OK,OK,20=21=25,OK,S@29.73,36.27	46.15	N,N,7=5=7,OK,S@8.77,10.23	36.59	VLOW,VLOW,9=6=13,OK,S@10.25,17.75	58.33	N,N,4=10=5,B1,S@11.08,7.92	-20.47
AKAP11	HsaEX0003358	chr13:42313047-42313130	84	chr13:42308609,42313017+42313047-42313130,42313894	S	40.58	SOK,SOK,54=58=82,OK,S@78.73,115.27	46.48	LOW,LOW,13=20=19,OK,S@24.17,27.83	36.45	OK,OK,20=19=34,OK,S@26.61,46.39	40.82	OK,OK,21=19=29,OK,S@28.17,40.83	39.45	SOK,SOK,57=72=99,OK,S@89.95,138.05	36.71	SOK,SOK,19=39=50,B1,S@39.65,68.35	39.13	OK,OK,16=20=28,OK,S@25.04,38.96	45.45	OK,OK,22=13=21,OK,S@25.45,30.55	57.51	SOK,SOK,53=58=41,OK,S@87.42,64.58	59.32	LOW,LOW,18=17=12,OK,S@27.88,19.12	55.00	OK,OK,17=27=18,OK,S@34.10,27.90	59.26	LOW,LOW,18=14=11,OK,S@25.48,17.52	16.93
IFT88	HsaEX0031099	chr13:20589811-20589867	57	chr13:20583019,20589811-20589867,20590967	S	46.24	OK,OK,18=25=25,OK,S@31.44,36.56	62.50	N,N,5=5=3,OK,S@8.12,4.88	53.85	VLOW,VLOW,11=10=9,OK,S@16.16,13.85	31.58	VLOW,VLOW,2=10=13,B1,S@7.89,17.11	41.86	OK,OK,15=21=25,OK,S@25.53,35.47	52.63	VLOW,VLOW,8=12=9,OK,S@15.26,13.74	31.03	VLOW,VLOW,4=5=10,OK,S@5.90,13.10	36.84	N,N,3=4=6,OK,S@4.79,8.21	23.08	OK,OK,7=11=30,OK,S@11.08,36.92	21.74	N,N,0=5=9,Bn,S@3.04,10.96	33.33	VLOW,VLOW,6=4=10,OK,S@6.67,13.33	12.00	VLOW,VLOW,1=2=11,OK,S@1.68,12.32	-23.16
MCOLN3	HsaEX0038297	chr1:85047575-85047609	35	chr1:85048188+85048396,85047310+85047575-85047609+85047745,85045362	S	38.83	LOW,LOW,4=1=18,B1,S@8.93,14.07	53.12	N,N,2=0=5,Bl,S@3.72,3.28	59.00	N,N,2=1=4,OK,S@4.13,2.87	0.00	N,N,0=0=9,Bn,S@0.00,9.00	40.32	OK,OK,4=5=29,OK,S@15.32,22.68	40.54	LOW,LOW,2=3=19,OK,S@9.73,14.27	68.87	N,N,2=2=3,B2,S@4.82,2.18	0.00	N,N,0=0=7,Bn,S@0.00,7.00	17.03	LOW,LOW,1=3=19,B2,S@3.92,19.08	0.00	N,N,0=0=4,Bn,S@0.00,4.00	19.77	N,N,1=1=4,OK,S@1.19,4.81	20.95	VLOW,VLOW,0=2=11,Bn,S@2.72,10.28	-21.80
VPS9D1	HsaEX0009694	chr16:89708460-89708531	72	chr16:89708857,89708413+89708427+89708460-89708531+89708768,89707954	S	86.21	VLOW,VLOW,12=13=2,OK,S@23.28,3.72	80.00	N,N,4=4=1,OK,S@7.20,1.80	100.00	N,N,4=5=0,OK,S@9.00,0.00	80.00	N,N,4=4=1,OK,S@7.20,1.80	85.19	VLOW,VLOW,15=8=2,OK,S@21.30,3.70	75.00	N,N,3=3=1,OK,S@5.25,1.75	80.00	N,N,5=3=1,OK,S@7.20,1.80	100.00	N,N,7=2=0,B1,S@9.00,0.00	70.37	VLOW,VLOW,9=10=4,OK,S@16.19,6.81	100.00	N,N,5=6=0,OK,S@11.00,0.00	55.56	N,N,4=1=2,B1,S@3.89,3.11	42.86	N,N,0=3=2,Bn,S@2.14,2.86	-15.84
RIF1	HsaEX0053616	chr2:151468474-151468551	78	chr2:151468146,151468290+151468474-151468551,151468621+151468641	S	54.14	SOK,SOK,124=154=111,OK,S@210.60,178.40	55.38	SOK,SOK,31=48=30,OK,S@60.36,48.64	58.36	SOK,SOK,50=57=36,OK,S@83.45,59.55	49.08	SOK,SOK,43=49=45,OK,S@67.24,69.76	48.01	SOK,SOK,134=197=169,OK,S@240.05,259.95	48.53	SOK,SOK,62=84=73,OK,S@106.28,112.72	49.35	SOK,SOK,34=59=45,OK,S@68.10,69.90	45.96	SOK,SOK,38=54=51,OK,S@65.72,77.28	38.21	SOK,SOK,99=124=170,OK,S@150.17,242.83	38.60	SOK,SOK,30=38=51,OK,S@45.93,73.07	35.59	SOK,SOK,36=39=64,OK,S@49.47,89.53	40.68	SOK,SOK,33=47=55,OK,S@54.92,80.08	-15.93
DOPEY1	HsaEX0020727	chr6:83113327-83113421	95	chr6:83110215+83110235+83110314,83113323+83113327-83113421,83118888	S	64.10	VLOW,VLOW,13=12=7,OK,S@20.51,11.49	33.33	N,N,1=2=3,OK,S@2.00,4.00	57.14	N,N,4=4=3,OK,S@6.29,4.71	87.50	N,N,8=6=1,OK,S@13.12,1.88	69.23	VLOW,VLOW,6=12=4,OK,S@15.23,6.77	66.67	N,N,1=3=1,B1,S@3.33,1.67	69.23	N,N,2=7=2,B1,S@7.62,3.38	71.43	N,N,3=2=1,OK,S@4.29,1.71	92.00	VLOW,VLOW,6=17=1,B1,S@22.08,1.92	100.00	N,N,1=7=0,B2,S@8.00,0.00	100.00	N,N,4=7=0,OK,S@11.00,0.00	66.67	N,N,1=3=1,B1,S@3.33,1.67	27.90
ITGA6	HsaEX0032370	chr2:172501772-172501901	130	chr2:172498100,172501772-172501901,172504091	S	43.70	OK,OK,23=12=21,B1,S@24.47,31.53	87.01	N,N,11=3=1,B1,S@13.05,1.95	44.44	N,VLOW,8=6=8,OK,S@9.78,12.22	21.05	VLOW,LOW,4=3=12,OK,S@4.00,15.00	44.13	SOK,SOK,28=42=39,OK,S@48.10,60.90	46.13	LOW,OK,13=18=16,OK,S@21.68,25.32	34.48	LOW,OK,8=15=19,OK,S@14.48,27.52	63.96	N,N,7=9=4,OK,S@12.79,7.21	59.69	OK,SOK,31=39=21,OK,S@54.32,36.68	52.94	VLOW,VLOW,6=15=8,OK,S@15.35,13.65	69.33	VLOW,LOW,13=12=5,OK,S@20.80,9.20	57.45	VLOW,LOW,12=12=8,OK,S@18.38,13.62	15.99
ARVCF	HsaEX0006128	chr22:19972358-19972411	54	chr22:19972737,19972358-19972411,19971971	S	67.44	LOW,LOW,12=17=7,OK,S@24.28,11.72	100.00	N,N,4=4=0,OK,S@8.00,0.00	66.67	N,N,2=6=2,B1,S@6.67,3.33	56.52	N,N,6=7=5,OK,S@10.17,7.83	93.10	VLOW,VLOW,14=13=1,OK,S@26.07,1.93	84.62	N,N,3=8=1,B1,S@10.15,1.85	100.00	N,N,5=4=0,OK,S@9.00,0.00	100.00	N,N,6=1=0,B2,S@7.00,0.00	93.55	LOW,LOW,13=16=1,OK,S@28.07,1.94	100.00	N,N,4=5=0,OK,S@9.00,0.00	100.00	N,N,5=4=0,OK,S@9.00,0.00	84.62	N,N,4=7=1,OK,S@10.15,1.85	26.11
SEC14L2	HsaEX0056809	chr22:30399643-30399718	76	chr22:30397170,30399643-30399718,30406342	S	100.00	LOW,LOW,20=10=0,OK,S@30.00,0.00	100.00	N,N,4=2=0,OK,S@6.00,0.00	100.00	N,N,4=3=0,OK,S@7.00,0.00	100.00	VLOW,VLOW,12=5=0,B1,S@17.00,0.00	91.30	OK,OK,23=19=2,OK,S@40.17,3.83	90.00	VLOW,VLOW,8=10=1,OK,S@17.10,1.90	83.33	N,N,8=2=1,B1,S@9.17,1.83	100.00	N,N,7=7=0,OK,S@14.00,0.00	82.61	VLOW,VLOW,12=7=2,OK,S@17.35,3.65	66.67	N,N,2=2=1,OK,S@3.33,1.67	77.78	N,N,4=3=1,OK,S@6.22,1.78	100.00	N,N,6=2=0,B1,S@8.00,0.00	-17.39
